Mercado,Variable,Grupo,N,Aciertos,Pct_Acierto,Rendimiento_U,ROI_Pct,Rango_Min,Rango_Max,Mediana
Under 2.25,TOTAL_MERCADO,TOTAL,148,94,63.51,33.96,22.95,,,
Under 2.25,BDI_n_bookmakers_fair,BAJO,133,82,61.65,25.71,19.33,2.0,5.0,5.0
Under 2.25,BDI_n_bookmakers,BAJO,133,82,61.65,25.71,19.33,2.0,5.0,5.0
Under 2.25,Num_Casas,BAJO,133,82,61.65,25.71,19.33,2.0,5.0,5.0
Under 2.25,Mejor_Cuota,ALTO,72,47,65.28,22.28,30.94,1.94,2.09,1.94
Under 2.25,Cuota_Promedio_Mercado,ALTO,74,48,64.86,22.18,29.97,1.91125,2.09,1.91125
Under 2.25,Margen_Casa_Pct,ALTO,74,50,67.57,21.21,28.66,4.77,7.25,4.77
Under 2.25,Mejor_Casa,pinnacle,92,57,61.96,19.4,21.09,,,
Under 2.25,BDI_jsd,ALTO,74,47,63.51,18.29,24.72,1.2e-05,0.000179,1.2e-05
Under 2.25,BDI_std_p,ALTO,74,47,63.51,18.29,24.72,0.004855,0.018896,0.004855
Under 2.25,BDI_mad_p,ALTO,74,47,63.51,18.16,24.54,0.004116,0.01688,0.004116
Under 2.25,Diferencia_Cuota_Promedio,BAJO,77,50,64.94,17.97,23.34,-0.0,0.024,0.024
Under 2.25,Volatilidad_Pct,ALTO,73,46,63.01,17.62,24.14,0.018,0.0718,0.018
Under 2.25,BDI_mad_p_fair,BAJO,74,47,63.51,17.28,23.35,0.0,0.003905,0.003905
Under 2.25,BDI_jsd_fair,BAJO,74,47,63.51,17.2,23.24,-0.0,1e-05,1e-05
Under 2.25,BDI_std_p_fair,BAJO,74,47,63.51,17.2,23.24,0.0,0.004448,0.004448
Under 2.25,BDI_jsd_fair,ALTO,74,47,63.51,16.76,22.65,1e-05,0.000157,1e-05
Under 2.25,BDI_std_p_fair,ALTO,74,47,63.51,16.76,22.65,0.004448,0.017714,0.004448
Under 2.25,BDI_mad_p_fair,ALTO,74,47,63.51,16.68,22.54,0.003905,0.017228,0.003905
Under 2.25,Volatilidad_Pct,BAJO,75,48,64.0,16.34,21.79,0.0,0.018,0.018
Under 2.25,Diferencia_Cuota_Promedio,ALTO,71,44,61.97,15.99,22.52,0.024,0.1067,0.024
Under 2.25,BDI_mad_p,BAJO,74,47,63.51,15.8,21.35,0.0,0.004116,0.004116
Under 2.25,BDI_jsd,BAJO,74,47,63.51,15.67,21.18,0.0,1.2e-05,1.2e-05
Under 2.25,BDI_std_p,BAJO,74,47,63.51,15.67,21.18,0.0,0.004855,0.004855
Over 2.75,Volatilidad_Pct,BAJO,44,31,70.45,15.11,34.34,0.0,0.01955,0.01955
Over 2.5,Liga,Serie B,18,14,77.78,13.83,76.83,,,
Over 2.75,BDI_n_bookmakers_fair,BAJO,64,40,62.5,13.38,20.91,2.0,5.0,5.0
Over 2.75,BDI_n_bookmakers,BAJO,64,40,62.5,13.38,20.91,2.0,5.0,5.0
Over 2.75,Num_Casas,BAJO,64,40,62.5,13.38,20.91,2.0,5.0,5.0
Over 2.75,BDI_mad_p,BAJO,44,30,68.18,13.34,30.32,0.0,0.004661,0.004661
Over 2.75,BDI_jsd,BAJO,44,30,68.18,13.18,29.95,-0.0,1.5e-05,1.5e-05
Over 2.75,BDI_std_p,BAJO,44,30,68.18,13.18,29.95,0.0,0.00539,0.00539
Over 2.75,Diferencia_Cuota_Promedio,BAJO,44,30,68.18,13.14,29.86,0.0,0.0229,0.0229
Under 2.25,Margen_Casa_Pct,BAJO,74,44,59.46,12.75,17.23,3.25,4.77,4.77
Under 2.25,Cuota_Promedio_Mercado,BAJO,74,46,62.16,11.78,15.92,1.69,1.91125,1.91125
Under 2.25,Mejor_Cuota,BAJO,76,47,61.84,11.68,15.37,1.69,1.94,1.94
Over 2.75,BDI_jsd_fair,BAJO,44,28,63.64,10.03,22.8,0.0,1.1e-05,1.1e-05
Over 2.75,BDI_std_p_fair,BAJO,44,28,63.64,10.03,22.8,0.0,0.004725,0.004725
Over 2.75,Mejor_Casa,pinnacle,49,30,61.22,9.44,19.27,,,
Under 2.25,BDI_n_bookmakers_fair,ALTO,15,12,80.0,8.25,55.0,5.0,7.0,5.0
Under 2.25,BDI_n_bookmakers,ALTO,15,12,80.0,8.25,55.0,5.0,7.0,5.0
Under 2.25,Num_Casas,ALTO,15,12,80.0,8.25,55.0,5.0,7.0,5.0
Over 2.5,Mejor_Casa,pinnacle,42,26,61.9,8.24,19.62,,,
Under 2.25,Liga,League One,13,11,84.62,8.22,63.23,,,
Under 2.5,Mejor_Casa,coolbet,29,20,68.97,7.05,24.31,,,
Over 2.75,TOTAL_MERCADO,TOTAL,88,49,55.68,6.81,7.74,,,
Over 2.75,Mejor_Cuota,BAJO,52,31,59.62,6.66,12.81,1.66,1.96,1.96
Over 2.75,BDI_mad_p_fair,BAJO,44,26,59.09,6.33,14.39,0.0,0.00362,0.00362
Under 2.5,Liga,Eredivisie,14,10,71.43,5.84,41.71,,,
Under 2.5,Cuota_Promedio_Mercado,BAJO,210,128,60.95,5.77,2.75,1.355,1.8052,1.8052
Over 2.5,Mejor_Casa,unibet_eu,11,7,63.64,5.7,51.82,,,
Over 2.5,Cuota_Promedio_Mercado,BAJO,210,119,56.67,5.62,2.68,1.21,1.97035,1.97035
Over 3.5,Mejor_Cuota,ALTO,26,12,46.15,5.6,21.54,2.4,3.1,2.4
Over 1.5,BDI_jsd,BAJO,18,15,83.33,5.4,30.0,0.0,6.3e-05,6.3e-05
Under 2.25,Mejor_Casa,betonlineag,14,10,71.43,5.3,37.86,,,
Over 1.5,BDI_std_p,BAJO,18,15,83.33,5.27,29.28,0.0,0.010607,0.010607
Over 3.5,Mejor_Casa,unibet_eu,7,5,71.43,5.24,74.86,,,
Under 2.75,BDI_n_bookmakers_fair,ALTO,24,15,62.5,4.97,20.71,5.0,7.0,5.0
Under 2.75,BDI_n_bookmakers,ALTO,24,15,62.5,4.97,20.71,5.0,7.0,5.0
Under 2.75,Num_Casas,ALTO,24,15,62.5,4.97,20.71,5.0,7.0,5.0
Under 1.5,Mejor_Cuota,BAJO,19,10,52.63,4.86,25.58,2.2,2.46,2.46
Over 2.5,BDI_n_bookmakers_fair,ALTO,157,82,52.23,4.8,3.06,10.0,17.0,10.0
Over 2.5,BDI_n_bookmakers,ALTO,157,82,52.23,4.8,3.06,10.0,17.0,10.0
Over 2.5,Num_Casas,ALTO,157,82,52.23,4.8,3.06,10.0,17.0,10.0
Under 2.25,Liga,Serie A,9,7,77.78,4.76,52.89,,,
Over 3.5,Margen_Casa_Pct,ALTO,29,14,48.28,4.75,16.38,6.335,9.46,6.335
Under 1.5,Diferencia_Cuota_Promedio,ALTO,17,9,52.94,4.71,27.71,0.0575,0.19,0.0575
Under 2.5,BDI_std_p_fair,ALTO,210,116,55.24,4.67,2.22,0.006216,0.021956,0.006216
Under 2.5,Mejor_Casa,williamhill,34,23,67.65,4.66,13.71,,,
Over 3.5,Liga,A-League,5,4,80.0,4.36,87.2,,,
Under 2.5,Mejor_Casa,betrivers,37,22,59.46,4.32,11.68,,,
Under 2.25,Liga,Championship,11,8,72.73,4.3,39.09,,,
Under 2.5,Liga,Bundesliga,11,7,63.64,4.25,38.64,,,
Under 3.25,Mejor_Cuota,BAJO,9,7,77.78,4.08,45.33,1.81,1.905,1.905
Under 2.5,Liga,3. Liga,14,9,64.29,4.08,29.14,,,
Under 2.25,Liga,Liga MX,4,4,100.0,4.0,100.0,,,
Under 2.25,Liga,Eredivisie,4,4,100.0,3.97,99.25,,,
Over 3.0,Liga,A-League,4,4,100.0,3.93,98.25,,,
Over 2.5,Mejor_Casa,betsson,19,12,63.16,3.93,20.68,,,
Over 2.5,Mejor_Casa,williamhill,33,19,57.58,3.92,11.88,,,
Under 2.25,Mejor_Casa,bovada,25,15,60.0,3.88,15.52,,,
Over 2.75,Cuota_Promedio_Mercado,ALTO,44,24,54.55,3.87,8.8,1.92225,2.0167,1.92225
Over 2.5,Liga,Ekstraklasa,14,9,64.29,3.84,27.43,,,
Under 2.5,Mejor_Casa,unibet,25,15,60.0,3.78,15.12,,,
Over 1.5,BDI_mad_p,BAJO,18,14,77.78,3.75,20.83,0.0,0.009524,0.009524
Over 2.75,Margen_Casa_Pct,ALTO,44,25,56.82,3.72,8.45,4.73,7.0,4.73
Over 3.5,Liga,Süper Lig,3,3,100.0,3.7,123.33,,,
Under 2.25,Mejor_Casa,lowvig,15,10,66.67,3.69,24.6,,,
Under 2.5,BDI_n_bookmakers_fair,BAJO,263,146,55.51,3.66,1.39,2.0,10.0,10.0
Under 2.5,BDI_n_bookmakers,BAJO,263,146,55.51,3.66,1.39,2.0,10.0,10.0
Under 2.5,Num_Casas,BAJO,263,146,55.51,3.66,1.39,2.0,10.0,10.0
