Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct,Local_Ultimo_1,Local_Ultimo_2,Local_Ultimo_3,Visitante_Ultimo_1,Visitante_Ultimo_2,Visitante_Ultimo_3
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0872,"1X",1.69,"pinnacle",3.33,8.37,5.04,1.6028,2.85,3.75,2.2,7.21,"","","","","",""
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0448,"X2",1.42,"pinnacle",3.33,8.37,5.04,1.3752,2.85,3.75,2.2,7.21,"","","","","",""
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.0438,"1X",1.27,"pinnacle",3.49,8.29,4.8,1.2262,1.85,3.7,3.8,7.4,"","","","","",""
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.1122,"X2",1.95,"pinnacle",3.49,8.29,4.8,1.8378,1.85,3.7,3.8,7.4,"","","","","",""
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.085,"1X",1.78,"pinnacle",3.36,7.89,4.53,1.695,,,,,"","","","","",""
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.0533,"X2",1.36,"pinnacle",3.36,7.89,4.53,1.3067,,,,,"","","","","",""
"Groningen vs FC Zwolle","2025-11-23 10:45",1.2158,0.1167,"X2",2.43,"pinnacle",3.66,8.11,4.45,2.3133,,,,,"","","","","",""
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.075,"1X",1.71,"pinnacle",3.43,7.58,4.15,1.635,,,,,"","","","","",""
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.055,"X2",1.43,"pinnacle",3.43,7.58,4.15,1.375,,,,,"","","","","",""
"Sport Recife vs Vitoria","2025-11-23 16:30",1.1738,0.0867,"1X",1.71,"pinnacle",3.97,8.63,4.66,1.6233,,,,,"","","","","",""
"Sport Recife vs Vitoria","2025-11-23 16:30",1.1738,0.0433,"X2",1.34,"pinnacle",3.97,8.63,4.66,1.2967,,,,,"","","","","",""
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.1046,0.03,"1X",1.11,"pinnacle",3.73,7.85,4.12,1.08,,,,,"","","","","",""
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.1046,0.2217,"X2",3.05,"pinnacle",3.73,7.85,4.12,2.8283,,,,,"","","","","",""
"Cruzeiro vs Corinthians","2025-11-23 18:30",1.0173,0.1079,"X2",2.04,"pinnacle",4.05,8.17,4.12,1.9321,1.82,3.4,4.6,6.1,"","","","","",""
"Getafe vs Atlético Madrid","2025-11-23 12:30",0.9712,0.0917,"1X",2.19,"marathonbet",2.78,5.48,2.7,2.0983,,,,,"","","","","",""
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8889,0.0229,"1X",1.15,"marathonbet",2.88,5.44,2.56,1.1271,1.46,5.0,5.75,5.88,"","","","","",""
