Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0872,"1X",1.69,"pinnacle",3.33,8.37,5.04,1.6028,2.85,3.75,2.2,7.21
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0448,"X2",1.42,"pinnacle",3.33,8.37,5.04,1.3752,2.85,3.75,2.2,7.21
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.0438,"1X",1.27,"pinnacle",3.49,8.29,4.8,1.2262,1.85,3.7,3.8,7.4
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.1122,"X2",1.95,"pinnacle",3.49,8.29,4.8,1.8378,1.85,3.7,3.8,7.4
"AS Monaco vs Paris Saint Germain","2025-11-29 11:00",1.3509,0.052,"X2",1.19,"marathonbet",3.22,7.57,4.35,1.138,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.085,"1X",1.78,"pinnacle",3.36,7.89,4.53,1.695,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.0533,"X2",1.36,"pinnacle",3.36,7.89,4.53,1.3067,,,,
"Marseille vs Toulouse","2025-11-29 15:05",1.3206,0.032,"1X",1.17,"marathonbet",3.15,7.31,4.16,1.138,,,,
"Marseille vs Toulouse","2025-11-29 15:05",1.3206,0.13,"X2",2.35,"marathonbet",3.15,7.31,4.16,2.22,,,,
"Metz vs Rennes","2025-11-28 14:45",1.2839,0.072,"1X",1.85,"marathonbet",3.17,7.24,4.07,1.778,,,,
"Metz vs Rennes","2025-11-28 14:45",1.2839,0.042,"X2",1.31,"marathonbet",3.17,7.24,4.07,1.268,,,,
"Paris FC vs Auxerre","2025-11-29 13:00",1.2799,0.038,"1X",1.24,"marathonbet",3.18,7.25,4.07,1.202,,,,
"Paris FC vs Auxerre","2025-11-29 13:00",1.2799,0.102,"X2",2.06,"marathonbet",3.18,7.25,4.07,1.958,,,,
"Werder Bremen vs 1. FC Köln","2025-11-29 09:30",1.2684,0.046,"1X",1.43,"marathonbet",3.13,7.1,3.97,1.384,,,,
"Werder Bremen vs 1. FC Köln","2025-11-29 09:30",1.2684,0.048,"X2",1.68,"marathonbet",3.13,7.1,3.97,1.632,,,,
"San Diego FC vs Minnesota United FC","2025-11-24 22:00",1.2344,0.0416,"1X",1.19,"pinnacle",3.84,8.58,4.74,1.1484,1.62,4.2,4.6,7.28
"San Diego FC vs Minnesota United FC","2025-11-24 22:00",1.2344,0.1535,"X2",2.35,"pinnacle",3.84,8.58,4.74,2.1965,1.62,4.2,4.6,7.28
"Getafe vs Elche CF","2025-11-28 15:00",1.2219,0.042,"1X",1.29,"marathonbet",3.2,7.11,3.91,1.248,,,,
"Getafe vs Elche CF","2025-11-28 15:00",1.2219,0.072,"X2",1.7,"marathonbet",3.2,7.11,3.91,1.628,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",1.2158,0.1167,"X2",2.43,"pinnacle",3.66,8.11,4.45,2.3133,,,,
