Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Volatilidad_Pct,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3383,0.0767,"1X",1.77,"pinnacle",3.87,3.37,7.88,4.51,1.6933,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3383,0.0533,"X2",1.36,"pinnacle",3.44,3.37,7.88,4.51,1.3067,,,,
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.217,0.07,"1X",1.71,"pinnacle",3.94,3.41,7.56,4.15,1.64,,,,
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.217,0.0483,"X2",1.42,"pinnacle",2.99,3.41,7.56,4.15,1.3717,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",1.0678,0.1283,"X2",2.48,"pinnacle",4.78,3.98,8.23,4.25,2.3517,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",0.9847,0.0267,"1X",1.11,"pinnacle",2.54,3.91,7.76,3.85,1.0833,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",0.9847,0.2267,"X2",3.08,"pinnacle",5.26,3.91,7.76,3.85,2.8533,,,,
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8785,0.0229,"1X",1.15,"marathonbet",1.88,2.88,5.41,2.53,1.1271,1.46,5.0,6.0,5.16
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8785,0.0618,"X2",2.83,"marathonbet",2.59,2.88,5.41,2.53,2.7682,1.46,5.0,6.0,5.16
"Brest vs Metz","2025-11-23 11:15",0.8129,0.0183,"1X",1.22,"marathonbet",1.82,3.1,5.62,2.52,1.2017,,,,
"Brest vs Metz","2025-11-23 11:15",0.8129,0.075,"X2",2.12,"marathonbet",2.97,3.1,5.62,2.52,2.045,,,,
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.766,0.04,"X2",1.34,"marathonbet",2.7,3.12,5.51,2.39,1.3,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.75,0.0317,"X2",1.48,"marathonbet",2.3,3.12,5.46,2.34,1.4483,,,,
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.7138,0.0316,"1X",1.44,"marathonbet",2.23,3.11,5.33,2.22,1.4084,2.55,3.1,2.9,5.96
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.7138,0.036,"X2",1.55,"marathonbet",1.97,3.11,5.33,2.22,1.514,2.55,3.1,2.9,5.96
"Auxerre vs Lyon","2025-11-23 09:00",0.7042,0.055,"1X",1.79,"marathonbet",2.51,3.11,5.3,2.19,1.735,,,,
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.6851,0.095,"X2",3.03,"marathonbet",1.78,2.89,4.87,1.98,2.935,,,,
"Hellas Verona vs Parma","2025-11-23 06:30",0.6656,0.05,"X2",1.67,"pinnacle",2.44,3.26,5.43,2.17,1.62,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.6596,0.0367,"1X",1.55,"pinnacle",2.46,3.29,5.46,2.17,1.5133,,,,
"Toulouse vs Angers","2025-11-23 11:15",0.6582,0.055,"X2",2.27,"marathonbet",2.19,3.16,5.24,2.08,2.215,,,,
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.6399,0.0383,"1X",1.72,"pinnacle",2.34,3.36,5.51,2.15,1.6817,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.6125,0.0317,"1X",1.58,"marathonbet",2.4,3.2,5.16,1.96,1.5483,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.6125,0.0283,"X2",1.44,"pinnacle",2.06,3.2,5.16,1.96,1.4117,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",0.4413,0.0233,"1X",1.13,"betsson",2.64,5.71,8.23,2.52,1.1067,,,,
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.4157,0.02,"1X",1.11,"codere_it",2.12,3.44,4.87,1.43,1.09,,,,
"Cremonese vs AS Roma","2025-11-23 09:00",0.3912,0.06,"1X",2.35,"pinnacle",2.37,3.86,5.37,1.51,2.29,,,,
"Real Betis vs Girona","2025-11-23 10:15",0.3883,0.086,"X2",2.74,"pinnacle",3.5,3.58,4.97,1.39,2.654,,,,
"Hellas Verona vs Parma","2025-11-23 06:30",0.3782,0.025,"1X",1.33,"marathonbet",2.11,3.94,5.43,1.49,1.305,,,,
"Lazio vs Lecce","2025-11-23 12:00",0.3681,0.0267,"1X",1.17,"betsson",2.35,3.83,5.24,1.41,1.1433,,,,
"Lazio vs Lecce","2025-11-23 12:00",0.3436,0.05,"X2",2.24,"marathonbet",2.19,3.9,5.24,1.34,2.19,,,,
"Real Betis vs Girona","2025-11-23 10:15",0.3324,0.02,"1X",1.15,"codere_it",1.58,3.73,4.97,1.24,1.13,,,,
"Cremonese vs AS Roma","2025-11-23 09:00",0.2095,0.0183,"X2",1.16,"betsson",1.85,4.44,5.37,0.93,1.1417,,,,
"Auxerre vs Lyon","2025-11-23 09:00",0.1253,0.0367,"X2",1.34,"betsson",2.61,4.71,5.3,0.59,1.3033,,,,
"Toulouse vs Angers","2025-11-23 11:15",0.0315,0.025,"1X",1.18,"betsson",2.38,5.08,5.24,0.16,1.155,,,,
