Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Score_Ponderado,Rating,Nivel_Confianza,Accion_Recomendada,Resultado
SC Bastia vs Stade Lavallois,2025-11-25 14:00:00,Ligue 2,Doble Chance,X2,1.67,pinnacle,0.8799,0.04,1.56,3.83,76.74,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Acertado
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Doble Chance,X2,1.52,pinnacle,0.7824,0.04,1.72,3.4,73.23,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Fallido
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,2.06,pinnacle,0.782,0.0467,1.69,2.89,73.18,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Acertado
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Goles (Over/Under),Under 2.5,2.06,pinnacle,0.782,0.0467,1.69,2.89,73.18,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Acertado
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Doble Chance,1X,1.51,pinnacle,0.7824,0.0375,1.76,3.4,72.4,⭐⭐⭐ EXCELENTE,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
SC Bastia vs Stade Lavallois,2025-11-25 14:00:00,Ligue 2,Doble Chance,1X,1.3,pinnacle,0.8799,0.04,2.02,3.83,71.94,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Fallido
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Goles (Over/Under),Over 2.5,1.84,pinnacle,0.782,0.0367,1.46,2.89,71.83,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Fallido
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Goles (Over/Under),Over 2.5,1.84,pinnacle,0.782,0.0367,1.46,2.89,71.83,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Fallido
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Doble Chance,1X,2.06,pinnacle,0.5636,0.06,1.73,3.46,70.81,⭐⭐⭐ EXCELENTE,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Fallido
Atletico Mineiro vs Flamengo,2025-11-25 19:30:00,Brasileirão,Doble Chance,1X,1.86,pinnacle,0.6501,0.0475,1.63,3.83,70.61,⭐⭐⭐ EXCELENTE,🟢 ALTA CONFIANZA,APOSTAR (2-3% bankroll),Acertado
