Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
FC Viktoria Köln 1904 vs MSV Duisburg,2025-12-21 13:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.05,tipico_de,14,0.652,0.2321,6.45,5.92,1.8179,tipico_de:2.05; bovada:1.95; coolbet:1.94; betsson:1.92; nordicbet:1.92; codere_it:1.91; unibet_nl:1.72; leovegas_se:1.72; unibet_se:1.72; tabtouch:1.72; grosvenor:1.72; unibet:1.72; leovegas:1.72; casumo:1.72,0.000866,14,0.034490,0.033229,0.000388,14,0.023180,0.022448
TSV Havelse vs Alemannia Aachen,2025-12-21 07:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.3,tipico_de,12,0.7057,0.3117,7.19,5.98,1.9883,tipico_de:2.3; nordicbet:2.15; betsson:2.15; codere_it:2.13; unibet:1.9; leovegas_se:1.89; unibet_nl:1.89; casumo:1.89; leovegas:1.89; unibet_se:1.89; tabtouch:1.89; grosvenor:1.89,0.000837,12,0.034024,0.031168,0.000420,12,0.023989,0.022132
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.4,tipico_de,11,0.6052,0.2591,6.39,6.18,2.1409,tipico_de:2.4; betsson:2.3; nordicbet:2.3; codere_it:2.27; casumo:2.04; leovegas_se:2.04; leovegas:2.04; grosvenor:2.04; tabtouch:2.04; unibet_se:2.04; unibet:2.04,0.000597,11,0.028661,0.027077,0.000289,11,0.019756,0.018811
Tondela vs Casa Pia,2025-12-21 13:00:00,Primeira Liga,Goles (Over/Under),Under 2.5,1.65,tipico_de,13,0.3911,0.0977,3.7,6.06,1.5523,tipico_de:1.65; nordicbet:1.62; betsson:1.62; williamhill:1.62; betmgm:1.61; unibet:1.51; unibet_se:1.51; grosvenor:1.51; tabtouch:1.51; unibet_nl:1.51; casumo:1.51; leovegas_se:1.5; leovegas:1.5,0.000428,13,0.023396,0.022509,0.000183,13,0.015660,0.015128
AVS Futebol SAD vs Nacional,2025-12-21 10:30:00,Primeira Liga,Goles (Over/Under),Under 2.5,1.67,tipico_de,14,0.2848,0.085,3.77,6.39,1.585,tipico_de:1.67; williamhill:1.67; coolbet:1.66; nordicbet:1.65; betsson:1.65; betmgm:1.61; unibet:1.54; unibet_se:1.54; grosvenor:1.54; tabtouch:1.54; casumo:1.54; unibet_nl:1.54; leovegas_se:1.53; leovegas:1.51,0.000427,14,0.023499,0.022507,0.000197,14,0.016306,0.015911
TSV Havelse vs Alemannia Aachen,2025-12-21 07:30:00,3. Liga,Goles (Over/Under),Under 3.0,1.86,pinnacle,3,0.4988,0.1033,4.22,4.27,1.7567,pinnacle:1.86; coolbet:1.72; bovada:1.69,0.000403,3,0.023443,0.021743,0.000180,3,0.015758,0.013439
Mantova vs Empoli,2025-12-21 11:15:00,Serie B,Goles (Over/Under),Under 2.5,1.86,pinnacle,17,1.1852,0.1324,4.06,3.51,1.7276,pinnacle:1.86; tipico_de:1.83; codere_it:1.81; bovada:1.8; coolbet:1.8; betsson:1.75; nordicbet:1.75; williamhill:1.75; betmgm:1.74; unibet_nl:1.66; grosvenor:1.66; unibet_se:1.66; leovegas_se:1.66; casumo:1.66; leovegas:1.66; unibet:1.66; tabtouch:1.66,0.000397,17,0.023184,0.021315,0.000200,17,0.016585,0.015661
Galatasaray vs Kasimpasa SK,2025-12-21 12:00:00,Super League,Goles (Over/Under),Under 3.5,1.95,tipico_de,16,-0.0077,0.1412,3.9,7.78,1.8088,tipico_de:1.95; pinnacle:1.93; bovada:1.91; coolbet:1.89; betmgm:1.83; betsson:1.81; nordicbet:1.81; codere_it:1.81; tabtouch:1.75; grosvenor:1.75; leovegas_se:1.75; unibet_se:1.75; unibet_nl:1.75; casumo:1.75; leovegas:1.75; unibet:1.75,0.000319,16,0.020948,0.017744,0.000130,16,0.013416,0.010557
Málaga vs Almería,2025-12-21 08:00:00,La Liga 2,Goles (Over/Under),Under 2.5,1.89,pinnacle,17,1.7354,0.1318,3.72,2.91,1.7582,pinnacle:1.89; bovada:1.87; tipico_de:1.83; betsson:1.8; nordicbet:1.8; williamhill:1.8; coolbet:1.8; codere_it:1.78; betmgm:1.74; casumo:1.7; grosvenor:1.7; tabtouch:1.7; unibet:1.7; unibet_nl:1.7; leovegas:1.7; unibet_se:1.7; leovegas_se:1.68,0.000318,17,0.020799,0.019044,0.000128,17,0.013306,0.012356
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Over 3.5,2.23,nordicbet,5,0.4272,0.078,3.9,5.08,2.152,nordicbet:2.23; betsson:2.23; codere_it:2.15; betmgm:2.15; tipico_de:2.0,0.000257,5,0.018832,0.013833,0.000121,5,0.012852,0.010239
