Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Doble Chance,X2,2.02,pinnacle,4,0.4149,0.04,1.18,2.82,1.98,2.5195746308082436e-05,4,0.005909842521810829,0.005035499147138384,,,,,pinnacle:2.02; codere_it:1.97; marathonbet:1.97; betsson:1.96
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,1X,1.18,pinnacle,4,0.3805,0.015,0.96,4.52,1.165,0.00010093023455955982,4,0.008239133869167558,0.007368925272261739,,,,,pinnacle:1.18; codere_it:1.17; betsson:1.16; marathonbet:1.15
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Doble Chance,X2,2.22,pinnacle,4,0.3805,0.0375,1.31,4.52,2.1825,2.6139538849284313e-05,4,0.005998187780194139,0.005770834259206353,,,,,pinnacle:2.22; codere_it:2.2; marathonbet:2.16; betsson:2.15
Benfica vs Famalicão,2025-12-22 15:45:00,Primeira Liga,Doble Chance,1X,1.06,pinnacle,3,0.3409,0.01,0.78,4.84,1.05,0.00022082790649176362,3,0.00740664843924375,0.0060666098401947295,,,,,pinnacle:1.06; marathonbet:1.05; betsson:1.04
Benfica vs Famalicão,2025-12-22 15:45:00,Primeira Liga,Doble Chance,X2,3.51,pinnacle,3,0.3409,0.2633,5.9,4.84,3.2467,0.00026676618358574674,3,0.01769400436782783,0.016100939793234792,,,,,pinnacle:3.51; betsson:3.17; marathonbet:3.06
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Doble Chance,X2,1.58,pinnacle,4,0.2643,0.025,0.96,2.8,1.555,2.963839060830082e-05,4,0.006151578176748213,0.005117381597577603,,,,,pinnacle:1.58; codere_it:1.55; marathonbet:1.55; betsson:1.54
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Doble Chance,1X,1.22,marathonbet,4,0.2391,0.015,0.93,3.22,1.205,7.586734149592813e-05,4,0.00770112543154646,0.006887763911959582,,,,,marathonbet:1.22; pinnacle:1.21; codere_it:1.2; betsson:1.19
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Doble Chance,1X,1.46,marathonbet,4,0.1132,0.01,0.49,3.18,1.45,9.532605893160977e-06,4,0.003363371333071699,0.0023864352070539774,,,,,marathonbet:1.46; codere_it:1.45; pinnacle:1.45; betsson:1.44
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Goles (Over/Under),Over 2.5,2.32,betsson,2,0.2003,0.055,2.43,6.39,2.265,8.415968749746379e-05,2,0.010727102512092357,0.010727102512092357,1.9447560133183236e-05,2,0.0051078551078550805,0.0051078551078550805,betsson:2.32; codere_it:2.21
Athletic Bilbao vs Espanyol,2025-12-22 15:00:00,La Liga,Goles (Over/Under),Under 2.5,1.58,betsson,2,0.2003,0.005,0.32,6.39,1.575,3.1608981799612773e-06,2,0.002015641377086208,0.002015641377086208,1.9447560133183236e-05,2,0.005107855107855108,0.005107855107855108,betsson:1.58; codere_it:1.57
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Under 2.5,2.02,betsson,2,0.0772,0.03,1.51,7.64,1.99,4.142030141245502e-05,2,0.007577288341079014,0.007577288341079014,1.449242446335884e-05,2,0.0044708201092706346,0.0044708201092706346,betsson:2.02; codere_it:1.96
Melbourne City vs Macarthur FC,2025-12-23 03:15:00,A-League,Goles (Over/Under),Over 2.5,1.73,codere_it,2,-0.0669,0.005,0.29,8.82,1.725,2.08986704646624e-06,2,0.001680333378142218,0.001680333378142218,1.449242446335884e-05,2,0.004470820109270579,0.004470820109270579,codere_it:1.73; betsson:1.72
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Goles (Over/Under),Over 2.5,1.99,pinnacle,3,0.5479,0.0333,1.27,2.61,1.9567,3.035449052395885e-05,3,0.0064854214130610835,0.005762244937395374,1.4298953562946133e-05,3,0.004451674096164634,0.00404577147998203,pinnacle:1.99; betsson:1.95; codere_it:1.93
Fulham vs Nottingham Forest,2025-12-22 15:00:00,EPL,Goles (Over/Under),Under 2.5,1.91,codere_it,3,-0.0312,0.02,1.5,4.17,1.89,4.641389089438582e-05,3,0.008004604852826312,0.007546813829536332,1.4298953562946133e-05,3,0.004451674096164571,0.004045771479981974,codere_it:1.91; pinnacle:1.91; betsson:1.85
