Partido,Resultado,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Todas_Las_Cuotas,Marcador,Resultado_Segunda
Sporting Lisbon vs Rio Ave FC,Pendiente,2025-12-28 15:30:00,Primeira Liga,Doble Chance,X2,6.5842,smarkets,10,2.1869,0.7188,11.06,2.14,5.8654,0.0004687995246966,10,0.019289774302803,0.0179364658924196,,,,,smarkets:6.5842; betfair_ex_uk:6.5714; betfair_ex_au:6.5714; betfair_ex_eu:6.5714; pinnacle:6.0599; coolbet:5.7523; williamhill:5.2174; ladbrokes_uk:5.1395; coral:5.1395; betmgm:5.0471,,
Liverpool vs Wolverhampton Wanderers,Fallido,2025-12-27 10:00:00,EPL,Doble Chance,X2,4.6337,betfair_ex_au,36,13.7812,0.4699,6.45,0.32,4.1638,0.0002431076995915,36,0.0157425306801917,0.0128742714896681,,,,,betfair_ex_au:4.6337; betfair_ex_eu:4.6337; betfair_ex_uk:4.6337; smarkets:4.55; unibet_nl:4.4872; unibet_se:4.4211; leovegas:4.4211; coolbet:4.4133; betsson:4.3514; leovegas_se:4.32; pinnacle:4.298; skybet:4.2778; tabtouch:4.2534; unibet:4.2534; casumo:4.2534; grosvenor:4.2534; marathonbet:4.2038; winamax_de:4.1831; winamax_fr:4.1831; bovada:4.1831; virginbet:4.1528; tipico_de:4.1272; fanduel:4.0857; paddypower:4.0857; draftkings:4.0857; tab:4.0857; pointsbetau:3.8824; betway:3.8824; williamhill:3.8824; coral:3.8594; codere_it:3.8272; unibet_uk:3.8182; betmgm:3.8086; sport888:3.75; mybookieag:3.6774; ladbrokes_uk:3.6774,2-1,
Venezia vs Virtus Entella,Fallido,2025-12-27 09:00:00,Serie B,Doble Chance,X2,3.0,betfair_ex_eu,36,7.7889,0.3511,5.65,0.9,2.6489,0.0003285269065878,36,0.0206249290155161,0.01501184830749,,,,,betfair_ex_eu:3.0; betfair_ex_uk:3.0; betfair_ex_au:2.9606; smarkets:2.9328; coolbet:2.8125; pinnacle:2.8087; draftkings:2.7759; fanduel:2.7731; codere_it:2.708; marathonbet:2.6791; tipico_de:2.6637; pointsbetau:2.6444; unibet_se:2.6267; casumo:2.6267; leovegas:2.6267; grosvenor:2.6267; unibet:2.6267; tabtouch:2.6267; unibet_nl:2.6267; paddypower:2.625; unibet_uk:2.6239; winamax_de:2.6239; bovada:2.6239; nordicbet:2.606; betsson:2.606; betmgm:2.5822; leovegas_se:2.5698; sport888:2.5514; williamhill:2.5514; virginbet:2.5514; betway:2.515; skybet:2.4762; winamax_fr:2.4356; ladbrokes_uk:2.4271; coral:2.4271; betclic_fr:2.4179,1-0,Fallido
Livingston vs Celtic,Fallido,2025-12-27 10:00:00,Premiership,Doble Chance,1X,2.7692,betfair_ex_au,33,2.5684,0.2961,5.59,1.9,2.4731,0.0003518096767273,33,0.021594037427561,0.0175776184942064,,,,,betfair_ex_au:2.7692; betfair_ex_eu:2.7692; betfair_ex_uk:2.7692; smarkets:2.7391; skybet:2.6591; fanduel:2.6239; paddypower:2.5988; pointsbetau:2.5714; coolbet:2.5385; draftkings:2.5244; coral:2.475; betway:2.475; tipico_de:2.4706; marathonbet:2.4607; unibet_uk:2.4444; nordicbet:2.4396; betsson:2.4396; unibet:2.402; unibet_se:2.402; leovegas:2.402; unibet_nl:2.402; ladbrokes_uk:2.3938; sport888:2.3814; bovada:2.3782; betmgm:2.3729; tabtouch:2.359; casumo:2.359; grosvenor:2.359; codere_it:2.3537; pinnacle:2.3474; leovegas_se:2.3333; virginbet:2.3162; williamhill:2.2826,2-4,
Palermo vs Padova,Fallido,2025-12-27 11:15:00,Serie B,Doble Chance,X2,2.6526,smarkets,36,1.3238,0.2217,5.01,3.49,2.4309,0.0003127281053156,36,0.0204797615926893,0.0155124807533181,,,,,smarkets:2.6526; betfair_ex_au:2.6526; betfair_ex_eu:2.6526; betfair_ex_uk:2.6526; fanduel:2.625; pinnacle:2.589; coolbet:2.589; draftkings:2.5514; paddypower:2.4762; codere_it:2.468; tipico_de:2.4651; marathonbet:2.4615; bovada:2.439; pointsbetau:2.4375; betmgm:2.4271; grosvenor:2.4039; unibet:2.4039; tabtouch:2.4039; unibet_nl:2.4039; casumo:2.4039; unibet_se:2.4039; leovegas:2.4039; unibet_uk:2.4; nordicbet:2.3975; betsson:2.3975; leovegas_se:2.3824; williamhill:2.3636; virginbet:2.3632; betway:2.359; winamax_de:2.332; skybet:2.3265; sport888:2.3265; betclic_fr:2.246; coral:2.2377; ladbrokes_uk:2.2377; winamax_fr:2.1779,1-0,Fallido
Arsenal vs Brighton and Hove Albion,Fallido,2025-12-27 10:00:00,EPL,Doble Chance,X2,3.3891,betfair_ex_au,36,10.3256,0.2764,4.79,0.43,3.1127,0.0002012351112212,36,0.0156383766386549,0.0116543326388322,,,,,betfair_ex_au:3.3891; betfair_ex_uk:3.3891; betfair_ex_eu:3.3891; smarkets:3.3222; unibet_se:3.2958; unibet_nl:3.2958; leovegas:3.2553; pinnacle:3.2118; coolbet:3.2041; leovegas_se:3.1875; betsson:3.1633; tabtouch:3.1481; unibet:3.1481; grosvenor:3.1481; casumo:3.1481; tipico_de:3.12; fanduel:3.1145; bovada:3.1145; virginbet:3.1082; marathonbet:3.0916; skybet:3.0769; paddypower:3.0769; pointsbetau:3.0769; draftkings:3.0769; tab:3.0769; winamax_fr:3.0759; winamax_de:3.0759; codere_it:3.0159; unibet_uk:3.0; betway:3.0; betmgm:2.9592; ladbrokes_uk:2.9167; coral:2.9167; mybookieag:2.88; williamhill:2.8475; sport888:2.7391,2-1,
Famalicão vs CF Estrela,Acertado,2025-12-27 13:00:00,Primeira Liga,Doble Chance,X2,2.5856,betfair_ex_au,34,4.839,0.2394,4.7,1.18,2.3462,0.000277508617642,34,0.0193508014340963,0.0157222829788255,,,,,betfair_ex_au:2.5856; betfair_ex_uk:2.5856; betfair_ex_eu:2.5856; smarkets:2.5578; pinnacle:2.4907; tipico_de:2.4706; coral:2.4271; coolbet:2.4; draftkings:2.3934; bovada:2.3763; betsson:2.366; nordicbet:2.366; unibet_uk:2.3636; fanduel:2.3636; marathonbet:2.3624; paddypower:2.3265; pointsbetau:2.3238; betway:2.3158; skybet:2.3158; betmgm:2.3158; ladbrokes_uk:2.3158; williamhill:2.2819; winamax_fr:2.2476; winamax_de:2.2476; unibet:2.2473; unibet_se:2.2473; grosvenor:2.2473; leovegas_se:2.2473; tabtouch:2.2473; unibet_nl:2.2473; casumo:2.2473; sport888:2.2473; leovegas:2.2131; virginbet:2.1956,2-3,
Pisa vs Juventus,Fallido,2025-12-27 14:45:00,Serie A,Doble Chance,1X,2.9723,smarkets,37,3.5041,0.2246,4.34,1.21,2.7477,0.0001957845878305,37,0.0158645054270573,0.0127376717525786,,,,,smarkets:2.9723; betfair_ex_au:2.9723; betfair_ex_eu:2.9723; betfair_ex_uk:2.9723; unibet_se:2.8387; unibet_nl:2.8387; pinnacle:2.8133; skybet:2.8125; tipico_de:2.8125; marathonbet:2.8066; unibet:2.7967; tabtouch:2.7967; casumo:2.7967; grosvenor:2.7967; leovegas_se:2.7967; coolbet:2.7956; betsson:2.7789; nordicbet:2.7789; winamax_fr:2.7759; fanduel:2.7731; bovada:2.7576; paddypower:2.7451; winamax_de:2.7391; leovegas:2.7128; codere_it:2.7018; virginbet:2.6923; unibet_uk:2.6828; betclic_fr:2.6828; pointsbetau:2.6637; tab:2.6444; betway:2.5988; betmgm:2.589; sport888:2.5514; williamhill:2.5514; draftkings:2.5514; coral:2.5514; ladbrokes_uk:2.5514,0-2,
AC Milan vs Hellas Verona,Pendiente,2025-12-28 06:30:00,Serie A,Doble Chance,X2,3.3775,smarkets,37,9.1698,0.2485,4.28,0.53,3.129,0.0001548711471685,37,0.0136673313404677,0.0110808827565877,,,,,smarkets:3.3775; betfair_ex_au:3.3775; betfair_ex_eu:3.3775; betfair_ex_uk:3.3775; unibet_se:3.2886; unibet_nl:3.2886; grosvenor:3.2203; leovegas_se:3.2203; unibet:3.2203; casumo:3.2203; tabtouch:3.2203; pinnacle:3.1829; coolbet:3.1758; betsson:3.168; nordicbet:3.168; winamax_de:3.1481; tipico_de:3.1481; leovegas:3.1444; marathonbet:3.1304; paddypower:3.1091; winamax_fr:3.1082; virginbet:3.0993; bovada:3.088; pointsbetau:3.0769; betclic_fr:3.0741; skybet:3.0472; tab:3.0472; fanduel:3.0388; codere_it:3.0277; betmgm:3.0; coral:3.0; ladbrokes_uk:3.0; unibet_uk:2.9804; betway:2.9423; draftkings:2.9206; sport888:2.88; williamhill:2.88,,
Nottingham Forest vs Manchester City,Fallido,2025-12-27 07:30:00,EPL,Doble Chance,1X,2.6734,smarkets,37,14.8333,0.1972,3.89,0.3,2.4762,0.0001830109458061,37,0.0156222069931822,0.0118518633346875,,,,,smarkets:2.6734; betfair_ex_eu:2.6734; betfair_ex_uk:2.6734; betfair_ex_au:2.6734; unibet_se:2.5556; unibet_nl:2.5556; coolbet:2.5536; tipico_de:2.5456; leovegas:2.5244; leovegas_se:2.5244; fanduel:2.5204; pinnacle:2.5143; unibet:2.4926; tabtouch:2.4926; grosvenor:2.4926; casumo:2.4926; betsson:2.4769; nordicbet:2.4769; skybet:2.475; marathonbet:2.475; tab:2.475; bovada:2.4648; winamax_de:2.4545; virginbet:2.4482; winamax_fr:2.4337; codere_it:2.4245; pointsbetau:2.4231; paddypower:2.4227; unibet_uk:2.3938; betmgm:2.3938; coral:2.3938; betway:2.3729; ladbrokes_uk:2.3729; draftkings:2.3639; mybookieag:2.3537; sport888:2.2826; williamhill:2.2826,1-2,
