Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Adelaide United vs Central Coast Mariners,2026-01-04 03:35:00,1X,1.2413,1.1722,,,,,0.0007951008909583008,32,0.0231552669704506,0.01682934985798455,betfair_ex_uk,32,0.0691,2.72,0.17,A-League,Doble Chance,38.5294,betfair_ex_uk:1.2413; betfair_ex_eu:1.2413; betfair_ex_au:1.2413; coolbet:1.209; pinnacle:1.203; smarkets:1.2; bovada:1.1894; codere_it:1.1872; coral:1.1846; ladbrokes_uk:1.1846; draftkings:1.1841; nordicbet:1.1729; betsson:1.1729; unibet_uk:1.1691; pointsbetau:1.1663; marathonbet:1.1652; leovegas_se:1.1631; leovegas:1.1631; unibet:1.1631; tab:1.1624; betmgm:1.1612; casumo:1.1581; unibet_nl:1.1581; grosvenor:1.1581; tabtouch:1.1581; unibet_se:1.1581; paddypower:1.153; williamhill:1.153; sport888:1.148; winamax_de:1.13; virginbet:1.1194; winamax_fr:1.0898
Adelaide United vs Central Coast Mariners,2026-01-04 03:35:00,X2,2.4186,2.21,,,,,0.0002530224012531059,32,0.018626922281891993,0.012959427991835961,betfair_ex_uk,32,0.2086,4.15,0.17,A-League,Doble Chance,38.5294,betfair_ex_uk:2.4186; betfair_ex_eu:2.4186; betfair_ex_au:2.4186; smarkets:2.3404; tab:2.2973; pointsbetau:2.2527; coral:2.24; coolbet:2.2374; nordicbet:2.2318; betsson:2.2318; draftkings:2.2247; codere_it:2.2225; pinnacle:2.22; bovada:2.2124; marathonbet:2.204; ladbrokes_uk:2.1955; leovegas_se:2.1818; leovegas:2.1818; unibet_uk:2.1724; paddypower:2.1714; casumo:2.1714; unibet_nl:2.1714; grosvenor:2.1714; tabtouch:2.1714; unibet:2.1714; unibet_se:2.1714; betmgm:2.1678; sport888:2.1395; williamhill:2.1395; virginbet:2.1106; winamax_de:2.0988; winamax_fr:1.9618
Lazio vs Napoli,2026-01-04 06:30:00,1X,1.7072,1.6159,,,,,0.00022637424645566867,36,0.01720548534546192,0.013391721225892038,betfair_ex_au,36,0.0913,2.8,0.24,Serie A,Doble Chance,21.75,betfair_ex_au:1.7072; betfair_ex_uk:1.7072; betfair_ex_eu:1.7072; smarkets:1.682; unibet_se:1.682; unibet_nl:1.682; pinnacle:1.6484; coolbet:1.6364; casumo:1.6314; grosvenor:1.6314; tabtouch:1.6314; unibet:1.6314; leovegas_se:1.6314; marathonbet:1.6295; fanduel:1.6214; tipico_de:1.6214; codere_it:1.6188; pointsbetau:1.6154; bovada:1.6154; winamax_de:1.6078; leovegas:1.6062; nordicbet:1.5965; betsson:1.5965; unibet_uk:1.5938; tab:1.5938; virginbet:1.59; betclic_fr:1.5893; skybet:1.5859; paddypower:1.5859; ladbrokes_uk:1.5714; betmgm:1.5714; coral:1.5714; draftkings:1.5687; winamax_fr:1.5576; williamhill:1.5325; sport888:1.5213
Lazio vs Napoli,2026-01-04 06:30:00,X2,1.3527,1.3,,,,,0.00029870236021060795,36,0.017098258397980393,0.014282451983968374,betfair_ex_au,36,0.0527,2.22,0.24,Serie A,Doble Chance,21.75,betfair_ex_au:1.3527; betfair_ex_uk:1.3527; betfair_ex_eu:1.3527; smarkets:1.3368; marathonbet:1.333; codere_it:1.3305; pinnacle:1.3279; coolbet:1.3271; coral:1.324; betmgm:1.3178; nordicbet:1.3177; betsson:1.3177; winamax_de:1.3112; unibet_se:1.3112; unibet_nl:1.3112; unibet_uk:1.3019; pointsbetau:1.3019; ladbrokes_uk:1.3019; bovada:1.3019; tab:1.3019; fanduel:1.2924; draftkings:1.2924; betclic_fr:1.2922; sport888:1.2827; williamhill:1.2827; winamax_fr:1.2764; tipico_de:1.2764; casumo:1.27; grosvenor:1.27; tabtouch:1.27; unibet:1.27; leovegas_se:1.27; skybet:1.267; paddypower:1.267; leovegas:1.251; virginbet:1.2375
Tottenham Hotspur vs Sunderland,2026-01-04 10:00:00,1X,1.2577,1.2121,,,,,0.000266575480168207,38,0.01468456091322399,0.011210024327234596,betfair_ex_eu,38,0.0456,1.8,0.34,EPL,Doble Chance,13.0294,betfair_ex_eu:1.2577; betfair_ex_au:1.2577; betfair_ex_uk:1.2577; smarkets:1.2533; coolbet:1.2488; unibet_nl:1.235; unibet_se:1.2307; pinnacle:1.2271; codere_it:1.222; draftkings:1.2189; marathonbet:1.2178; unibet_uk:1.2176; leovegas_se:1.2162; leovegas:1.2162; winamax_de:1.2144; betway:1.2133; coral:1.2133; ladbrokes_uk:1.2133; betmgm:1.2133; bovada:1.2116; betsson:1.2109; nordicbet:1.2109; grosvenor:1.2017; unibet:1.2017; casumo:1.2017; tabtouch:1.2017; fanduel:1.2; paddypower:1.2; pointsbetau:1.2; tipico_de:1.1982; mybookieag:1.193; skybet:1.1887; sport888:1.1887; tab:1.1887; betclic_fr:1.1877; winamax_fr:1.1799; williamhill:1.1769; virginbet:1.1742
Tottenham Hotspur vs Sunderland,2026-01-04 10:00:00,X2,2.1209,2.0037,,,,,0.00014886382573279093,38,0.014361568151639761,0.011505751346543434,betfair_ex_eu,38,0.1172,2.9,0.34,EPL,Doble Chance,13.0294,betfair_ex_eu:2.1209; betfair_ex_au:2.1209; betfair_ex_uk:2.1209; smarkets:2.1012; coolbet:2.0707; pinnacle:2.0611; marathonbet:2.0608; betsson:2.0605; nordicbet:2.0605; tipico_de:2.039; unibet_nl:2.0386; unibet_se:2.0386; bovada:2.0245; fanduel:2.0195; leovegas_se:2.0037; leovegas:2.0037; codere_it:2.0; unibet_uk:2.0; paddypower:2.0; pointsbetau:2.0; winamax_de:1.995; draftkings:1.995; grosvenor:1.9877; unibet:1.9877; casumo:1.9877; tabtouch:1.9877; tab:1.9688; betclic_fr:1.9586; virginbet:1.9528; betway:1.9385; coral:1.9385; ladbrokes_uk:1.9385; betmgm:1.9385; skybet:1.9355; winamax_fr:1.9295; mybookieag:1.9295; williamhill:1.9179; sport888:1.9091
Fiorentina vs Cremonese,2026-01-04 09:00:00,1X,1.2253,1.1776,,,,,0.00038126711153637456,37,0.016466188085454914,0.013290228654922404,betfair_ex_eu,37,0.0477,1.95,0.48,Serie A,Doble Chance,10.5417,betfair_ex_eu:1.2253; betfair_ex_uk:1.2253; betfair_ex_au:1.2253; smarkets:1.2109; coolbet:1.2075; pinnacle:1.1952; betway:1.1932; marathonbet:1.192; unibet_se:1.192; unibet_nl:1.192; bovada:1.1911; nordicbet:1.1881; betsson:1.1881; codere_it:1.1866; betmgm:1.1866; winamax_de:1.1835; unibet_uk:1.1776; ladbrokes_uk:1.1776; coral:1.1776; tab:1.1776; fanduel:1.1755; tipico_de:1.1742; pointsbetau:1.173; paddypower:1.1667; betclic_fr:1.1664; draftkings:1.1622; skybet:1.1553; sport888:1.1553; williamhill:1.1553; casumo:1.1541; grosvenor:1.1541; tabtouch:1.1541; unibet:1.1541; leovegas_se:1.1541; winamax_fr:1.1495; leovegas:1.1442; virginbet:1.1306
Fiorentina vs Cremonese,2026-01-04 09:00:00,X2,2.1961,2.0704,,,,,0.0001610482110621563,37,0.014927929256905269,0.011456447904637906,betfair_ex_eu,37,0.1257,3.1,0.48,Serie A,Doble Chance,10.5417,betfair_ex_eu:2.1961; betfair_ex_uk:2.1961; betfair_ex_au:2.1961; smarkets:2.1618; pinnacle:2.1567; coolbet:2.1497; unibet_se:2.1446; unibet_nl:2.1446; marathonbet:2.1098; pointsbetau:2.093; winamax_de:2.0894; tipico_de:2.0894; casumo:2.076; grosvenor:2.076; tabtouch:2.076; unibet:2.076; leovegas_se:2.076; nordicbet:2.0702; betsson:2.0702; paddypower:2.0588; fanduel:2.0588; leovegas:2.0588; virginbet:2.0588; codere_it:2.0571; unibet_uk:2.0479; betway:2.0455; betclic_fr:2.0414; coral:2.0195; betmgm:2.0195; bovada:2.0195; winamax_fr:2.0037; ladbrokes_uk:2.0; tab:2.0; skybet:1.9902; draftkings:1.9877; sport888:1.955; williamhill:1.9367
Brest vs Auxerre,2026-01-04 11:15:00,1X,1.2774,1.2304,,,,,0.00033084573995700276,36,0.016643736726066276,0.012956820729126807,betfair_ex_au,36,0.047,2.05,0.51,Ligue 1,Doble Chance,9.8235,betfair_ex_au:1.2774; betfair_ex_eu:1.2774; betfair_ex_uk:1.2774; coolbet:1.2646; smarkets:1.2628; marathonbet:1.2567; unibet_nl:1.2564; leovegas_se:1.2564; unibet_uk:1.2458; codere_it:1.2417; unibet:1.2376; ladbrokes_uk:1.2357; betmgm:1.2357; coral:1.2357; unibet_se:1.2335; grosvenor:1.2335; tabtouch:1.2335; casumo:1.2335; betclic_fr:1.2335; betsson:1.2304; nordicbet:1.2304; pinnacle:1.2298; winamax_de:1.2271; draftkings:1.2257; williamhill:1.2187; leovegas:1.2147; tab:1.2138; betway:1.2098; fanduel:1.2065; paddypower:1.2065; skybet:1.1981; sport888:1.1961; bovada:1.1961; tipico_de:1.1936; winamax_fr:1.191; virginbet:1.1772
Brest vs Auxerre,2026-01-04 11:15:00,X2,2.0,1.8671,,,,,0.0001757126271050637,36,0.015571591982292127,0.010780118268679905,betfair_ex_au,36,0.1329,2.98,0.51,Ligue 1,Doble Chance,9.8235,betfair_ex_au:2.0; betfair_ex_eu:2.0; betfair_ex_uk:2.0; smarkets:1.9845; pinnacle:1.9138; marathonbet:1.9012; unibet_nl:1.8882; leovegas_se:1.8882; fanduel:1.8789; skybet:1.8789; paddypower:1.8789; winamax_de:1.8789; tipico_de:1.8671; coolbet:1.8667; ladbrokes_uk:1.8667; betmgm:1.8667; coral:1.8667; betclic_fr:1.863; codere_it:1.8523; unibet_se:1.8523; grosvenor:1.8523; tabtouch:1.8523; unibet:1.8523; casumo:1.8523; unibet_uk:1.8523; betway:1.848; draftkings:1.848; bovada:1.8437; leovegas:1.8272; betsson:1.8226; nordicbet:1.8226; winamax_fr:1.8129; tab:1.8082; sport888:1.7778; virginbet:1.7769; williamhill:1.7727
