Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas
Juventus vs Lecce,2026-01-03 12:00:00,1X,1.0678,1.0339,,,,,0.0014696552091206,33,0.0156131124505803,0.013021719386523,betfair_ex_uk,33,0.0339,1.63,0.1,Serie A,Doble Chance,52.6,betfair_ex_uk:1.0678; betfair_ex_au:1.0678; betfair_ex_eu:1.0678; smarkets:1.0617; codere_it:1.0486; unibet_se:1.0481; unibet_nl:1.0481; coolbet:1.0481; coral:1.0469; marathonbet:1.0436; pinnacle:1.0415; betmgm:1.0402; ladbrokes_uk:1.0383; bovada:1.0352; winamax_de:1.0351; unibet_uk:1.0318; pointsbetau:1.0318; fanduel:1.0284; betsson:1.0282; nordicbet:1.0282; betway:1.0268; casumo:1.0216; grosvenor:1.0216; tabtouch:1.0216; unibet:1.0216; leovegas_se:1.0216; tab:1.0185; betclic_fr:1.0185; draftkings:1.0161; skybet:1.0139; tipico_de:1.0139; winamax_fr:1.0084; leovegas:1.0065
Juventus vs Lecce,2026-01-03 12:00:00,X2,4.4286,3.9153,,,,,0.0001918352809816,33,0.0141542191497466,0.0106660167706276,betfair_ex_uk,33,0.5133,5.74,0.1,Serie A,Doble Chance,52.6,betfair_ex_uk:4.4286; betfair_ex_au:4.4286; betfair_ex_eu:4.4286; smarkets:4.2849; tipico_de:4.1053; coolbet:4.1053; unibet_se:4.0541; unibet_nl:4.0541; skybet:4.0; marathonbet:3.983; pinnacle:3.948; codere_it:3.9101; winamax_de:3.9101; casumo:3.9101; grosvenor:3.9101; tabtouch:3.9101; unibet:3.9101; leovegas_se:3.9101; leovegas:3.8873; betmgm:3.8333; fanduel:3.7976; coral:3.7761; betway:3.7761; pointsbetau:3.7714; tab:3.7714; betsson:3.7709; nordicbet:3.7709; bovada:3.7108; betclic_fr:3.694; unibet_uk:3.6667; ladbrokes_uk:3.6667; winamax_fr:3.622; draftkings:3.5
Sassuolo vs Parma,2026-01-03 09:00:00,1X,1.274,1.2178,,,,,0.0003447202468193,37,0.0169066312030197,0.0138289913407522,betfair_ex_uk,37,0.0562,2.09,0.23,Serie A,Doble Chance,23.5217,betfair_ex_uk:1.274; betfair_ex_au:1.274; betfair_ex_eu:1.274; smarkets:1.2672; marathonbet:1.2446; codere_it:1.2393; coral:1.2393; unibet_se:1.2376; unibet_nl:1.2376; winamax_de:1.2335; unibet_uk:1.2325; coolbet:1.2285; pinnacle:1.2255; betmgm:1.223; nordicbet:1.2187; betsson:1.2187; fanduel:1.2098; skybet:1.2098; ladbrokes_uk:1.2098; betway:1.2098; pointsbetau:1.2058; tipico_de:1.2058; grosvenor:1.2042; unibet:1.2042; leovegas_se:1.2042; casumo:1.2042; tabtouch:1.2042; bovada:1.2039; paddypower:1.203; tab:1.2; williamhill:1.1961; draftkings:1.1961; leovegas:1.1918; sport888:1.1854; winamax_fr:1.183; betclic_fr:1.183; virginbet:1.1772
Sassuolo vs Parma,2026-01-03 09:00:00,X2,1.9714,1.869,,,,,0.0001409405689911,37,0.0139412260277052,0.0102342026349165,betfair_ex_uk,37,0.1024,2.62,0.23,Serie A,Doble Chance,23.5217,betfair_ex_uk:1.9714; betfair_ex_au:1.9714; betfair_ex_eu:1.9714; coolbet:1.9472; smarkets:1.9367; unibet_se:1.924; unibet_nl:1.924; pinnacle:1.9009; fanduel:1.8857; marathonbet:1.8827; coral:1.8789; nordicbet:1.8782; betsson:1.8782; betclic_fr:1.8782; winamax_de:1.8735; tipico_de:1.8671; grosvenor:1.8636; unibet:1.8636; leovegas_se:1.8636; leovegas:1.8636; casumo:1.8636; tabtouch:1.8636; bovada:1.8614; codere_it:1.8587; betmgm:1.8587; paddypower:1.8565; skybet:1.848; betway:1.848; pointsbetau:1.8284; virginbet:1.8284; tab:1.8255; unibet_uk:1.8231; ladbrokes_uk:1.8082; sport888:1.8082; draftkings:1.7973; williamhill:1.7778; winamax_fr:1.7727
Real Valladolid CF vs Real Racing Club de Santander,2026-01-03 12:30:00,1X,1.4069,1.3216,,,,,0.0005160959114888,33,0.022993753890161,0.0181362147243067,betfair_ex_eu,33,0.0853,3.08,0.49,La Liga 2,Doble Chance,14.7959,betfair_ex_eu:1.4069; betfair_ex_uk:1.4069; betfair_ex_au:1.4069; smarkets:1.3914; coolbet:1.3719; williamhill:1.354; pinnacle:1.3455; unibet:1.3388; unibet_nl:1.3388; unibet_se:1.3388; pointsbetau:1.3378; fanduel:1.3357; draftkings:1.3295; marathonbet:1.328; betway:1.3204; nordicbet:1.3119; betsson:1.3119; tabtouch:1.3091; grosvenor:1.3091; casumo:1.3091; leovegas_se:1.3091; tipico_de:1.3037; paddypower:1.3018; skybet:1.294; virginbet:1.294; leovegas:1.294; codere_it:1.2896; winamax_de:1.286; betmgm:1.286; bovada:1.2792; coral:1.2695; ladbrokes_uk:1.2695; winamax_fr:1.234
Real Valladolid CF vs Real Racing Club de Santander,2026-01-03 12:30:00,X2,1.7,1.5966,,,,,0.0002681308875643,33,0.0186728620976712,0.0142598871967186,betfair_ex_eu,33,0.1034,3.02,0.49,La Liga 2,Doble Chance,14.7959,betfair_ex_eu:1.7; betfair_ex_uk:1.7; betfair_ex_au:1.7; smarkets:1.675; unibet:1.6366; unibet_nl:1.6366; unibet_se:1.6366; pinnacle:1.6251; draftkings:1.625; coolbet:1.6215; nordicbet:1.5996; betsson:1.5996; tabtouch:1.5984; grosvenor:1.5984; casumo:1.5984; leovegas_se:1.5984; fanduel:1.5938; marathonbet:1.5897; virginbet:1.5866; leovegas:1.5866; codere_it:1.5746; tipico_de:1.5746; paddypower:1.5714; bovada:1.5714; pointsbetau:1.5714; williamhill:1.5651; winamax_de:1.5616; betway:1.55; betmgm:1.5484; skybet:1.5325; coral:1.5246; ladbrokes_uk:1.5246; winamax_fr:1.5116
Genoa vs Pisa,2026-01-03 09:00:00,1X,1.2383,1.1831,,,,,0.00057128244515,36,0.0202869332968684,0.0163871287397589,betfair_ex_eu,36,0.0552,2.41,0.36,Serie A,Doble Chance,14.5278,betfair_ex_eu:1.2383; betfair_ex_au:1.2383; betfair_ex_uk:1.2383; smarkets:1.2308; nordicbet:1.2158; betsson:1.2158; coolbet:1.2155; marathonbet:1.2044; unibet_se:1.203; unibet_nl:1.203; pinnacle:1.1978; skybet:1.1961; codere_it:1.1922; winamax_de:1.191; fanduel:1.1818; paddypower:1.1818; coral:1.1818; tab:1.1818; pointsbetau:1.178; unibet_uk:1.1773; bovada:1.1744; williamhill:1.167; betmgm:1.1664; tipico_de:1.1664; casumo:1.1655; tabtouch:1.1655; grosvenor:1.1655; unibet:1.1655; leovegas_se:1.1655; ladbrokes_uk:1.1586; leovegas:1.1575; draftkings:1.152; betclic_fr:1.1515; virginbet:1.1467; sport888:1.1443; winamax_fr:1.1172
Brighton and Hove Albion vs Burnley,2026-01-03 10:00:00,1X,1.1429,1.1044,,,,,0.0007387134641829,37,0.0182935952134544,0.0152299315537152,smarkets,37,0.0385,2.01,0.32,EPL,Doble Chance,14.4062,smarkets:1.1429; betfair_ex_au:1.1429; betfair_ex_eu:1.1429; betfair_ex_uk:1.1429; coolbet:1.126; marathonbet:1.1255; pinnacle:1.125; unibet_uk:1.1197; coral:1.1186; betmgm:1.1186; nordicbet:1.1167; betsson:1.1167; ladbrokes_uk:1.1141; codere_it:1.114; pointsbetau:1.1137; draftkings:1.1137; unibet_nl:1.1129; bovada:1.1083; winamax_de:1.1081; unibet_se:1.107; betway:1.103; leovegas:1.1018; mybookieag:1.0966; tab:1.0966; leovegas_se:1.0958; fanduel:1.0909; tipico_de:1.0905; winamax_fr:1.0852; sport888:1.0833; grosvenor:1.0813; casumo:1.0813; tabtouch:1.0813; unibet:1.0813; williamhill:1.0723; skybet:1.0678; paddypower:1.0678; virginbet:1.0556
Como vs Udinese,2026-01-03 06:30:00,1X,1.226,1.1727,,,,,0.0004329065092688,37,0.0174823209897809,0.0138082518915939,betfair_ex_eu,37,0.0533,2.07,0.43,Serie A,Doble Chance,11.3023,betfair_ex_eu:1.226; betfair_ex_uk:1.226; betfair_ex_au:1.226; smarkets:1.2214; unibet_nl:1.1888; unibet_se:1.1888; nordicbet:1.1881; betsson:1.1881; coolbet:1.1881; marathonbet:1.186; skybet:1.1839; coral:1.1839; codere_it:1.1835; pinnacle:1.181; betway:1.1776; betclic_fr:1.1754; betmgm:1.1745; fanduel:1.173; pointsbetau:1.173; unibet_uk:1.1685; paddypower:1.1685; winamax_de:1.1648; ladbrokes_uk:1.1648; tipico_de:1.1639; bovada:1.1622; grosvenor:1.1554; unibet:1.1554; leovegas_se:1.1554; tabtouch:1.1554; casumo:1.1554; draftkings:1.1449; sport888:1.1442; williamhill:1.1442; tab:1.1442; leovegas:1.1411; winamax_fr:1.1361; virginbet:1.1314
Como vs Udinese,2026-01-03 06:30:00,X2,2.2132,2.1165,,,,,0.000107766133921,37,0.0122007125723607,0.0099603100742925,betfair_ex_eu,37,0.0967,2.6,0.43,Serie A,Doble Chance,11.3023,betfair_ex_eu:2.2132; betfair_ex_uk:2.2132; betfair_ex_au:2.2132; unibet_nl:2.2132; unibet_se:2.2132; smarkets:2.1956; coolbet:2.1704; winamax_de:2.1443; grosvenor:2.1443; unibet:2.1443; leovegas_se:2.1443; tabtouch:2.1443; casumo:2.1443; marathonbet:2.1376; leovegas:2.1274; pinnacle:2.1271; nordicbet:2.1173; betsson:2.1173; codere_it:2.1081; betmgm:2.1053; coral:2.1053; betclic_fr:2.1035; skybet:2.0956; fanduel:2.093; tipico_de:2.093; virginbet:2.093; ladbrokes_uk:2.0894; bovada:2.0756; winamax_fr:2.0753; tab:2.0588; unibet_uk:2.0571; paddypower:2.0479; pointsbetau:2.0479; betway:2.0479; draftkings:2.0407; sport888:2.0241; williamhill:2.0241
