Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Score_Final,Todas_Las_Cuotas,APIs_Usadas
Melbourne City vs Brisbane Roar,2026-01-06 03:00:00,Under 2.5,1.8,1.6973,0.000128,15,0.01325,0.012569,0.00026,15,0.018688,0.017648,toa_coolbet,15,0.1027,3.17,784.64,A-League,Over/Under,,toa_betmgm:1.6900; toa_betsson:1.7500; toa_casumo:1.6500; toa_codere_it:1.7600; toa_coolbet:1.8000; toa_grosvenor:1.6500; toa_gtbets:1.7600; toa_leovegas:1.6500; toa_leovegas_se:1.6500; toa_nordicbet:1.7500; toa_tabtouch:1.6500; toa_unibet:1.6500; toa_unibet_nl:1.6500; toa_unibet_se:1.6500; toa_williamhill:1.7500,THE_ODDS_API
Melbourne City vs Brisbane Roar,2026-01-06 03:00:00,Over 2.5,2.08,2.04,0.000128,15,0.01325,0.012569,0.00012,15,0.01287,0.011084,toa_tabtouch,15,0.04,2.62,635.79,A-League,Over/Under,,toa_betmgm:2.0000; toa_betsson:1.9800; toa_casumo:2.0800; toa_codere_it:1.9100; toa_coolbet:2.0600; toa_grosvenor:2.0800; toa_gtbets:2.0300; toa_leovegas:2.0800; toa_leovegas_se:2.0800; toa_nordicbet:1.9800; toa_tabtouch:2.0800; toa_unibet:2.0800; toa_unibet_nl:2.0800; toa_unibet_se:2.0800; toa_williamhill:2.0000,THE_ODDS_API
Livingston vs St Mirren,2026-01-06 14:45:00,Over 2.5,2.04,1.9892,0.000114,24,0.012535,0.010874,8.5e-05,24,0.010883,0.00846,toa_matchbook,24,0.0508,2.16,1107.09,Scottish Premiership,Over/Under,,toa_betmgm:1.9100; toa_betonlineag:2.0000; toa_betrivers:2.0200; toa_betsson:1.9800; toa_betus:1.8800; toa_bovada:2.0000; toa_casumo:2.0200; toa_codere_it:1.9500; toa_coolbet:1.9800; toa_grosvenor:2.0200; toa_leovegas:2.0200; toa_leovegas_se:2.0000; toa_lowvig:2.0000; toa_matchbook:2.0400; toa_nordicbet:1.9800; toa_onexbet:1.9900; toa_pinnacle:2.0300; toa_playup:2.0000; toa_tabtouch:2.0200; toa_tipico_de:1.9300; toa_unibet:2.0200; toa_unibet_nl:2.0200; toa_unibet_se:2.0200; toa_williamhill:1.9100,THE_ODDS_API
Livingston vs St Mirren,2026-01-06 14:45:00,Under 2.5,1.89,1.7542,0.000114,24,0.012535,0.010874,0.000363,24,0.022194,0.019258,toa_matchbook,24,0.1358,3.89,1270.26,Scottish Premiership,Over/Under,,toa_betmgm:1.7400; toa_betonlineag:1.8300; toa_betrivers:1.6800; toa_betsson:1.7500; toa_betus:1.8500; toa_bovada:1.7700; toa_casumo:1.6800; toa_codere_it:1.8300; toa_coolbet:1.8000; toa_grosvenor:1.6800; toa_leovegas:1.6800; toa_leovegas_se:1.6600; toa_lowvig:1.8300; toa_matchbook:1.8900; toa_nordicbet:1.7500; toa_onexbet:1.7900; toa_pinnacle:1.8500; toa_playup:1.7700; toa_tabtouch:1.6800; toa_tipico_de:1.7500; toa_unibet:1.6800; toa_unibet_nl:1.6800; toa_unibet_se:1.6800; toa_williamhill:1.8000,THE_ODDS_API
Pisa vs Como,2026-01-06 09:00:00,Under 2.5,1.76,1.6613,5.3e-05,22,0.008509,0.00761,0.00012,22,0.012665,0.009677,toa_coolbet,22,0.0987,2.1,1224.84,Serie A,Over/Under,,sgo_betmgm:1.6494; sgo_betparx:1.6410; sgo_betrivers:1.6289; toa_betmgm:1.6500; toa_betrivers:1.6300; toa_betsson:1.6800; toa_betus:1.6700; toa_casumo:1.6400; toa_codere_it:1.6200; toa_coolbet:1.7600; toa_grosvenor:1.6500; toa_gtbets:1.6700; toa_leovegas:1.6200; toa_leovegas_se:1.6600; toa_nordicbet:1.6800; toa_onexbet:1.7500; toa_playup:1.6800; toa_tabtouch:1.6400; toa_tipico_de:1.6500; toa_unibet_nl:1.6400; toa_unibet_se:1.6400; toa_williamhill:1.7000,"SportsGameOdds, THE_ODDS_API"
Pisa vs Como,2026-01-06 09:00:00,Over 2.5,2.3,2.1745,5.3e-05,22,0.008509,0.00761,0.000108,22,0.012185,0.010115,toa_betus,22,0.1255,2.65,912.41,Serie A,Over/Under,,sgo_betmgm:2.1000; sgo_betparx:2.2000; sgo_betrivers:2.2000; toa_betmgm:2.1000; toa_betrivers:2.2000; toa_betsson:2.1200; toa_betus:2.3000; toa_casumo:2.2000; toa_codere_it:2.1100; toa_coolbet:2.1700; toa_grosvenor:2.2300; toa_gtbets:2.1300; toa_leovegas:2.1800; toa_leovegas_se:2.2300; toa_nordicbet:2.1200; toa_onexbet:2.2500; toa_playup:2.1500; toa_tabtouch:2.2000; toa_tipico_de:2.2000; toa_unibet_nl:2.2000; toa_unibet_se:2.2000; toa_williamhill:2.0500,"SportsGameOdds, THE_ODDS_API"
West Ham United vs Nottingham Forest,2026-01-06 15:00:00,Under 2.5,1.92,1.8384,5.1e-05,29,0.008414,0.007362,0.000118,29,0.012756,0.011109,toa_matchbook,29,0.0816,2.34,1478.35,Premier League,Over/Under,,sgo_betmgm:1.7812; sgo_betparx:1.8696; sgo_betrivers:1.8621; sgo_bovada:1.8696; toa_betmgm:1.7700; toa_betonlineag:1.8300; toa_betrivers:1.8500; toa_betsson:1.7800; toa_betus:1.8200; toa_bovada:1.8700; toa_casumo:1.8700; toa_codere_it:1.7600; toa_coolbet:1.8700; toa_grosvenor:1.8700; toa_gtbets:1.8100; toa_leovegas:1.8700; toa_leovegas_se:1.8700; toa_lowvig:1.8300; toa_matchbook:1.9200; toa_mybookieag:1.7900; toa_nordicbet:1.7800; toa_onexbet:1.9000; toa_pinnacle:1.8400; toa_playup:1.7700; toa_tabtouch:1.8700; toa_tipico_de:1.8500; toa_unibet_nl:1.8700; toa_unibet_se:1.8700; toa_williamhill:1.8000,"SportsGameOdds, THE_ODDS_API"
West Ham United vs Nottingham Forest,2026-01-06 15:00:00,Over 2.5,2.06,1.9668,5.1e-05,29,0.008414,0.007362,0.000123,29,0.013034,0.0117,toa_pinnacle,29,0.0932,2.56,1375.45,Premier League,Over/Under,,sgo_betmgm:1.9259; sgo_betparx:1.9434; sgo_betrivers:1.9259; sgo_bovada:1.9524; toa_betmgm:1.9100; toa_betonlineag:2.0400; toa_betrivers:1.9300; toa_betsson:2.0200; toa_betus:2.0200; toa_bovada:1.9500; toa_casumo:1.9300; toa_codere_it:1.9100; toa_coolbet:2.0000; toa_grosvenor:1.9300; toa_gtbets:1.9700; toa_leovegas:1.9400; toa_leovegas_se:1.9400; toa_lowvig:2.0400; toa_matchbook:2.0600; toa_mybookieag:1.9500; toa_nordicbet:2.0200; toa_onexbet:2.0500; toa_pinnacle:2.0600; toa_playup:2.0200; toa_tabtouch:1.9300; toa_tipico_de:1.9000; toa_unibet_nl:1.9300; toa_unibet_se:1.9300; toa_williamhill:1.9100,"SportsGameOdds, THE_ODDS_API"
Brentford vs Sunderland,2026-01-07 14:30:00,Under 2.5,1.88,1.8157,4.9e-05,28,0.008267,0.007639,9.2e-05,28,0.011254,0.009544,toa_onexbet,28,0.0643,2.04,1442.74,Premier League,Over/Under,,sgo_betmgm:1.7519; sgo_betparx:1.8475; sgo_betrivers:1.8403; sgo_bovada:1.8000; toa_betmgm:1.7400; toa_betonlineag:1.8200; toa_betrivers:1.8300; toa_betsson:1.7800; toa_betus:1.8000; toa_bovada:1.8200; toa_casumo:1.8500; toa_codere_it:1.8200; toa_coolbet:1.8200; toa_grosvenor:1.8500; toa_gtbets:1.8400; toa_leovegas:1.8500; toa_leovegas_se:1.8500; toa_lowvig:1.8200; toa_mybookieag:1.7800; toa_nordicbet:1.7800; toa_onexbet:1.8800; toa_pinnacle:1.8300; toa_playup:1.7700; toa_tabtouch:1.8500; toa_tipico_de:1.7700; toa_unibet_nl:1.8500; toa_unibet_se:1.8500; toa_williamhill:1.7500,"SportsGameOdds, THE_ODDS_API"
Brentford vs Sunderland,2026-01-07 14:30:00,Over 2.5,2.08,2.0009,4.9e-05,28,0.008267,0.007639,9.8e-05,28,0.011628,0.010649,toa_pinnacle,28,0.0791,2.33,1300.15,Premier League,Over/Under,,sgo_betmgm:1.9804; sgo_betparx:1.9615; sgo_betrivers:1.9524; sgo_bovada:2.0500; toa_betmgm:1.9800; toa_betonlineag:2.0600; toa_betrivers:1.9400; toa_betsson:2.0500; toa_betus:2.0500; toa_bovada:2.0200; toa_casumo:1.9500; toa_codere_it:2.0400; toa_coolbet:2.0600; toa_grosvenor:1.9500; toa_gtbets:2.0000; toa_leovegas:1.9600; toa_leovegas_se:1.9600; toa_lowvig:2.0600; toa_mybookieag:1.9800; toa_nordicbet:2.0500; toa_onexbet:2.0700; toa_pinnacle:2.0800; toa_playup:2.0200; toa_tabtouch:1.9500; toa_tipico_de:2.0000; toa_unibet_nl:1.9500; toa_unibet_se:1.9500; toa_williamhill:1.9500,"SportsGameOdds, THE_ODDS_API"
