Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,1.2925,0.06,2.37,2.94,1.82,pinnacle:1.88; betsson:1.8; codere_it:1.78,79.8,0-3,Acertado,,,
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Over 2.5,1.85,pinnacle,3,1.1519,0.06,2.54,2.83,1.79,pinnacle:1.85; betsson:1.78; codere_it:1.74,75.56,0-0,Fallido,,,
Udinese vs Napoli,2025-12-14 09:00:00,Serie A,Goles (Over/Under),Over 2.5,2.38,betsson,2,-0.1991,0.005,0.21,6.53,2.375,betsson:2.38; codere_it:2.37,74.71,1-0,Fallido,,,
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,X2,1.51,pinnacle,4,1.081,0.035,1.55,3.21,1.475,pinnacle:1.51; codere_it:1.48; marathonbet:1.46; betsson:1.45,74.21,1-3,Acertado,,,
Rangers vs Hibernian,2025-12-15 14:45:00,Premiership,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.1632,0.005,0.28,6.68,1.775,betsson:1.78; codere_it:1.77,73.6,1-0,Fallido,Descanso,Sky Sports,2025-12-15T20:48:07+00:00
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,1.0848,0.0567,3.02,2.83,1.9933,pinnacle:2.05; betsson:2.02; codere_it:1.91,72.92,3-0,Acertado,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Under 3.5,1.88,pinnacle,3,1.1191,0.0267,1.11,3.19,1.8533,pinnacle:1.88; betsson:1.85; codere_it:1.83,72.85,0-0,Acertado,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Goles (Over/Under),Over 2.5,1.75,betsson,2,0.1774,0.005,0.29,6.65,1.745,betsson:1.75; codere_it:1.74,72.81,1-2,Acertado,,,
Sunderland vs Newcastle United,2025-12-14 09:00:00,EPL,Doble Chance,X2,1.35,pinnacle,4,0.1765,0.0025,0.32,3.4,1.3475,pinnacle:1.35; marathonbet:1.35; betsson:1.35; codere_it:1.34,71.53,1-0,Fallido,,,
Auxerre vs Lille,2025-12-14 11:15:00,Ligue 1,Doble Chance,X2,1.24,pinnacle,4,0.2493,0.0075,0.35,3.49,1.2325,pinnacle:1.24; betsson:1.23; codere_it:1.23; marathonbet:1.23,70.88,3-4,Acertado,,,
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Over 2.5,1.95,pinnacle,3,1.0194,0.07,2.64,3.1,1.88,pinnacle:1.95; betsson:1.85; codere_it:1.84,70.82,1-0,Fallido,,,
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.02,pinnacle,3,0.9663,0.05,1.81,3.56,1.97,pinnacle:2.02; betsson:1.95; codere_it:1.94,70.13,1-3,Acertado,,,
Charleroi vs Union Saint-Gilloise,2025-12-14 12:30:00,Belgium First Div,Goles (Over/Under),Over 2.5,2.04,pinnacle,2,0.4392,0.01,0.49,3.37,2.03,pinnacle:2.04; betsson:2.02,69.52,1-1,Fallido,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Doble Chance,X2,1.17,marathonbet,4,0.2348,0.0075,0.37,3.28,1.1625,marathonbet:1.17; pinnacle:1.16; codere_it:1.16; betsson:1.16,69.27,1-2,Acertado,,,
