fixture_id,league_id,league_name,bookmaker_id,bookmaker,home_odds,draw_odds,away_odds,odds_1x,odds_x2,prob_1x,prob_x2
1378047,135,Serie A,1,10Bet,5.1,3.4,1.76,2.04,1.1597,49.02,86.23
1378047,135,Serie A,7,William Hill,4.8,3.3,1.73,1.9556,1.135,51.14,88.11
1378047,135,Serie A,8,Bet365,5.25,3.4,1.75,2.0636,1.1553,48.46,86.56
1378047,135,Serie A,2,Marathonbet,5.45,3.48,1.78,2.1239,1.1776,47.08,84.92
1378047,135,Serie A,16,Unibet,5.6,3.45,1.68,2.1348,1.1298,46.84,88.51
1378047,135,Serie A,3,Betfair,5.5,3.4,1.75,2.1011,1.1553,47.59,86.56
1378047,135,Serie A,13,188Bet,5.1,3.45,1.79,2.0579,1.1785,48.59,84.85
1378047,135,Serie A,4,Pinnacle,5.29,3.52,1.78,2.1136,1.1822,47.31,84.59
1378047,135,Serie A,5,SBO,4.27,3.12,1.75,1.8028,1.1211,55.47,89.2
1378047,135,Serie A,11,1xBet,5.54,3.54,1.81,2.1599,1.1976,46.3,83.5
1378047,135,Serie A,32,Betano,5.3,3.6,1.8,2.1438,1.2,46.65,83.33
1378047,135,Serie A,34,Superbet,5.25,3.45,1.77,2.0819,1.1698,48.03,85.48
1378051,135,Serie A,1,10Bet,5.1,3.4,1.76,2.04,1.1597,49.02,86.23
1378051,135,Serie A,7,William Hill,4.8,3.3,1.75,1.9556,1.1436,51.14,87.44
1378051,135,Serie A,8,Bet365,5.25,3.4,1.75,2.0636,1.1553,48.46,86.56
1378051,135,Serie A,2,Marathonbet,5.15,3.54,1.78,2.0979,1.1844,47.67,84.43
1378051,135,Serie A,16,Unibet,5.25,3.55,1.68,2.1179,1.1403,47.22,87.7
1378051,135,Serie A,3,Betfair,5.0,3.4,1.75,2.0238,1.1553,49.41,86.56
1378051,135,Serie A,13,188Bet,5.0,3.5,1.79,2.0588,1.1843,48.57,84.44
1378051,135,Serie A,4,Pinnacle,5.25,3.58,1.77,2.1285,1.1844,46.98,84.43
1378051,135,Serie A,5,SBO,4.2,3.23,1.73,1.8258,1.1266,54.77,88.76
1378051,135,Serie A,11,1xBet,5.26,3.62,1.82,2.1443,1.2111,46.64,82.57
1378051,135,Serie A,32,Betano,5.3,3.6,1.8,2.1438,1.2,46.65,83.33
1378051,135,Serie A,34,Superbet,5.1,3.5,1.78,2.0756,1.1799,48.18,84.75
