fixture_id,league_id,league_name,bookmaker_id,bookmaker,home_odds,draw_odds,away_odds,odds_1x,odds_x2,prob_1x,prob_x2
1347271,6,Africa Cup of Nations,1,10Bet,5.9,3.5,1.66,2.1968,1.126,45.52,88.81
1347271,6,Africa Cup of Nations,7,William Hill,5.0,3.3,1.73,1.988,1.135,50.3,88.11
1347271,6,Africa Cup of Nations,8,Bet365,6.0,3.4,1.67,2.1702,1.1199,46.08,89.29
1347271,6,Africa Cup of Nations,2,Marathonbet,5.45,3.4,1.68,2.0938,1.1244,47.76,88.94
1347271,6,Africa Cup of Nations,16,Unibet,5.6,3.55,1.65,2.1727,1.1264,46.03,88.78
1347271,6,Africa Cup of Nations,3,Betfair,5.5,3.3,1.67,2.0625,1.1089,48.48,90.18
1347271,6,Africa Cup of Nations,13,188Bet,4.55,3.35,1.66,1.9294,1.11,51.83,90.09
1347271,6,Africa Cup of Nations,4,Pinnacle,5.74,3.5,1.66,2.1742,1.126,45.99,88.81
1347271,6,Africa Cup of Nations,5,SBO,4.09,2.99,1.7,1.7273,1.0838,57.89,92.27
1347271,6,Africa Cup of Nations,11,1xBet,5.73,3.58,1.77,2.2034,1.1844,45.38,84.43
1347271,6,Africa Cup of Nations,32,Betano,6.2,3.65,1.7,2.2975,1.1598,43.53,86.22
1347271,6,Africa Cup of Nations,34,Superbet,5.7,3.5,1.69,2.1685,1.1397,46.11,87.74
1347272,6,Africa Cup of Nations,1,10Bet,5.2,3.15,1.83,1.9617,1.1575,50.98,86.39
1347272,6,Africa Cup of Nations,7,William Hill,6.5,2.6,1.73,1.8571,1.0388,53.85,96.26
1347272,6,Africa Cup of Nations,8,Bet365,6.5,2.88,1.8,1.9957,1.1077,50.11,90.28
1347272,6,Africa Cup of Nations,2,Marathonbet,6.1,2.84,1.8,1.9378,1.1017,51.6,90.77
1347272,6,Africa Cup of Nations,16,Unibet,7.0,2.8,1.78,2.0,1.0882,50.0,91.89
1347272,6,Africa Cup of Nations,3,Betfair,6.5,2.88,1.75,1.9957,1.0886,50.11,91.86
1347272,6,Africa Cup of Nations,13,188Bet,4.5,2.87,1.82,1.7524,1.1137,57.06,89.79
1347272,6,Africa Cup of Nations,4,Pinnacle,6.59,2.96,1.79,2.0426,1.1155,48.96,89.65
1347272,6,Africa Cup of Nations,5,SBO,4.24,2.73,1.77,1.6607,1.0738,60.22,93.13
1347272,6,Africa Cup of Nations,11,1xBet,6.4,2.98,1.89,2.0333,1.1565,49.18,86.47
1347272,6,Africa Cup of Nations,32,Betano,6.1,3.1,1.87,2.0554,1.1664,48.65,85.73
1347272,6,Africa Cup of Nations,34,Superbet,6.5,2.95,1.8,2.0291,1.1179,49.28,89.45
1347273,6,Africa Cup of Nations,1,10Bet,8.0,3.95,1.46,2.6444,1.066,37.82,93.81
1347273,6,Africa Cup of Nations,7,William Hill,8.0,3.8,1.44,2.5763,1.0443,38.82,95.76
1347273,6,Africa Cup of Nations,8,Bet365,8.5,4.0,1.45,2.72,1.0642,36.76,93.97
1347273,6,Africa Cup of Nations,2,Marathonbet,8.2,3.9,1.44,2.643,1.0517,37.84,95.08
1347273,6,Africa Cup of Nations,16,Unibet,8.0,3.95,1.46,2.6444,1.066,37.82,93.81
1347273,6,Africa Cup of Nations,3,Betfair,9.0,3.9,1.4,2.7209,1.0302,36.75,97.07
1347273,6,Africa Cup of Nations,13,188Bet,6.5,3.9,1.41,2.4375,1.0356,41.03,96.56
1347273,6,Africa Cup of Nations,4,Pinnacle,7.87,4.05,1.45,2.674,1.0677,37.4,93.66
1347273,6,Africa Cup of Nations,5,SBO,6.09,3.56,1.38,2.2467,0.9945,44.51,100.55
1347273,6,Africa Cup of Nations,11,1xBet,8.6,4.1,1.51,2.7764,1.1036,36.02,90.61
1347273,6,Africa Cup of Nations,32,Betano,9.0,4.05,1.5,2.7931,1.0946,35.8,91.36
1347273,6,Africa Cup of Nations,34,Superbet,7.7,4.0,1.48,2.6325,1.0803,37.99,92.57
1347274,6,Africa Cup of Nations,1,10Bet,6.75,3.65,1.57,2.369,1.0978,42.21,91.09
1347274,6,Africa Cup of Nations,7,William Hill,5.8,3.5,1.62,2.1828,1.1074,45.81,90.3
1347274,6,Africa Cup of Nations,8,Bet365,6.25,3.7,1.6,2.3241,1.117,43.03,89.53
1347274,6,Africa Cup of Nations,2,Marathonbet,6.3,3.56,1.58,2.2746,1.0943,43.96,91.38
1347274,6,Africa Cup of Nations,16,Unibet,6.0,3.6,1.62,2.25,1.1172,44.44,89.51
1347274,6,Africa Cup of Nations,3,Betfair,6.5,3.6,1.55,2.3168,1.0835,43.16,92.29
1347274,6,Africa Cup of Nations,13,188Bet,5.3,3.3,1.59,2.0337,1.073,49.17,93.2
1347274,6,Africa Cup of Nations,4,Pinnacle,6.34,3.8,1.59,2.3759,1.121,42.09,89.21
1347274,6,Africa Cup of Nations,5,SBO,4.66,3.16,1.58,1.8831,1.0533,53.1,94.94
1347274,6,Africa Cup of Nations,11,1xBet,6.62,3.74,1.66,2.3898,1.1497,41.84,86.98
1347274,6,Africa Cup of Nations,32,Betano,6.6,3.9,1.62,2.4514,1.1446,40.79,87.37
1347274,6,Africa Cup of Nations,34,Superbet,6.2,3.7,1.61,2.3172,1.1218,43.16,89.14
1385465,407,Championship,1,10Bet,2.15,3.2,2.9,1.286,1.5213,77.76,65.73
1385465,407,Championship,8,Bet365,2.15,3.4,2.8,1.3171,1.5355,75.92,65.13
1385465,407,Championship,2,Marathonbet,2.17,3.34,2.84,1.3154,1.5349,76.02,65.15
1385465,407,Championship,16,Unibet,2.18,3.4,2.75,1.3283,1.5203,75.28,65.78
1385465,407,Championship,3,Betfair,2.15,3.3,3.0,1.3018,1.5714,76.82,63.64
1385465,407,Championship,11,1xBet,2.19,3.34,2.9,1.3227,1.5522,75.6,64.42
1385465,407,Championship,32,Betano,2.22,3.45,2.87,1.3508,1.5667,74.03,63.83
1385465,407,Championship,34,Superbet,2.22,3.4,2.87,1.3431,1.5563,74.45,64.25
1389695,383,Ligat Ha'al,1,10Bet,4.3,3.8,1.69,2.0173,1.1698,49.57,85.48
1389695,383,Ligat Ha'al,8,Bet365,4.5,3.7,1.6,2.0305,1.117,49.25,89.53
1389695,383,Ligat Ha'al,2,Marathonbet,4.65,3.94,1.64,2.1328,1.158,46.89,86.36
1389695,383,Ligat Ha'al,16,Unibet,4.5,4.2,1.55,2.1724,1.1322,46.03,88.32
1389695,383,Ligat Ha'al,3,Betfair,4.6,3.9,1.6,2.1106,1.1345,47.38,88.14
1389695,383,Ligat Ha'al,13,188Bet,3.65,3.7,1.65,1.8374,1.1411,54.42,87.63
1389695,383,Ligat Ha'al,4,Pinnacle,4.73,4.06,1.66,2.1847,1.1783,45.77,84.87
1389695,383,Ligat Ha'al,5,SBO,4.22,3.61,1.53,1.9456,1.0746,51.4,93.06
1389695,383,Ligat Ha'al,11,1xBet,4.62,3.94,1.66,2.1265,1.1679,47.03,85.62
1389695,383,Ligat Ha'al,32,Betano,4.4,3.85,1.7,2.0533,1.1793,48.7,84.8
1389695,383,Ligat Ha'al,34,Superbet,4.6,3.9,1.64,2.1106,1.1545,47.38,86.62
