fixture_id,home_team,away_team,league_name,match_date,bookmaker_id,bookmaker,line,over_odds,under_odds,prob_over,prob_under,margin
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,1,10Bet,1.5,1.44,2.75,69.44,36.36,5.81
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,1,10Bet,2.5,2.3,1.6,43.48,62.5,5.98
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,1,10Bet,3.5,4.33,1.2,23.09,83.33,6.43
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,1,10Bet,0.5,1.09,7.0,91.74,14.29,6.03
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,1,10Bet,4.5,8.5,1.06,11.76,94.34,6.1
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,1.5,1.44,2.75,69.44,36.36,5.81
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,2.5,2.3,1.62,43.48,61.73,5.21
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,3.5,4.33,1.22,23.09,81.97,5.06
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,0.5,1.08,8.0,92.59,12.5,5.09
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,4.5,9.0,1.07,11.11,93.46,4.57
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,5.5,19.0,1.02,5.26,98.04,3.3
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,8,Bet365,6.5,41.0,1.0,2.44,100.0,2.44
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,1.5,1.45,2.81,68.97,35.59,4.55
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,1.75,1.54,2.39,64.94,41.84,6.78
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,2.0,1.73,2.02,57.8,49.5,7.31
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,2.25,2.01,1.72,49.75,58.14,7.89
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,2.5,2.27,1.55,44.05,64.52,8.57
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,2.75,2.69,1.39,37.17,71.94,9.12
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,3.5,4.3,1.15,23.26,86.96,10.21
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,0.5,1.05,7.5,95.24,13.33,8.57
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,0.75,1.07,6.85,93.46,14.6,8.06
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,1.0,1.1,6.15,90.91,16.26,7.17
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,1.25,1.27,3.56,78.74,28.09,6.83
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,3.0,3.52,1.23,28.41,81.3,9.71
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,4.5,9.0,1.0,11.11,100.0,11.11
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,3.25,3.9,1.18,25.64,84.75,10.39
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,3.75,5.5,1.08,18.18,92.59,10.77
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,4.0,8.2,1.02,12.2,98.04,10.23
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,2,Marathonbet,4.25,8.7,1.01,11.49,99.01,10.5
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,1.5,1.41,2.8,70.92,35.71,6.64
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,1.75,1.55,2.45,64.52,40.82,5.33
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,2.0,1.75,2.07,57.14,48.31,5.45
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,2.25,2.07,1.75,48.31,57.14,5.45
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,2.5,2.35,1.56,42.55,64.1,6.66
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,2.75,2.85,1.42,35.09,70.42,5.51
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,3.5,4.6,1.18,21.74,84.75,6.48
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,0.5,1.07,8.0,93.46,12.5,5.96
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,3.0,3.75,1.27,26.67,78.74,5.41
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,16,Unibet,4.5,10.5,1.03,9.52,97.09,6.61
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,3,Betfair,1.5,1.44,2.7,69.44,37.04,6.48
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,3,Betfair,2.5,2.45,1.53,40.82,65.36,6.18
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,3,Betfair,3.5,4.5,1.2,22.22,83.33,5.56
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,3,Betfair,0.5,1.07,8.0,93.46,12.5,5.96
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,3,Betfair,4.5,10.0,1.05,10.0,95.24,5.24
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,13,188Bet,2.25,2.08,1.82,48.08,54.95,3.02
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,1.5,1.44,2.88,69.44,34.72,4.17
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,1.75,1.56,2.53,64.1,39.53,3.63
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,2.0,1.76,2.14,56.82,46.73,3.55
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,2.25,2.09,1.82,47.85,54.95,2.79
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,2.5,2.38,1.62,42.02,61.73,3.75
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,2.75,2.83,1.46,35.34,68.49,3.83
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,1.25,1.28,3.8,78.12,26.32,4.44
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,3.0,3.68,1.3,27.17,76.92,4.1
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,4,Pinnacle,3.25,4.11,1.25,24.33,80.0,4.33
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,5,SBO,1.75,1.54,2.47,64.94,40.49,5.42
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,5,SBO,2.0,1.76,2.11,56.82,47.39,4.21
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,5,SBO,2.25,2.04,1.82,49.02,54.95,3.96
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,5,SBO,2.5,2.35,1.6,42.55,62.5,5.05
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,1.5,1.45,2.81,68.97,35.59,4.55
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,1.75,1.54,2.39,64.94,41.84,6.78
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,2.0,1.73,2.02,57.8,49.5,7.31
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,2.25,2.01,1.72,49.75,58.14,7.89
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,2.5,2.43,1.66,41.15,60.24,1.39
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,2.75,2.69,1.39,37.17,71.94,9.12
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,3.5,4.3,1.15,23.26,86.96,10.21
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,0.5,1.05,7.5,95.24,13.33,8.57
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,0.75,1.07,6.85,93.46,14.6,8.06
1378047,Lecce,AS Roma,Serie A,2026-01-06T17:00:00+00:00,11,1xBet,1.0,1.1,6.15,90.91,16.26,7.17
