Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Mejor_Casa,Num_Casas,Prob_Implicita_Pct,Volatilidad_Pct,Deporte,Tipo_Mercado,Todas_Las_Cuotas
New York Giants vs Dallas Cowboys,2026-01-04 13:00:00,Over 51.0,2.05,1.94,0.000719,2,0.031545,0.031545,betsson,2,51.55,8.02,NFL,totals,betsson:2.05; bovada:1.83
New York Giants vs Dallas Cowboys,2026-01-04 13:00:00,Under 51.0,2.0,1.87,0.000719,2,0.031545,0.031545,bovada,2,53.48,9.83,NFL,totals,betsson:1.74; bovada:2.00
Las Vegas Raiders vs Kansas City Chiefs,2026-01-04 16:25:00,Over 37.0,2.0,1.9583,8.9e-05,6,0.011105,0.010308,coral,6,51.06,2.13,NFL,totals,betanysports:1.91; coral:2.00; everygame:1.95; ladbrokes_uk:2.00; mybookieag:1.91; playup:1.98
Las Vegas Raiders vs Kansas City Chiefs,2026-01-04 16:25:00,Under 37.0,1.91,1.8533,8.9e-05,6,0.011105,0.010308,mybookieag,6,53.96,2.74,NFL,totals,betanysports:1.91; coral:1.80; everygame:1.87; ladbrokes_uk:1.80; mybookieag:1.91; playup:1.83
Atlanta Falcons vs New Orleans Saints,2026-01-04 13:00:00,Over 44.5,2.02,1.955,6.8e-05,6,0.009725,0.008381,draftkings,6,51.15,2.64,NFL,totals,draftkings:2.02; fanduel:1.95; onexbet:2.01; pointsbetau:1.90; sportsbet:1.95; tipico_de:1.90
Atlanta Falcons vs New Orleans Saints,2026-01-04 13:00:00,Under 44.5,1.9,1.8567,6.8e-05,6,0.009725,0.008381,pointsbetau,6,53.86,1.69,NFL,totals,draftkings:1.82; fanduel:1.87; onexbet:1.82; pointsbetau:1.90; sportsbet:1.86; tipico_de:1.87
Jacksonville Jaguars vs Tennessee Titans,2026-01-04 13:00:00,Over 47.0,1.89,1.8636,4.5e-05,11,0.007936,0.006091,livescorebet,11,53.66,1.78,NFL,totals,casumo:1.85; coral:1.80; grosvenor:1.88; ladbrokes_uk:1.80; leovegas:1.88; leovegas_se:1.88; livescorebet:1.89; tabtouch:1.87; unibet_nl:1.88; unibet_se:1.88; virginbet:1.89
Jacksonville Jaguars vs Tennessee Titans,2026-01-04 13:00:00,Under 47.0,2.0,1.9364,4.5e-05,11,0.007936,0.006091,ladbrokes_uk,11,51.64,1.81,NFL,totals,casumo:1.88; coral:2.00; grosvenor:1.93; ladbrokes_uk:2.00; leovegas:1.93; leovegas_se:1.93; livescorebet:1.93; tabtouch:1.91; unibet_nl:1.93; unibet_se:1.93; virginbet:1.93
Cincinnati Bengals vs Cleveland Browns,2026-01-04 13:00:00,Over 45.0,2.0,1.975,4.4e-05,2,0.00785,0.00785,bovada,2,50.63,1.79,NFL,totals,bovada:2.00; coolbet:1.95
Cincinnati Bengals vs Cleveland Browns,2026-01-04 13:00:00,Under 45.0,1.9,1.865,4.4e-05,2,0.00785,0.00785,coolbet,2,53.62,2.65,NFL,totals,bovada:1.83; coolbet:1.90
