Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Mejor_Casa,Num_Casas,Prob_Implicita_Pct,Volatilidad_Pct,Deporte,Tipo_Mercado,Todas_Las_Cuotas
Sacramento Kings vs Boston Celtics,2026-01-01 22:10:00,Over 239.5,2.9,2.9,,2,,,ladbrokes_uk,2,34.48,0.0,NBA,totals,coral:2.90; ladbrokes_uk:2.90
Sacramento Kings vs Boston Celtics,2026-01-01 22:10:00,Under 239.5,1.4,1.4,,2,,,ladbrokes_uk,2,71.43,0.0,NBA,totals,coral:1.40; ladbrokes_uk:1.40
Los Angeles Clippers vs Utah Jazz,2026-01-01 22:40:00,Over 220.5,1.4,1.4,,2,,,ladbrokes_uk,2,71.43,0.0,NBA,totals,coral:1.40; ladbrokes_uk:1.40
Los Angeles Clippers vs Utah Jazz,2026-01-01 22:40:00,Under 220.5,2.9,2.9,,2,,,ladbrokes_uk,2,34.48,0.0,NBA,totals,coral:2.90; ladbrokes_uk:2.90
Washington Wizards vs Brooklyn Nets,2026-01-02 19:10:00,Over 225.5,1.96,1.9233,,3,,,onexbet,3,51.99,1.67,NBA,totals,fanduel:1.91; onexbet:1.96; sportsbet:1.90
Washington Wizards vs Brooklyn Nets,2026-01-02 19:10:00,Under 225.5,1.96,1.9233,,3,,,onexbet,3,51.99,1.67,NBA,totals,fanduel:1.91; onexbet:1.96; sportsbet:1.90
Indiana Pacers vs San Antonio Spurs,2026-01-02 19:10:00,Over 239.0,1.93,1.92,,3,,,lowvig,3,52.08,0.52,NBA,totals,betonlineag:1.91; gtbets:1.92; lowvig:1.93
Indiana Pacers vs San Antonio Spurs,2026-01-02 19:10:00,Under 239.0,1.93,1.92,,3,,,lowvig,3,52.08,0.52,NBA,totals,betonlineag:1.91; gtbets:1.92; lowvig:1.93
Indiana Pacers vs San Antonio Spurs,2026-01-02 19:10:00,Over 236.5,1.73,1.73,,2,,,ladbrokes_uk,2,57.8,0.0,NBA,totals,coral:1.73; ladbrokes_uk:1.73
Indiana Pacers vs San Antonio Spurs,2026-01-02 19:10:00,Under 236.5,2.05,2.05,,2,,,ladbrokes_uk,2,48.78,0.0,NBA,totals,coral:2.05; ladbrokes_uk:2.05
New York Knicks vs Atlanta Hawks,2026-01-02 19:40:00,Over 245.0,1.93,1.92,,2,,,lowvig,2,52.08,0.74,NBA,totals,betonlineag:1.91; lowvig:1.93
New York Knicks vs Atlanta Hawks,2026-01-02 19:40:00,Under 245.0,1.93,1.92,,2,,,lowvig,2,52.08,0.74,NBA,totals,betonlineag:1.91; lowvig:1.93
New York Knicks vs Atlanta Hawks,2026-01-02 19:40:00,Over 244.5,1.83,1.83,,2,,,ladbrokes_uk,2,54.64,0.0,NBA,totals,coral:1.83; ladbrokes_uk:1.83
