Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Mejor_Casa,Num_Casas,Prob_Implicita_Pct,Volatilidad_Pct,Deporte,Tipo_Mercado,Todas_Las_Cuotas
Anaheim Ducks vs Minnesota Wild,2026-01-02 22:40:00,Over 6.5,2.2,1.9428,0.000195,18,0.01641,0.010155,onexbet,18,51.47,3.98,NHL,totals,betmgm:1.91; betonlineag:1.94; betrivers:1.93; betus:1.91; bovada:1.95; coral:1.85; draftkings:1.95; fanduel:1.94; gtbets:1.95; ladbrokes_uk:1.85; lowvig:1.94; mybookieag:1.90; onexbet:2.20; pinnacle:1.92; pointsbetau:1.90; sport888:1.95; sportsbet:1.93; tipico_de:2.05
Anaheim Ducks vs Minnesota Wild,2026-01-02 22:40:00,Under 6.5,1.95,1.8628,0.000195,18,0.01641,0.010155,pinnacle,18,53.68,3.48,NHL,totals,betmgm:1.91; betonlineag:1.91; betrivers:1.85; betus:1.91; bovada:1.87; coral:1.85; draftkings:1.87; fanduel:1.88; gtbets:1.87; ladbrokes_uk:1.85; lowvig:1.91; mybookieag:1.87; onexbet:1.74; pinnacle:1.95; pointsbetau:1.90; sport888:1.85; sportsbet:1.87; tipico_de:1.67
Seattle Kraken vs Nashville Predators,2026-01-01 22:10:00,Over 5.5,1.9,1.8334,3.5e-05,29,0.007003,0.006545,matchbook,29,54.54,2.1,NHL,totals,betanysports:1.87; betmgm:1.87; betonlineag:1.87; betrivers:1.80; betus:1.87; bovada:1.82; casumo:1.81; draftkings:1.87; everygame:1.87; fanduel:1.85; grosvenor:1.81; gtbets:1.87; leovegas:1.74; leovegas_se:1.82; livescorebet:1.81; lowvig:1.87; matchbook:1.90; mybookieag:1.85; onexbet:1.87; pinnacle:1.87; pointsbetau:1.83; sport888:1.80; sportsbet:1.84; tabtouch:1.80; tipico_de:1.75; unibet:1.81; unibet_nl:1.81; unibet_se:1.81; virginbet:1.81
Seattle Kraken vs Nashville Predators,2026-01-01 22:10:00,Under 5.5,2.04,1.991,3.5e-05,29,0.007003,0.006545,leovegas_se,29,50.23,1.68,NHL,totals,betanysports:1.95; betmgm:1.95; betonlineag:1.99; betrivers:2.02; betus:1.95; bovada:2.02; casumo:2.02; draftkings:1.95; everygame:1.95; fanduel:1.96; grosvenor:2.02; gtbets:1.95; leovegas:1.94; leovegas_se:2.04; livescorebet:2.02; lowvig:1.99; matchbook:2.02; mybookieag:1.97; onexbet:2.01; pinnacle:2.02; pointsbetau:2.00; sport888:2.00; sportsbet:1.97; tabtouch:2.02; tipico_de:1.93; unibet:2.02; unibet_nl:2.02; unibet_se:2.02; virginbet:2.02
Florida Panthers vs New York Rangers,2026-01-02 20:10:00,Over 5.5,1.93,1.8743,2.5e-05,28,0.005861,0.004598,fanduel,28,53.35,1.91,NHL,totals,betmgm:1.87; betonlineag:1.93; betrivers:1.88; betus:1.91; bovada:1.87; casumo:1.88; coral:1.80; draftkings:1.87; fanduel:1.93; grosvenor:1.88; gtbets:1.87; ladbrokes_uk:1.80; leovegas:1.82; leovegas_se:1.89; livescorebet:1.89; lowvig:1.93; mybookieag:1.86; onexbet:1.88; pinnacle:1.86; pointsbetau:1.87; sport888:1.85; sportsbet:1.92; tabtouch:1.88; tipico_de:1.80; unibet:1.89; unibet_nl:1.88; unibet_se:1.88; virginbet:1.89
Florida Panthers vs New York Rangers,2026-01-02 20:10:00,Under 5.5,2.01,1.9289,2.5e-05,28,0.005861,0.004598,pinnacle,28,51.84,1.64,NHL,totals,betmgm:1.95; betonlineag:1.93; betrivers:1.92; betus:1.91; bovada:1.95; casumo:1.93; coral:1.91; draftkings:1.95; fanduel:1.89; grosvenor:1.93; gtbets:1.95; ladbrokes_uk:1.91; leovegas:1.85; leovegas_se:1.93; livescorebet:1.93; lowvig:1.93; mybookieag:1.91; onexbet:2.00; pinnacle:2.01; pointsbetau:1.95; sport888:1.95; sportsbet:1.88; tabtouch:1.92; tipico_de:1.90; unibet:1.93; unibet_nl:1.93; unibet_se:1.93; virginbet:1.93
Vancouver Canucks vs Seattle Kraken,2026-01-02 22:40:00,Over 5.5,1.84,1.7894,1.9e-05,17,0.005149,0.003811,onexbet,17,55.88,1.67,NHL,totals,casumo:1.79; draftkings:1.80; fanduel:1.83; grosvenor:1.79; leovegas:1.73; leovegas_se:1.80; livescorebet:1.79; onexbet:1.84; pointsbetau:1.77; sport888:1.80; sportsbet:1.82; tabtouch:1.78; tipico_de:1.72; unibet:1.79; unibet_nl:1.79; unibet_se:1.79; virginbet:1.79
Vancouver Canucks vs Seattle Kraken,2026-01-02 22:40:00,Under 5.5,2.1,2.0324,1.9e-05,17,0.005149,0.003811,pointsbetau,17,49.2,1.86,NHL,totals,casumo:2.05; draftkings:2.05; fanduel:1.98; grosvenor:2.05; leovegas:1.96; leovegas_se:2.06; livescorebet:2.05; onexbet:2.05; pointsbetau:2.10; sport888:2.00; sportsbet:1.99; tabtouch:2.04; tipico_de:1.97; unibet:2.05; unibet_nl:2.05; unibet_se:2.05; virginbet:2.05
St Louis Blues vs Vegas Golden Knights,2026-01-02 15:10:00,Over 5.5,1.84,1.8024,1.3e-05,25,0.004204,0.003619,onexbet,25,55.48,1.52,NHL,totals,betmgm:1.83; betonlineag:1.83; betrivers:1.79; bovada:1.82; casumo:1.80; coral:1.80; draftkings:1.83; fanduel:1.78; grosvenor:1.80; gtbets:1.83; ladbrokes_uk:1.80; leovegas:1.74; leovegas_se:1.81; livescorebet:1.80; lowvig:1.83; onexbet:1.84; pointsbetau:1.83; sport888:1.80; sportsbet:1.79; tabtouch:1.79; tipico_de:1.72; unibet:1.80; unibet_nl:1.80; unibet_se:1.80; virginbet:1.80
St Louis Blues vs Vegas Golden Knights,2026-01-02 15:10:00,Under 5.5,2.05,2.016,1.3e-05,25,0.004204,0.003619,onexbet,25,49.6,1.58,NHL,totals,betmgm:2.00; betonlineag:2.04; betrivers:2.02; bovada:2.02; casumo:2.04; coral:1.95; draftkings:2.00; fanduel:2.04; grosvenor:2.04; gtbets:2.00; ladbrokes_uk:1.95; leovegas:1.95; leovegas_se:2.04; livescorebet:2.04; lowvig:2.04; onexbet:2.05; pointsbetau:2.00; sport888:2.00; sportsbet:2.03; tabtouch:2.02; tipico_de:1.97; unibet:2.04; unibet_nl:2.04; unibet_se:2.04; virginbet:2.04
