Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,Marcador,Resultado,Rendimiento,decile
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Under 3.5,2.33,leovegas_se,11,0.2823,0.0745,3.23,5.42,2.2555,leovegas_se:2.33; grosvenor:2.32; tabtouch:2.3; unibet_nl:2.3; unibet_se:2.3; casumo:2.3; leovegas:2.28; betsson:2.22; nordicbet:2.22; codere_it:2.14; betmgm:2.1,0.00016,11,0.014827,0.012544,0.000106,11,0.011983,0.011017,0-4,Fallido,-1.0,8
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.3,tipico_de,14,0.3846,0.145,3.12,5.98,2.155,tipico_de:2.3; codere_it:2.23; nordicbet:2.22; betsson:2.22; betmgm:2.2; williamhill:2.2; unibet:2.1; leovegas_se:2.1; leovegas:2.1; tabtouch:2.1; unibet_nl:2.1; unibet_se:2.1; casumo:2.1; grosvenor:2.1,0.000147,14,0.014212,0.013383,9.5e-05,14,0.011367,0.010935,2-1,Fallido,-1.0,7
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Under 2.5,2.5,williamhill,9,-0.0328,0.1511,2.27,9.44,2.3489,williamhill:2.5; unibet_nl:2.33; leovegas_se:2.33; casumo:2.33; unibet_se:2.33; grosvenor:2.33; leovegas:2.33; unibet:2.33; tabtouch:2.33,6.3e-05,9,0.009172,0.005765,5.9e-05,9,0.008796,0.00552,2-1,Fallido,-1.0,6
AEL vs Atromitos Athens,2025-12-21 10:30:00,Super League,Goles (Over/Under),Over 2.5,2.3,williamhill,12,0.219,0.1075,2.2,7.17,2.1925,williamhill:2.3; tipico_de:2.25; betmgm:2.25; codere_it:2.23; grosvenor:2.16; unibet:2.16; unibet_se:2.16; unibet_nl:2.16; casumo:2.16; leovegas:2.16; tabtouch:2.16; leovegas_se:2.16,7e-05,12,0.009837,0.008861,5.3e-05,12,0.008426,0.007845,0-0,Fallido,-1.0,5
AVS Futebol SAD vs Nacional,2025-12-21 10:30:00,Primeira Liga,Goles (Over/Under),Over 2.5,2.28,unibet,14,-0.066,0.0571,3.05,8.79,2.2229,unibet:2.28; unibet_se:2.28; grosvenor:2.28; tabtouch:2.28; casumo:2.28; unibet_nl:2.28; leovegas_se:2.28; leovegas:2.28; coolbet:2.19; tipico_de:2.15; betmgm:2.15; williamhill:2.15; nordicbet:2.12; betsson:2.12,0.000141,14,0.013913,0.01337,0.000197,14,0.016306,0.015911,2-2,Acertado,1.2799999999999998,9
Alanyaspor vs Fatih Karagümrük,2025-12-21 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.97,pinnacle,16,1.6972,0.0819,1.54,2.84,1.8881,pinnacle:1.97; bovada:1.93; betsson:1.91; nordicbet:1.91; tipico_de:1.9; coolbet:1.9; unibet:1.87; unibet_nl:1.87; leovegas:1.87; grosvenor:1.87; casumo:1.87; unibet_se:1.87; leovegas_se:1.87; tabtouch:1.87; betmgm:1.87; codere_it:1.86,4.6e-05,16,0.007957,0.006623,4e-06,16,0.002443,0.00162,2-0,Acertado,0.97,0
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Under 2.5,2.35,nordicbet,14,0.1168,0.0907,2.04,5.05,2.2593,nordicbet:2.35; betsson:2.35; codere_it:2.33; mybookieag:2.25; williamhill:2.25; tipico_de:2.25; leovegas_se:2.25; leovegas:2.25; unibet_se:2.23; casumo:2.23; tabtouch:2.23; grosvenor:2.23; unibet_nl:2.23; betmgm:2.2,5.7e-05,14,0.008831,0.006878,3.9e-05,14,0.007212,0.006408,2-1,Fallido,-1.0,5
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 1.5,2.35,unibet,13,-0.0108,0.0362,2.39,9.22,2.3138,unibet:2.35; casumo:2.35; tabtouch:2.35; unibet_se:2.35; grosvenor:2.35; unibet_nl:2.35; leovegas:2.35; leovegas_se:2.35; tipico_de:2.35; betsson:2.25; nordicbet:2.25; codere_it:2.23; betmgm:2.2,8.2e-05,13,0.010605,0.009558,7.5e-05,13,0.010013,0.009022,1-1,Fallido,-1.0,6
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.5,2.12,coolbet,15,0.4357,0.0887,1.56,5.99,2.0313,coolbet:2.12; nordicbet:2.05; betsson:2.05; williamhill:2.05; betmgm:2.05; codere_it:2.04; unibet_se:2.02; tabtouch:2.02; grosvenor:2.02; unibet:2.02; unibet_nl:2.02; casumo:2.02; leovegas:2.02; leovegas_se:2.0; tipico_de:1.97,4.1e-05,15,0.007555,0.005509,1.3e-05,15,0.004232,0.002549,1-2,Acertado,1.12,1
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Over 2.5,2.45,tipico_de,13,-0.0393,0.0692,1.52,6.61,2.3808,tipico_de:2.45; codere_it:2.44; leovegas_se:2.4; nordicbet:2.38; betsson:2.38; unibet_nl:2.38; unibet_se:2.38; tabtouch:2.38; casumo:2.38; grosvenor:2.38; leovegas:2.35; betmgm:2.35; williamhill:2.3,3e-05,13,0.006411,0.003958,1.6e-05,13,0.004548,0.00244,2-2,Acertado,1.4500000000000002,2
