Mercado,N,Tasa_Acierto_%,Mejor_Cuota_r,Mejor_Cuota_p,Cuota_Promedio_Mercado_r,Cuota_Promedio_Mercado_p,BDI_jsd_fair_r,BDI_jsd_fair_p,BDI_n_bookmakers_fair_r,BDI_n_bookmakers_fair_p,BDI_std_p_fair_r,BDI_std_p_fair_p,BDI_mad_p_fair_r,BDI_mad_p_fair_p,BDI_jsd_r,BDI_jsd_p,BDI_n_bookmakers_r,BDI_n_bookmakers_p,BDI_std_p_r,BDI_std_p_p,BDI_mad_p_r,BDI_mad_p_p,Num_Casas_r,Num_Casas_p,Diferencia_Cuota_Promedio_r,Diferencia_Cuota_Promedio_p,Volatilidad_Pct_r,Volatilidad_Pct_p,Margen_Casa_Pct_r,Margen_Casa_Pct_p,Total_Goles_r,Total_Goles_p
Over 1.5,89,55.1,-0.2118,0.046278,-0.1831,0.085936,-0.0702,0.513042,-0.1428,0.181763,-0.104,0.332146,-0.1126,0.293539,-0.0676,0.528822,-0.1428,0.181763,-0.0972,0.365048,-0.1028,0.337634,-0.1428,0.181763,-0.2126,0.045457,-0.1346,0.208671,0.0695,0.517633,0.8165,0.0
Over 1.75,38,39.5,-0.0008,0.996248,-0.0241,0.885637,0.2733,0.096889,-0.1331,0.425494,0.2968,0.07042,0.3292,0.043594,0.2548,0.122668,-0.1331,0.425494,0.1784,0.284026,0.2035,0.2205,-0.1331,0.425494,0.144,0.388471,0.1824,0.273142,-0.0358,0.831103,0.8656,0.0
Over 2.0,187,39.0,-0.0217,0.76828,-0.0305,0.67885,0.0288,0.695746,0.0082,0.910909,-0.005,0.945871,-0.0105,0.886089,-0.0029,0.968413,0.0082,0.910909,-0.0219,0.766157,-0.0252,0.732585,0.0082,0.910909,0.0215,0.770105,-0.0322,0.661387,0.0162,0.825593,0.8339,0.0
Over 2.25,449,39.0,-0.0392,0.407779,-0.0279,0.555431,-0.0195,0.680362,-0.0275,0.561408,-0.0248,0.600842,-0.0271,0.566783,-0.0329,0.486875,-0.0275,0.561408,-0.0539,0.254808,-0.0428,0.365739,-0.0275,0.561408,-0.0659,0.163394,-0.0477,0.313603,-0.0082,0.862488,0.8091,0.0
Over 2.5,1725,47.2,-0.1218,0.0,-0.1179,1e-06,0.0061,0.800473,-0.0097,0.685992,0.0099,0.680717,0.0063,0.79389,0.0011,0.963799,-0.0097,0.685992,0.0051,0.833035,0.0099,0.68167,-0.0097,0.685992,-0.0896,0.000195,-0.0629,0.008926,0.0499,0.038146,0.8036,0.0
Over 2.75,345,49.6,0.0346,0.521629,0.0391,0.468586,-0.008,0.882343,-0.006,0.912231,0.0073,0.893089,-0.0025,0.962995,0.0048,0.929128,-0.006,0.912231,0.0169,0.754116,0.0155,0.773693,-0.006,0.912231,0.002,0.970279,0.0169,0.754261,0.0168,0.755564,0.8021,0.0
Over 3.0,205,34.6,-0.1473,0.035017,-0.1404,0.044639,0.0116,0.868821,-0.0678,0.334417,0.0071,0.919065,-0.0034,0.961457,-0.0448,0.52322,-0.0678,0.334417,-0.0685,0.329153,-0.0666,0.343022,-0.0678,0.334417,-0.0806,0.250592,-0.0812,0.246972,0.1217,0.082129,0.81,0.0
Over 3.25,60,46.7,0.0285,0.828696,0.0623,0.636534,-0.1857,0.155542,0.0159,0.903867,-0.1807,0.16718,-0.1817,0.164799,-0.1399,0.28649,0.0159,0.903867,-0.162,0.216281,-0.1796,0.169632,0.0159,0.903867,-0.0917,0.485771,-0.1477,0.260011,-0.0245,0.852446,0.812,0.0
Over 3.5,187,42.8,0.0685,0.351666,0.0787,0.284592,0.0305,0.67812,-0.1293,0.077882,0.0363,0.621844,0.0436,0.553653,0.0902,0.21946,-0.1293,0.077882,0.0669,0.362835,0.0447,0.543604,-0.1293,0.077882,-0.0388,0.598119,0.084,0.252913,-0.0241,0.743605,0.8227,0.0
Under 1.5,89,44.9,-0.2062,0.052511,-0.2211,0.037322,0.0702,0.513042,0.1428,0.181763,0.104,0.332146,0.1126,0.293539,0.0198,0.854061,0.1428,0.181763,0.027,0.80192,0.0568,0.59731,0.1428,0.181763,-0.0207,0.847557,-0.0089,0.933853,0.0145,0.892821,-0.8165,0.0
Under 1.75,38,60.5,-0.1043,0.533282,-0.0326,0.845871,-0.2733,0.096889,0.1331,0.425494,-0.2968,0.07042,-0.3292,0.043594,-0.1753,0.29247,0.1331,0.425494,-0.2202,0.184026,-0.2844,0.083561,0.1331,0.425494,-0.3194,0.050612,-0.2186,0.187288,0.2713,0.099372,-0.8656,0.0
Under 2.0,187,29.4,0.0314,0.669435,0.0447,0.543464,0.0226,0.759053,-0.0261,0.72328,0.0257,0.726786,0.0114,0.877283,-0.0167,0.820484,-0.0261,0.72328,-0.0347,0.637234,-0.019,0.796803,-0.0261,0.72328,-0.036,0.624971,-0.026,0.724358,0.0514,0.48472,-0.7737,0.0
Under 2.25,449,61.0,-0.0571,0.226978,-0.054,0.253929,0.0195,0.680362,0.0275,0.561408,0.0248,0.600842,0.0271,0.566783,0.002,0.965897,0.0275,0.561408,-0.0127,0.787872,-0.0124,0.79274,0.0275,0.561408,-0.0398,0.400492,-0.0184,0.696764,0.0822,0.081992,-0.8091,0.0
Under 2.5,1725,52.8,-0.1196,1e-06,-0.1197,1e-06,-0.0061,0.800473,0.0097,0.685992,-0.0099,0.680717,-0.0063,0.79389,0.0069,0.773242,0.0097,0.685992,-0.0017,0.944211,0.0006,0.979644,0.0097,0.685992,-0.0413,0.086077,-0.0693,0.003996,-0.0192,0.425534,-0.8036,0.0
Under 2.75,345,50.4,0.0524,0.332145,0.0473,0.381106,0.008,0.882343,0.006,0.912231,-0.0073,0.893089,0.0025,0.962995,0.0122,0.821504,0.006,0.912231,0.0164,0.761177,0.0245,0.650691,0.006,0.912231,0.0364,0.500231,0.0157,0.771529,-0.0408,0.4498,-0.8021,0.0
Under 3.0,205,38.5,-0.0933,0.183214,-0.0665,0.343188,-0.0756,0.281498,0.0426,0.544362,-0.0709,0.312559,-0.0687,0.327958,-0.0964,0.168976,0.0426,0.544362,-0.0982,0.161154,-0.0968,0.167515,0.0426,0.544362,-0.1269,0.069767,-0.1033,0.140681,0.0003,0.996529,-0.7841,0.0
Under 3.25,60,53.3,0.0737,0.57573,0.0973,0.459433,0.1857,0.155542,-0.0159,0.903867,0.1807,0.16718,0.1817,0.164799,0.1394,0.288044,-0.0159,0.903867,0.0931,0.47926,0.1055,0.422391,-0.0159,0.903867,-0.0272,0.836301,0.1022,0.436999,0.0732,0.578437,-0.812,0.0
Under 3.5,187,57.2,0.0614,0.403714,0.0576,0.433539,-0.0305,0.67812,0.1293,0.077882,-0.0363,0.621844,-0.0436,0.553653,-0.0201,0.785306,0.1293,0.077882,-0.0232,0.753047,-0.0498,0.498854,0.1293,0.077882,0.0581,0.429263,0.0056,0.939029,-0.1076,0.142872,-0.8227,0.0
