Mercado,Variable,N,Media,Std,Mediana,Corr_Pearson,P_Pearson,Corr_Spearman,P_Spearman,Corr_PointBiserial,P_PointBiserial,Sig_005,Sig_010
Over 1.5,BDI_jsd_fair,35,3.4e-05,4.8e-05,1.9e-05,-0.2151,0.2146,-0.2196,0.205,-0.2151,0.2146,No,No
Over 1.5,BDI_n_bookmakers_fair,35,4.571429,1.35827,5.0,-0.1119,0.522,-0.1739,0.3178,-0.1119,0.522,No,No
Over 1.5,BDI_std_p_fair,35,0.006256,0.005026,0.006189,-0.2205,0.2031,-0.2196,0.205,-0.2205,0.2031,No,No
Over 1.5,BDI_mad_p_fair,35,0.005567,0.004759,0.005086,-0.2118,0.2219,-0.1903,0.2735,-0.2118,0.2219,No,No
Over 1.5,BDI_jsd,35,8e-05,6.7e-05,6.3e-05,-0.2972,0.0829,-0.366,0.0306,-0.2972,0.0829,Si,Si
Over 1.5,BDI_n_bookmakers,35,4.571429,1.35827,5.0,-0.1119,0.522,-0.1739,0.3178,-0.1119,0.522,No,No
Over 1.5,BDI_std_p,35,0.010952,0.005199,0.010607,-0.2933,0.0873,-0.3777,0.0253,-0.2933,0.0873,Si,Si
Over 1.5,BDI_mad_p,35,0.009605,0.005035,0.009524,-0.2888,0.0924,-0.3601,0.0336,-0.2888,0.0924,Si,Si
Over 1.5,Num_Casas,35,4.571429,1.35827,5.0,-0.1119,0.522,-0.1739,0.3178,-0.1119,0.522,No,No
Over 1.5,Diferencia_Cuota_Promedio,35,0.034029,0.020148,0.0325,-0.4341,0.0092,-0.3984,0.0178,-0.4341,0.0092,Si,Si
Over 1.5,Volatilidad_Pct,35,0.026983,0.013598,0.0264,-0.3189,0.0619,-0.3894,0.0208,-0.3189,0.0619,Si,Si
Over 1.5,Margen_Casa_Pct,35,6.190286,1.351434,6.1,0.3305,0.0525,0.3133,0.0669,0.3305,0.0525,No,Si
Over 1.5,Mejor_Cuota,35,1.590857,0.081919,1.58,-0.3023,0.0775,-0.3284,0.0541,-0.3023,0.0775,No,Si
Over 1.5,Cuota_Promedio_Mercado,35,1.556829,0.06727,1.5375,-0.2381,0.1683,-0.2811,0.1019,-0.2381,0.1683,No,No
Over 1.75,BDI_jsd_fair,14,8e-06,6e-06,8e-06,-0.001,0.9973,0.0177,0.9521,-0.001,0.9973,No,No
Over 1.75,BDI_n_bookmakers_fair,14,4.5,1.180194,5.0,-0.1816,0.5345,-0.2669,0.3563,-0.1816,0.5345,No,No
Over 1.75,BDI_std_p_fair,14,0.003651,0.001721,0.003882,0.0968,0.742,0.0177,0.9521,0.0968,0.742,No,No
Over 1.75,BDI_mad_p_fair,14,0.003159,0.001531,0.003409,0.1557,0.5951,0.0886,0.7633,0.1557,0.5951,No,No
Over 1.75,BDI_jsd,14,5e-06,4e-06,6e-06,-0.1962,0.5013,-0.2304,0.4282,-0.1962,0.5013,No,No
Over 1.75,BDI_n_bookmakers,14,4.5,1.180194,5.0,-0.1816,0.5345,-0.2669,0.3563,-0.1816,0.5345,No,No
Over 1.75,BDI_std_p,14,0.002948,0.001404,0.003382,-0.1662,0.57,-0.2658,0.3584,-0.1662,0.57,No,No
Over 1.75,BDI_mad_p,14,0.002554,0.00118,0.002734,-0.1119,0.7034,-0.2304,0.4282,-0.1119,0.7034,No,No
Over 1.75,Num_Casas,14,4.5,1.180194,5.0,-0.1816,0.5345,-0.2669,0.3563,-0.1816,0.5345,No,No
Over 1.75,Diferencia_Cuota_Promedio,14,0.011657,0.009808,0.009,0.0277,0.9252,-0.1782,0.5422,0.0277,0.9252,No,No
Over 1.75,Volatilidad_Pct,14,0.010586,0.00542,0.012,-0.1608,0.583,-0.1953,0.5033,-0.1608,0.583,No,No
Over 1.75,Margen_Casa_Pct,14,5.010714,1.08586,4.64,-0.0125,0.9662,0.0356,0.9037,-0.0125,0.9662,No,No
Over 1.75,Mejor_Cuota,14,1.885,0.077344,1.865,-0.0277,0.9251,-0.071,0.8093,-0.0277,0.9251,No,No
Over 1.75,Cuota_Promedio_Mercado,14,1.873343,0.073031,1.855,-0.0331,0.9107,-0.124,0.6727,-0.0331,0.9107,No,No
Over 2.0,BDI_jsd_fair,59,2.2e-05,3.4e-05,1.2e-05,0.1124,0.3965,0.0141,0.9156,0.1124,0.3965,No,No
Over 2.0,BDI_n_bookmakers_fair,59,4.932203,1.494219,5.0,-0.0529,0.6906,-0.0487,0.7139,-0.0529,0.6906,No,No
Over 2.0,BDI_std_p_fair,59,0.005516,0.003695,0.004821,0.0761,0.5668,0.0161,0.9036,0.0761,0.5668,No,No
Over 2.0,BDI_mad_p_fair,59,0.004827,0.003427,0.003844,0.0538,0.6858,-0.0081,0.9517,0.0538,0.6858,No,No
Over 2.0,BDI_jsd,59,3.7e-05,5.2e-05,1.6e-05,-0.0288,0.8288,-0.0594,0.6548,-0.0288,0.8288,No,No
Over 2.0,BDI_n_bookmakers,59,4.932203,1.494219,5.0,-0.0529,0.6906,-0.0487,0.7139,-0.0529,0.6906,No,No
Over 2.0,BDI_std_p,59,0.006965,0.004904,0.005702,-0.0453,0.7331,-0.0614,0.6439,-0.0453,0.7331,No,No
Over 2.0,BDI_mad_p,59,0.006193,0.004633,0.004656,-0.039,0.7692,-0.0352,0.791,-0.039,0.7692,No,No
Over 2.0,Num_Casas,59,4.932203,1.494219,5.0,-0.0529,0.6906,-0.0487,0.7139,-0.0529,0.6906,No,No
Over 2.0,Diferencia_Cuota_Promedio,59,0.030793,0.026127,0.025,0.0233,0.8608,-0.0252,0.8498,0.0233,0.8608,No,No
Over 2.0,Volatilidad_Pct,59,0.025425,0.019281,0.0205,-0.0627,0.6372,-0.0584,0.6603,-0.0627,0.6372,No,No
Over 2.0,Margen_Casa_Pct,59,5.066441,1.047366,4.76,0.1247,0.3465,0.1401,0.2901,0.1247,0.3465,No,No
Over 2.0,Mejor_Cuota,59,1.909492,0.114898,1.88,-0.1186,0.371,-0.0827,0.5336,-0.1186,0.371,No,No
Over 2.0,Cuota_Promedio_Mercado,59,1.878698,0.098023,1.87,-0.1452,0.2724,-0.0997,0.4524,-0.1452,0.2724,No,No
Over 2.25,BDI_jsd_fair,148,1.5e-05,2e-05,1e-05,-0.0017,0.9834,-0.0192,0.8166,-0.0017,0.9834,No,No
Over 2.25,BDI_n_bookmakers_fair,148,4.506757,1.042973,5.0,-0.1126,0.1731,-0.134,0.1044,-0.1126,0.1731,No,No
Over 2.25,BDI_std_p_fair,148,0.004618,0.002938,0.004448,-0.0215,0.7951,-0.0186,0.8228,-0.0215,0.7951,No,No
Over 2.25,BDI_mad_p_fair,148,0.003988,0.002688,0.003905,-0.0298,0.7193,-0.0235,0.7769,-0.0298,0.7193,No,No
Over 2.25,BDI_jsd,148,3e-05,3.5e-05,1.7e-05,-0.0001,0.9986,-0.0378,0.6484,-0.0001,0.9986,No,No
Over 2.25,BDI_n_bookmakers,148,4.506757,1.042973,5.0,-0.1126,0.1731,-0.134,0.1044,-0.1126,0.1731,No,No
Over 2.25,BDI_std_p,148,0.006587,0.004125,0.005839,-0.0259,0.7548,-0.0376,0.6499,-0.0259,0.7548,No,No
Over 2.25,BDI_mad_p,148,0.00569,0.003734,0.005192,-0.0217,0.7938,-0.0281,0.7347,-0.0217,0.7938,No,No
Over 2.25,Num_Casas,148,4.506757,1.042973,5.0,-0.1126,0.1731,-0.134,0.1044,-0.1126,0.1731,No,No
Over 2.25,Diferencia_Cuota_Promedio,148,0.027014,0.017763,0.024,-0.0451,0.5859,-0.058,0.4836,-0.0451,0.5859,No,No
Over 2.25,Volatilidad_Pct,148,0.024322,0.016036,0.02235,-0.0168,0.8393,-0.0343,0.6786,-0.0168,0.8393,No,No
Over 2.25,Margen_Casa_Pct,148,4.965946,1.038379,4.76,-0.0262,0.7516,-0.0472,0.5692,-0.0262,0.7516,No,No
Over 2.25,Mejor_Cuota,148,1.941149,0.089136,1.93,0.0532,0.5206,0.0421,0.6114,0.0532,0.5206,No,No
Over 2.25,Cuota_Promedio_Mercado,148,1.914135,0.082183,1.903,0.0675,0.4151,0.0593,0.474,0.0675,0.4151,No,No
Over 2.5,BDI_jsd_fair,420,3e-05,3.3e-05,2e-05,-0.0396,0.418,-0.0013,0.9785,-0.0396,0.418,No,No
Over 2.5,BDI_n_bookmakers_fair,420,9.804762,3.442725,10.0,0.0123,0.8022,0.0003,0.9958,0.0123,0.8022,No,No
Over 2.5,BDI_std_p_fair,420,0.006843,0.003547,0.006216,-0.024,0.6235,-0.0035,0.9433,-0.024,0.6235,No,No
Over 2.5,BDI_mad_p_fair,420,0.005769,0.003122,0.005222,-0.0285,0.5609,-0.0135,0.7819,-0.0285,0.5609,No,No
Over 2.5,BDI_jsd,420,6.5e-05,5.1e-05,5.4e-05,-0.0517,0.2904,-0.0238,0.6274,-0.0517,0.2904,No,No
Over 2.5,BDI_n_bookmakers,420,9.804762,3.442725,10.0,0.0123,0.8022,0.0003,0.9958,0.0123,0.8022,No,No
Over 2.5,BDI_std_p,420,0.010539,0.004148,0.010251,-0.0323,0.5087,-0.0281,0.5655,-0.0323,0.5087,No,No
Over 2.5,BDI_mad_p,420,0.008728,0.003658,0.008295,-0.0456,0.3516,-0.0354,0.4689,-0.0456,0.3516,No,No
Over 2.5,Num_Casas,420,9.804762,3.442725,10.0,0.0123,0.8022,0.0003,0.9958,0.0123,0.8022,No,No
Over 2.5,Diferencia_Cuota_Promedio,420,0.063502,0.034748,0.05815,-0.0599,0.2204,-0.0595,0.2235,-0.0599,0.2204,No,No
Over 2.5,Volatilidad_Pct,420,0.042087,0.019985,0.0393,-0.1003,0.0399,-0.089,0.0685,-0.1003,0.0399,No,Si
Over 2.5,Margen_Casa_Pct,420,6.486,1.386546,6.5,0.0015,0.9756,0.0032,0.9478,0.0015,0.9756,No,No
Over 2.5,Mejor_Cuota,420,2.05719,0.301699,2.05,-0.1228,0.0118,-0.1407,0.0039,-0.1228,0.0118,Si,Si
Over 2.5,Cuota_Promedio_Mercado,420,1.993688,0.288941,1.97035,-0.121,0.0131,-0.1402,0.004,-0.121,0.0131,Si,Si
Over 2.75,BDI_jsd_fair,88,1.5e-05,1.7e-05,1.1e-05,-0.0976,0.3657,-0.1882,0.079,-0.0976,0.3657,No,Si
Over 2.75,BDI_n_bookmakers_fair,88,4.545455,1.242332,5.0,-0.2344,0.028,-0.2557,0.0162,-0.2344,0.028,Si,Si
Over 2.75,BDI_std_p_fair,88,0.004636,0.002884,0.004725,-0.161,0.1341,-0.1882,0.079,-0.161,0.1341,No,Si
Over 2.75,BDI_mad_p_fair,88,0.003888,0.002528,0.00362,-0.1351,0.2094,-0.1725,0.1081,-0.1351,0.2094,No,No
Over 2.75,BDI_jsd,88,3.1e-05,3.7e-05,1.5e-05,-0.1801,0.0931,-0.2247,0.0353,-0.1801,0.0931,Si,Si
Over 2.75,BDI_n_bookmakers,88,4.545455,1.242332,5.0,-0.2344,0.028,-0.2557,0.0162,-0.2344,0.028,Si,Si
Over 2.75,BDI_std_p,88,0.006428,0.004595,0.00539,-0.2183,0.041,-0.2261,0.0342,-0.2183,0.041,Si,Si
Over 2.75,BDI_mad_p,88,0.005412,0.004015,0.004661,-0.19,0.0762,-0.2108,0.0487,-0.19,0.0762,Si,Si
Over 2.75,Num_Casas,88,4.545455,1.242332,5.0,-0.2344,0.028,-0.2557,0.0162,-0.2344,0.028,Si,Si
Over 2.75,Diferencia_Cuota_Promedio,88,0.024902,0.019475,0.0229,-0.2373,0.026,-0.2244,0.0356,-0.2373,0.026,Si,Si
Over 2.75,Volatilidad_Pct,88,0.023897,0.017463,0.01955,-0.217,0.0423,-0.2293,0.0317,-0.217,0.0423,Si,Si
Over 2.75,Margen_Casa_Pct,88,5.058068,1.039609,4.73,0.0349,0.7471,0.0099,0.927,0.0349,0.7471,No,No
Over 2.75,Mejor_Cuota,88,1.940682,0.074404,1.96,-0.0871,0.4195,-0.0803,0.4569,-0.0871,0.4195,No,No
Over 2.75,Cuota_Promedio_Mercado,88,1.91578,0.063563,1.92225,-0.0293,0.7864,-0.0041,0.9701,-0.0293,0.7864,No,No
Over 3.0,BDI_jsd_fair,51,1.8e-05,2.2e-05,1.1e-05,-0.139,0.3308,0.0334,0.8157,-0.139,0.3308,No,No
Over 3.0,BDI_n_bookmakers_fair,51,5.0,1.54666,6.0,-0.0796,0.5788,-0.0579,0.6866,-0.0796,0.5788,No,No
Over 3.0,BDI_std_p_fair,51,0.005335,0.002885,0.004745,-0.0842,0.557,0.0307,0.8309,-0.0842,0.557,No,No
Over 3.0,BDI_mad_p_fair,51,0.004502,0.00258,0.004085,-0.1021,0.476,0.0585,0.6833,-0.1021,0.476,No,No
Over 3.0,BDI_jsd,51,3.3e-05,3.5e-05,2e-05,-0.1949,0.1706,-0.1951,0.17,-0.1949,0.1706,No,No
Over 3.0,BDI_n_bookmakers,51,5.0,1.54666,6.0,-0.0796,0.5788,-0.0579,0.6866,-0.0796,0.5788,No,No
Over 3.0,BDI_std_p,51,0.007128,0.003985,0.006264,-0.2058,0.1475,-0.1951,0.17,-0.2058,0.1475,No,No
Over 3.0,BDI_mad_p,51,0.0059,0.003395,0.005031,-0.2178,0.1247,-0.1589,0.2654,-0.2178,0.1247,No,No
Over 3.0,Num_Casas,51,5.0,1.54666,6.0,-0.0796,0.5788,-0.0579,0.6866,-0.0796,0.5788,No,No
Over 3.0,Diferencia_Cuota_Promedio,51,0.032075,0.018913,0.03,-0.1847,0.1944,-0.2315,0.1021,-0.1847,0.1944,No,No
Over 3.0,Volatilidad_Pct,51,0.026292,0.015201,0.0219,-0.2042,0.1506,-0.198,0.1638,-0.2042,0.1506,No,No
Over 3.0,Margen_Casa_Pct,51,4.979412,0.986391,4.75,0.1469,0.3038,0.1171,0.4132,0.1469,0.3038,No,No
Over 3.0,Mejor_Cuota,51,1.953137,0.080159,1.98,0.0581,0.6854,0.0684,0.6334,0.0581,0.6854,No,No
Over 3.0,Cuota_Promedio_Mercado,51,1.921063,0.076587,1.9317,0.1064,0.4573,0.1059,0.4594,0.1064,0.4573,No,No
Over 3.25,BDI_jsd_fair,18,2.7e-05,2.6e-05,1.7e-05,-0.1581,0.531,-0.0215,0.9324,-0.1581,0.531,No,No
Over 3.25,BDI_n_bookmakers_fair,18,4.111111,0.993808,4.0,0.0125,0.9607,0.0461,0.856,0.0125,0.9607,No,No
Over 3.25,BDI_std_p_fair,18,0.006483,0.003376,0.005854,-0.0655,0.7963,-0.0215,0.9324,-0.0655,0.7963,No,No
Over 3.25,BDI_mad_p_fair,18,0.005987,0.003152,0.005474,-0.0833,0.7425,0.0,1.0,-0.0833,0.7425,No,No
Over 3.25,BDI_jsd,18,5.1e-05,4.9e-05,3.9e-05,0.0166,0.948,-0.0862,0.7338,0.0166,0.948,No,No
Over 3.25,BDI_n_bookmakers,18,4.111111,0.993808,4.0,0.0125,0.9607,0.0461,0.856,0.0125,0.9607,No,No
Over 3.25,BDI_std_p,18,0.008761,0.005056,0.008767,-0.0528,0.8353,-0.0862,0.7338,-0.0528,0.8353,No,No
Over 3.25,BDI_mad_p,18,0.008062,0.004704,0.00802,-0.0459,0.8566,-0.0646,0.7988,-0.0459,0.8566,No,No
Over 3.25,Num_Casas,18,4.111111,0.993808,4.0,0.0125,0.9607,0.0461,0.856,0.0125,0.9607,No,No
Over 3.25,Diferencia_Cuota_Promedio,18,0.036544,0.019234,0.04,0.0096,0.97,-0.0216,0.9323,0.0096,0.97,No,No
Over 3.25,Volatilidad_Pct,18,0.032744,0.019309,0.03065,-0.0391,0.8775,-0.0755,0.766,-0.0391,0.8775,No,No
Over 3.25,Margen_Casa_Pct,18,4.501111,0.704122,4.515,-0.1824,0.4687,-0.1079,0.6701,-0.1824,0.4687,No,No
Over 3.25,Mejor_Cuota,18,1.975,0.059278,1.99,-0.0566,0.8235,-0.1407,0.5775,-0.0566,0.8235,No,No
Over 3.25,Cuota_Promedio_Mercado,18,1.938456,0.057513,1.9575,-0.0615,0.8084,-0.1294,0.6089,-0.0615,0.8084,No,No
Over 3.5,BDI_jsd_fair,58,2.9e-05,4.4e-05,9e-06,0.2361,0.0744,0.1968,0.1387,0.2361,0.0744,No,No
Over 3.5,BDI_n_bookmakers_fair,58,5.155172,3.010337,5.0,0.1195,0.3716,0.0636,0.6353,0.1195,0.3716,No,No
Over 3.5,BDI_std_p_fair,58,0.005211,0.005439,0.004059,0.2074,0.1182,0.1989,0.1344,0.2074,0.1182,No,No
Over 3.5,BDI_mad_p_fair,58,0.004284,0.004631,0.003322,0.19,0.1532,0.1731,0.1938,0.19,0.1532,No,No
Over 3.5,BDI_jsd,58,5e-05,7e-05,2e-05,0.2464,0.0622,0.1376,0.3029,0.2464,0.0622,No,No
Over 3.5,BDI_n_bookmakers,58,5.155172,3.010337,5.0,0.1195,0.3716,0.0636,0.6353,0.1195,0.3716,No,No
Over 3.5,BDI_std_p,58,0.006976,0.007129,0.006234,0.1846,0.1653,0.1533,0.2505,0.1846,0.1653,No,No
Over 3.5,BDI_mad_p,58,0.005657,0.005878,0.004669,0.1598,0.2309,0.1058,0.4292,0.1598,0.2309,No,No
Over 3.5,Num_Casas,58,5.155172,3.010337,5.0,0.1195,0.3716,0.0636,0.6353,0.1195,0.3716,No,No
Over 3.5,Diferencia_Cuota_Promedio,58,0.037295,0.038469,0.0306,0.0641,0.6327,0.0727,0.5877,0.0641,0.6327,No,No
Over 3.5,Volatilidad_Pct,58,0.03341,0.035283,0.03335,0.1724,0.1957,0.1421,0.2873,0.1724,0.1957,No,No
Over 3.5,Margen_Casa_Pct,58,6.358448,1.157551,6.335,0.2098,0.114,0.1997,0.1328,0.2098,0.114,No,No
Over 3.5,Mejor_Cuota,58,2.425517,0.248188,2.4,-0.0074,0.9561,-0.0157,0.9069,-0.0074,0.9561,No,No
Over 3.5,Cuota_Promedio_Mercado,58,2.388222,0.269851,2.348,-0.0159,0.9055,-0.045,0.7375,-0.0159,0.9055,No,No
Under 1.5,BDI_jsd_fair,35,3.4e-05,4.8e-05,1.9e-05,0.2151,0.2146,0.2196,0.205,0.2151,0.2146,No,No
Under 1.5,BDI_n_bookmakers_fair,35,4.571429,1.35827,5.0,0.1119,0.522,0.1739,0.3178,0.1119,0.522,No,No
Under 1.5,BDI_std_p_fair,35,0.006256,0.005026,0.006189,0.2205,0.2031,0.2196,0.205,0.2205,0.2031,No,No
Under 1.5,BDI_mad_p_fair,35,0.005567,0.004759,0.005086,0.2118,0.2219,0.1903,0.2735,0.2118,0.2219,No,No
Under 1.5,BDI_jsd,35,5.5e-05,4.8e-05,4.4e-05,0.0519,0.767,0.0146,0.9335,0.0519,0.767,No,No
Under 1.5,BDI_n_bookmakers,35,4.571429,1.35827,5.0,0.1119,0.522,0.1739,0.3178,0.1119,0.522,No,No
Under 1.5,BDI_std_p,35,0.009229,0.004765,0.009194,0.0373,0.8315,0.0205,0.907,0.0373,0.8315,No,No
Under 1.5,BDI_mad_p,35,0.008055,0.004327,0.008554,0.0087,0.9604,-0.0205,0.907,0.0087,0.9604,No,No
Under 1.5,Num_Casas,35,4.571429,1.35827,5.0,0.1119,0.522,0.1739,0.3178,0.1119,0.522,No,No
Under 1.5,Diferencia_Cuota_Promedio,35,0.065446,0.042467,0.0575,0.1271,0.4667,0.1874,0.2809,0.1271,0.4667,No,No
Under 1.5,Volatilidad_Pct,35,0.051869,0.027023,0.0511,0.0007,0.9969,0.0029,0.9867,0.0007,0.9969,No,No
Under 1.5,Margen_Casa_Pct,35,6.634286,1.307825,6.61,-0.1269,0.4677,-0.1581,0.3643,-0.1269,0.4677,No,No
Under 1.5,Mejor_Cuota,35,2.455714,0.126678,2.46,-0.1934,0.2657,-0.2173,0.2099,-0.1934,0.2657,No,No
Under 1.5,Cuota_Promedio_Mercado,35,2.390269,0.131789,2.4275,-0.2268,0.19,-0.2694,0.1176,-0.2268,0.19,No,No
Under 1.75,BDI_jsd_fair,14,8e-06,6e-06,8e-06,0.001,0.9973,-0.0177,0.9521,0.001,0.9973,No,No
Under 1.75,BDI_n_bookmakers_fair,14,4.5,1.180194,5.0,0.1816,0.5345,0.2669,0.3563,0.1816,0.5345,No,No
Under 1.75,BDI_std_p_fair,14,0.003651,0.001721,0.003882,-0.0968,0.742,-0.0177,0.9521,-0.0968,0.742,No,No
Under 1.75,BDI_mad_p_fair,14,0.003159,0.001531,0.003409,-0.1557,0.5951,-0.0886,0.7633,-0.1557,0.5951,No,No
Under 1.75,BDI_jsd,14,2.3e-05,1.9e-05,1.9e-05,-0.0048,0.9869,-0.1949,0.5043,-0.0048,0.9869,No,No
Under 1.75,BDI_n_bookmakers,14,4.5,1.180194,5.0,0.1816,0.5345,0.2669,0.3563,0.1816,0.5345,No,No
Under 1.75,BDI_std_p,14,0.005884,0.003225,0.006198,-0.1535,0.6003,-0.1949,0.5043,-0.1535,0.6003,No,No
Under 1.75,BDI_mad_p,14,0.004863,0.002609,0.005451,-0.239,0.4105,-0.1949,0.5043,-0.239,0.4105,No,No
Under 1.75,Num_Casas,14,4.5,1.180194,5.0,0.1816,0.5345,0.2669,0.3563,0.1816,0.5345,No,No
Under 1.75,Diferencia_Cuota_Promedio,14,0.031007,0.015244,0.0345,-0.3182,0.2676,-0.3012,0.2953,-0.3182,0.2676,No,No
Under 1.75,Volatilidad_Pct,14,0.022486,0.012666,0.02195,-0.1805,0.537,-0.1949,0.5043,-0.1805,0.537,No,No
Under 1.75,Margen_Casa_Pct,14,4.176429,0.423634,4.225,0.3052,0.2887,0.3367,0.2392,0.3052,0.2887,No,No
Under 1.75,Mejor_Cuota,14,1.99,0.074546,1.995,-0.0575,0.8452,-0.071,0.8095,-0.0575,0.8452,No,No
Under 1.75,Cuota_Promedio_Mercado,14,1.958993,0.074319,1.95975,0.0076,0.9794,-0.0532,0.8568,0.0076,0.9794,No,No
Under 2.0,BDI_jsd_fair,59,2.2e-05,3.4e-05,1.2e-05,-0.0395,0.7665,-0.1121,0.398,-0.0395,0.7665,No,No
Under 2.0,BDI_n_bookmakers_fair,59,4.932203,1.494219,5.0,0.0539,0.6851,0.0679,0.6094,0.0539,0.6851,No,No
Under 2.0,BDI_std_p_fair,59,0.005516,0.003695,0.004821,-0.0696,0.6003,-0.1143,0.3888,-0.0696,0.6003,No,No
Under 2.0,BDI_mad_p_fair,59,0.004827,0.003427,0.003844,-0.0506,0.7034,-0.0945,0.4765,-0.0506,0.7034,No,No
Under 2.0,BDI_jsd,59,3.1e-05,3.5e-05,2e-05,-0.12,0.3653,-0.1516,0.2516,-0.12,0.3653,No,No
Under 2.0,BDI_n_bookmakers,59,4.932203,1.494219,5.0,0.0539,0.6851,0.0679,0.6094,0.0539,0.6851,No,No
Under 2.0,BDI_std_p,59,0.006776,0.003982,0.006353,-0.1636,0.2156,-0.1516,0.2516,-0.1636,0.2156,No,No
Under 2.0,BDI_mad_p,59,0.005914,0.003537,0.005527,-0.1426,0.2812,-0.1297,0.3277,-0.1426,0.2812,No,No
Under 2.0,Num_Casas,59,4.932203,1.494219,5.0,0.0539,0.6851,0.0679,0.6094,0.0539,0.6851,No,No
Under 2.0,Diferencia_Cuota_Promedio,59,0.031224,0.018304,0.03,-0.237,0.0707,-0.2156,0.101,-0.237,0.0707,No,No
Under 2.0,Volatilidad_Pct,59,0.025586,0.01506,0.0245,-0.1632,0.2168,-0.1648,0.2122,-0.1632,0.2168,No,No
Under 2.0,Margen_Casa_Pct,59,5.087797,1.016728,4.82,0.1089,0.4118,0.1066,0.4215,0.1089,0.4118,No,No
Under 2.0,Mejor_Cuota,59,1.975424,0.105386,1.98,-0.0434,0.7442,-0.0528,0.6912,-0.0434,0.7442,No,No
Under 2.0,Cuota_Promedio_Mercado,59,1.9442,0.102531,1.93,-0.0023,0.9862,-0.0165,0.9014,-0.0023,0.9862,No,No
Under 2.25,BDI_jsd_fair,148,1.5e-05,2e-05,1e-05,0.0017,0.9834,0.0192,0.8166,0.0017,0.9834,No,No
Under 2.25,BDI_n_bookmakers_fair,148,4.506757,1.042973,5.0,0.1126,0.1731,0.134,0.1044,0.1126,0.1731,No,No
Under 2.25,BDI_std_p_fair,148,0.004618,0.002938,0.004448,0.0215,0.7951,0.0191,0.8182,0.0215,0.7951,No,No
Under 2.25,BDI_mad_p_fair,148,0.003988,0.002688,0.003905,0.0298,0.7193,0.024,0.7723,0.0298,0.7193,No,No
Under 2.25,BDI_jsd,148,2.5e-05,3e-05,1.2e-05,0.0072,0.9309,0.0163,0.8445,0.0072,0.9309,No,No
Under 2.25,BDI_n_bookmakers,148,4.506757,1.042973,5.0,0.1126,0.1731,0.134,0.1044,0.1126,0.1731,No,No
Under 2.25,BDI_std_p,148,0.00582,0.003893,0.004855,0.0103,0.9012,0.0154,0.8522,0.0103,0.9012,No,No
Under 2.25,BDI_mad_p,148,0.004937,0.003339,0.004116,0.0176,0.8318,0.0174,0.8336,0.0176,0.8318,No,No
Under 2.25,Num_Casas,148,4.506757,1.042973,5.0,0.1126,0.1731,0.134,0.1044,0.1126,0.1731,No,No
Under 2.25,Diferencia_Cuota_Promedio,148,0.026165,0.018184,0.024,0.012,0.8852,-0.0135,0.8708,0.012,0.8852,No,No
Under 2.25,Volatilidad_Pct,148,0.021459,0.014844,0.018,0.0171,0.8363,0.02,0.8089,0.0171,0.8363,No,No
Under 2.25,Margen_Casa_Pct,148,5.106014,1.032179,4.77,0.0565,0.4952,0.0692,0.4035,0.0565,0.4952,No,No
Under 2.25,Mejor_Cuota,148,1.933041,0.085398,1.94,0.0418,0.6141,0.0469,0.5717,0.0418,0.6141,No,No
