Mercado,N,Rend_Total,ROI,Variable,r,p
Over 1.5,89,-10.899999999999999,-12.247191011235953,Mejor_Cuota,-0.16876127102126315,0.11389038055749813
Over 1.5,89,-10.899999999999999,-12.247191011235953,Cuota_Promedio_Mercado,-0.1405843293915276,0.1888268135064643
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_jsd_fair,-0.05475337834304986,0.6103157720734405
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_n_bookmakers_fair,-0.12382581834324863,0.24763527133198837
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_std_p_fair,-0.08722396208731958,0.41633997317822513
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_mad_p_fair,-0.09557837476112166,0.37293993555162985
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_jsd,-0.0500697386602814,0.641235601292279
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_n_bookmakers,-0.12382581834324863,0.24763527133198837
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_std_p,-0.07653028887319678,0.4759538647385044
Over 1.5,89,-10.899999999999999,-12.247191011235953,BDI_mad_p,-0.08217643468155857,0.44392166248512843
Over 1.5,89,-10.899999999999999,-12.247191011235953,Num_Casas,-0.12382581834324863,0.24763527133198837
Over 1.5,89,-10.899999999999999,-12.247191011235953,Diferencia_Cuota_Promedio,-0.1848518274483615,0.08287991401310725
Over 1.5,89,-10.899999999999999,-12.247191011235953,Volatilidad_Pct,-0.10791931372178887,0.31409823511100166
Over 1.5,89,-10.899999999999999,-12.247191011235953,Margen_Casa_Pct,0.04717214453688245,0.6606799655314605
Over 1.75,38,-9.73,-25.605263157894736,Mejor_Cuota,0.02741469584425793,0.8702186384169452
Over 1.75,38,-9.73,-25.605263157894736,Cuota_Promedio_Mercado,0.001936850911716248,0.9907920548055241
Over 1.75,38,-9.73,-25.605263157894736,BDI_jsd_fair,0.2809030465397762,0.08757201204015323
Over 1.75,38,-9.73,-25.605263157894736,BDI_n_bookmakers_fair,-0.13163575087702828,0.43082099971812576
Over 1.75,38,-9.73,-25.605263157894736,BDI_std_p_fair,0.30392672624583084,0.06358198820178712
Over 1.75,38,-9.73,-25.605263157894736,BDI_mad_p_fair,0.33831026353046856,0.037753523022477864
Over 1.75,38,-9.73,-25.605263157894736,BDI_jsd,0.27032065139939326,0.1007094079511357
Over 1.75,38,-9.73,-25.605263157894736,BDI_n_bookmakers,-0.13163575087702828,0.43082099971812576
Over 1.75,38,-9.73,-25.605263157894736,BDI_std_p,0.1969221247662428,0.23601539746880035
Over 1.75,38,-9.73,-25.605263157894736,BDI_mad_p,0.2222858309102483,0.17981000166863093
Over 1.75,38,-9.73,-25.605263157894736,Num_Casas,-0.13163575087702828,0.43082099971812576
Over 1.75,38,-9.73,-25.605263157894736,Diferencia_Cuota_Promedio,0.16510729334813184,0.32187578973660935
