Partido,Fecha_Hora_Colombia,Liga,filas,tipo_mercados,mercados,Query,Marcador_Final,Fuente_URL
AC Milan vs Lazio,2025-11-29 14:45:00,Serie A,4,Goles (Over/Under),"Over 2.5,Under 2.5",AC Milan vs Lazio 2025-11-29 Serie A final score,1-0,https://www.espn.com/soccer/match/_/gameId/736904/lazio-ac-milan
Albacete vs Deportivo La Coruña,2025-11-29 12:30:00,La Liga 2,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Albacete vs Deportivo La Coruña 2025-11-29 La Liga 2 final score,0-2,https://www.sportsmole.co.uk/football/segunda-division/albecete-vs-deportivo-la-coruna_game_234208.html
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",Aston Villa vs Wolverhampton Wanderers 2025-11-30 EPL final score,1-0,https://www.premierleague.com/match/2562015/aston-villa-vs-wolverhampton-wanderers
Brentford vs Burnley,2025-11-29 10:00:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",Brentford vs Burnley 2025-11-29 EPL final score,3-1,https://www.statmuse.com/fc/match/11-29-2025-bre-vs-bur-110002
Daegu FC vs FC Anyang,2025-11-30 00:00:00,K League 1,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Daegu FC vs FC Anyang 2025-11-30 K League 1 final score,2-2,https://www.scorebat.com/anyang-vs-daegu-fc-live-stream/
Córdoba vs Cádiz CF,2025-11-30 12:30:00,La Liga 2,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Córdoba vs Cádiz CF 2025-11-30 La Liga 2 final score,,
Chelsea vs Arsenal,2025-11-30 11:30:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",Chelsea vs Arsenal 2025-11-30 EPL final score,,
Como vs Sassuolo,2025-11-28 14:45:00,Serie A,4,Goles (Over/Under),"Over 2.5,Under 2.5",Como vs Sassuolo 2025-11-28 Serie A final score,,
Chelsea vs Barcelona,2025-11-25 15:00:00,Champions League,4,Goles (Over/Under),"Over 3.5,Under 3.5",Chelsea vs Barcelona 2025-11-25 Champions League final score,,
Bragantino-SP vs Fortaleza,2025-11-26 17:00:00,Brasileirão,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Bragantino-SP vs Fortaleza 2025-11-26 Brasileirão final score,,
Brisbane Roar vs Melbourne Victory,2025-11-28 03:35:00,A-League,4,"Doble Chance,Goles (Over/Under)","Over 2.5,Under 2.5,X2",Brisbane Roar vs Melbourne Victory 2025-11-28 A-League final score,,
Guadalajara vs Cruz Azul,2025-11-26 16:00:00,Liga MX,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Guadalajara vs Cruz Azul 2025-11-26 Liga MX final score,,
Real Racing Club de Santander vs SD Eibar,2025-11-30 10:15:00,La Liga 2,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Real Racing Club de Santander vs SD Eibar 2025-11-30 La Liga 2 final score,,
Shonan Bellmare vs Shimizu S Pulse,2025-11-30 00:00:00,J League,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Shonan Bellmare vs Shimizu S Pulse 2025-11-30 J League final score,,
Suwon FC vs Gwangju FC,2025-11-30 00:00:00,K League 1,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",Suwon FC vs Gwangju FC 2025-11-30 K League 1 final score,,
Metz vs Rennes,2025-11-28 14:45:00,Ligue 1,4,Doble Chance,"1X,X2",Metz vs Rennes 2025-11-28 Ligue 1 final score,,
Liverpool vs PSV Eindhoven,2025-11-26 15:00:00,Champions League,4,Goles (Over/Under),"Over 3.5,Under 3.5",Liverpool vs PSV Eindhoven 2025-11-26 Champions League final score,,
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",Tottenham Hotspur vs Fulham 2025-11-29 EPL final score,,
Volos FC vs Levadiakos,2025-11-24 11:00:00,Super League,4,Doble Chance,"1X,X2",Volos FC vs Levadiakos 2025-11-24 Super League final score,,
Sunderland vs Bournemouth,2025-11-29 10:00:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",Sunderland vs Bournemouth 2025-11-29 EPL final score,,
Juventus vs Cagliari,2025-11-29 12:00:00,Serie A,4,Goles (Over/Under),"Over 2.5,Under 2.5",Juventus vs Cagliari 2025-11-29 Serie A final score,,
Lyon vs Nantes,2025-11-30 14:45:00,Ligue 1,4,Doble Chance,"1X,X2",Lyon vs Nantes 2025-11-30 Ligue 1 final score,,
Central Coast Mariners vs Melbourne City,2025-11-29 01:00:00,A-League,3,Doble Chance,"1X,X2",Central Coast Mariners vs Melbourne City 2025-11-29 A-League final score,,
Arminia Bielefeld vs SC Preußen Münster,2025-11-30 07:30:00,Bundesliga 2,3,Doble Chance,"1X,X2",Arminia Bielefeld vs SC Preußen Münster 2025-11-30 Bundesliga 2 final score,,
Radomiak Radom vs Górnik Zabrze,2025-11-28 14:30:00,Ekstraklasa,3,"Doble Chance,Goles (Over/Under)","Over 2.5,Under 2.5,X2",Radomiak Radom vs Górnik Zabrze 2025-11-28 Ekstraklasa final score,,
Empoli vs Bari,2025-11-29 09:00:00,Serie B,3,Doble Chance,"1X,X2",Empoli vs Bari 2025-11-29 Serie B final score,,
AS Monaco vs Paris Saint Germain,2025-11-29 11:00:00,Ligue 1,2,Doble Chance,X2,AS Monaco vs Paris Saint Germain 2025-11-29 Ligue 1 final score,,
Aberdeen vs FC Noah,2025-11-27 15:00:00,Conference League,2,Doble Chance,"1X,X2",Aberdeen vs FC Noah 2025-11-27 Conference League final score,,
Fagiano Okayama vs Urawa Red Diamonds,2025-11-30 00:00:00,J League,2,Doble Chance,"1X,X2",Fagiano Okayama vs Urawa Red Diamonds 2025-11-30 J League final score,,
Gangwon FC vs Pohang Steelers,2025-11-30 02:30:00,K League 1,2,Doble Chance,"1X,X2",Gangwon FC vs Pohang Steelers 2025-11-30 K League 1 final score,,
FC Machida Zelvia vs Nagoya Grampus,2025-11-30 00:00:00,J League,2,Doble Chance,"1X,X2",FC Machida Zelvia vs Nagoya Grampus 2025-11-30 J League final score,,
Eintracht Braunschweig vs 1. FC Kaiserslautern,2025-11-29 07:00:00,Bundesliga 2,2,Doble Chance,"1X,X2",Eintracht Braunschweig vs 1. FC Kaiserslautern 2025-11-29 Bundesliga 2 final score,,
AE Kifisia FC vs Panserraikos FC,2025-11-29 12:30:00,Super League,2,Goles (Over/Under),"Over 2.5,Under 2.5",AE Kifisia FC vs Panserraikos FC 2025-11-29 Super League final score,,
1. FC Magdeburg vs 1. FC Nürnberg,2025-11-29 14:30:00,Bundesliga 2,2,Doble Chance,"1X,X2",1. FC Magdeburg vs 1. FC Nürnberg 2025-11-29 Bundesliga 2 final score,,
1. FC Saarbrücken vs Rot-Weiss Essen,2025-11-29 08:00:00,3. Liga,2,Doble Chance,"1X,X2",1. FC Saarbrücken vs Rot-Weiss Essen 2025-11-29 3. Liga final score,,
AD Ceuta FC vs Burgos CF,2025-11-29 08:00:00,La Liga 2,2,Doble Chance,X2,AD Ceuta FC vs Burgos CF 2025-11-29 La Liga 2 final score,,
Atlético Madrid vs Oviedo,2025-11-29 15:00:00,La Liga,2,Doble Chance,1X,Atlético Madrid vs Oviedo 2025-11-29 La Liga final score,,
Atlético Madrid vs Inter Milan,2025-11-26 15:00:00,Champions League,2,Goles (Over/Under),"Over 2.5,Under 2.5",Atlético Madrid vs Inter Milan 2025-11-26 Champions League final score,,
Cesena FC vs Modena,2025-11-28 14:30:00,Serie B,2,Doble Chance,"1X,X2",Cesena FC vs Modena 2025-11-28 Serie B final score,,
Avispa Fukuoka vs Gamba Osaka,2025-11-30 00:00:00,J League,2,Doble Chance,"1X,X2",Avispa Fukuoka vs Gamba Osaka 2025-11-30 J League final score,,
CD Castellón vs Las Palmas,2025-11-30 15:00:00,La Liga 2,2,"Doble Chance,Goles (Over/Under)","Under 2.5,X2",CD Castellón vs Las Palmas 2025-11-30 La Liga 2 final score,,
Cambridge United vs Crewe Alexandra,2025-11-29 10:00:00,League 2,2,Doble Chance,"1X,X2",Cambridge United vs Crewe Alexandra 2025-11-29 League 2 final score,,
Bristol Rovers vs Notts County,2025-11-29 10:00:00,League 2,2,Goles (Over/Under),"Over 2.5,Under 2.5",Bristol Rovers vs Notts County 2025-11-29 League 2 final score,,
Atromitos Athens vs Asteras Tripolis,2025-11-30 10:00:00,Super League,2,Doble Chance,"1X,X2",Atromitos Athens vs Asteras Tripolis 2025-11-30 Super League final score,,
Sporting Gijón vs Andorra CF,2025-11-28 14:30:00,La Liga 2,2,Doble Chance,X2,Sporting Gijón vs Andorra CF 2025-11-28 La Liga 2 final score,,
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,Champions League,2,Goles (Over/Under),Over 2.5,Slavia Praha vs Athletic Bilbao 2025-11-25 Champions League final score,,
