Partido,Fecha_Hora_Colombia,Liga,filas,tipo_mercados,mercados,Marcador_Final,Fuente_URL
Paris FC vs Auxerre,2025-11-29 13:00:00,Ligue 1,9,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",1-1,https://www.skysports.com/football/paris-fc-vs-auxerre/535033
Le Havre vs Lille,2025-11-30 11:15:00,Ligue 1,9,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",0-1,https://www.bbc.com/sport/football/live/cz7nwzqq042t
Angers vs RC Lens,2025-11-30 11:15:00,Ligue 1,8,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",1-2,https://www.foxsports.com/soccer/ligue1-angers-vs-lens-nov-30-2025-game-boxscore-630940
Real Sociedad vs Villarreal,2025-11-30 08:00:00,La Liga,8,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",2-3,https://www.espn.com/soccer/match/_/gameId/748274/villarreal-real-sociedad
SC Freiburg vs FSV Mainz 05,2025-11-30 13:30:00,Bundesliga,8,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",4-0,https://www.espn.com/soccer/match/_/gameId/746819/mainz-sc-freiburg
Sevilla vs Real Betis,2025-11-30 10:15:00,La Liga,8,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",0-2,https://www.espn.com/soccer/match/_/gameId/748283/real-betis-sevilla
Strasbourg vs Brest,2025-11-30 09:00:00,Ligue 1,8,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",1-2,https://www.bbc.com/sport/football/live/cwyg1z33v0xt
Celta Vigo vs Espanyol,2025-11-30 12:30:00,La Liga,7,"Doble Chance,Goles (Over/Under)","Over 2.5,Under 2.5,X2",0-1,https://www.espn.com/soccer/match/_/gameId/748281/espanyol-celta-vigo
Marseille vs Toulouse,2025-11-29 15:05:00,Ligue 1,7,"Doble Chance,Goles (Over/Under)","Over 2.5,Under 2.5,X2",2-2,https://www.espn.com/soccer/match/_/gameId/746529/toulouse-marseille
Ñublense vs Huachipato,2025-11-24 18:00:00,Primera División,7,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",0-1,https://www.espn.com/soccer/match/_/gameId/731287/huachipato-nublense
Barcelona vs Alavés,2025-11-29 10:15:00,La Liga,6,"Doble Chance,Goles (Over/Under)","1X,Over 3.5,Under 3.5",3-1,https://www.espn.com/soccer/match/_/gameId/748282/alaves-barcelona
AEL vs OFI Crete,2025-11-24 13:00:00,Super League,6,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5,X2",1-2,https://www.espn.com/soccer/match/_/gameId/752346/ofi-crete-larissa-fc
Union Berlin vs 1. FC Heidenheim,2025-11-29 09:30:00,Bundesliga,6,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5",1-2,https://www.espn.com/soccer/match/_/gameId/746823/1-fc-heidenheim-1846-1-fc-union-berlin
Eintracht Frankfurt vs VfL Wolfsburg,2025-11-30 11:30:00,Bundesliga,5,Doble Chance,"1X,X2",1-1,https://www.skysports.com/football/eintracht-frankfurt-vs-wolfsburg/535317
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,EPL,5,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5",0-2,https://www.premierleague.com/match/2562021/nottingham-forest-vs-brighton-and-hove-albion
Atalanta BC vs Fiorentina,2025-11-30 12:00:00,Serie A,4,Goles (Over/Under),"Over 2.5,Under 2.5",2-0,https://www.espn.com/soccer/match/_/gameId/736910/fiorentina-atalanta
Getafe vs Elche CF,2025-11-28 15:00:00,La Liga,4,Doble Chance,"1X,X2",1-0,https://www.skysports.com/football/getafe-vs-elche/536097
Go Ahead Eagles vs VfB Stuttgart,2025-11-27 15:00:00,Europa League,4,"Doble Chance,Goles (Over/Under)","1X,Over 2.5,Under 2.5",0-4,https://www.espn.com/soccer/match/_/gameId/757879/vfb-stuttgart-go-ahead-eagles
Hamburger SV vs VfB Stuttgart,2025-11-30 09:30:00,Bundesliga,4,Doble Chance,"1X,X2",2-1,https://www.foxsports.com/soccer/bundesliga-hamburg-sv-vs-vfb-stuttgart-nov-30-2025-game-boxscore-631698
Everton vs Newcastle United,2025-11-29 12:30:00,EPL,4,Goles (Over/Under),"Over 2.5,Under 2.5",1-4,https://www.espn.com/soccer/match/_/gameId/740721/newcastle-united-everton
