Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Casa,Mejor_Cuota,Num_Casas,Cuota_Promedio_Mercado,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Resultado,Marcador,Confianza,P_Win_Calibrada,Confianza_Calibrada,Goles_Local,Goles_Visitante
AC Milan vs Lazio,2025-11-29 14:45:00,Serie A,Goles (Over/Under),Over 2.5,pinnacle,1.99,3,1.9367,0.8194,0.0533,1.99,2.88,Fallido,1-0,66.55,0.4931999228221344,49.32,1.0,0.0
Bodø/Glimt vs Juventus,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Under 2.5,betsson,2.38,2,2.375,-0.1299,0.005,0.21,5.31,Fallido,,63.69,0.5041552469025105,50.42,,
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Goles (Over/Under),Under 2.5,pinnacle,2.01,3,1.9333,1.2925,0.0767,2.81,2.94,Fallido,0-3,65.34,0.4627183457824761,46.27,0.0,3.0
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Over 2.5,pinnacle,1.85,3,1.79,1.1519,0.06,2.54,2.83,Fallido,0-0,75.56,0.495492869070082,49.55,0.0,0.0
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Under 2.5,pinnacle,2.05,3,1.9933,1.1519,0.0567,2.1,2.83,Acertado,0-0,62.59,0.4842066635177695,48.42,0.0,0.0
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Over 3.5,pinnacle,2.0,3,1.8967,1.1191,0.1033,3.86,3.19,Fallido,0-0,42.43,0.4266503437585009,42.67,0.0,0.0
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Under 3.5,pinnacle,1.88,3,1.8533,1.1191,0.0267,1.11,3.19,Acertado,0-0,72.85,0.5397540986645316,53.98,0.0,0.0
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,pinnacle,2.05,3,1.9933,1.0848,0.0567,3.02,2.83,Acertado,3-0,72.92,0.4692420317951218,46.92,3.0,0.0
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,pinnacle,1.85,3,1.7967,1.0848,0.0533,2.15,2.83,Fallido,3-0,60.46,0.5064285466313024,50.64,3.0,0.0
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,1X,pinnacle,1.61,4,1.53,1.081,0.08,3.49,3.21,Fallido,1-3,41.53,0.5110652875512954,51.11,1.0,3.0
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Doble Chance,X2,pinnacle,1.51,4,1.475,1.081,0.035,1.55,3.21,Acertado,1-3,74.21,0.5852807515839957,58.53,1.0,3.0
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Over 2.5,pinnacle,1.95,3,1.88,1.0194,0.07,2.64,3.1,Fallido,1-0,70.82,0.4753219150870665,47.53,1.0,0.0
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Goles (Over/Under),Under 2.5,pinnacle,1.93,3,1.8867,1.0194,0.0433,2.22,3.1,Acertado,1-0,57.74,0.5040718043981205,50.41,1.0,0.0
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,1X,pinnacle,1.12,4,1.09,0.9945,0.03,1.72,3.61,Fallido,0-3,41.19,0.6244576140701222,62.45,0.0,3.0
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,X2,pinnacle,2.74,4,2.565,0.9945,0.175,4.39,3.61,Acertado,0-3,66.75,0.3165492401460752,31.65,0.0,3.0
