Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,_source_file,_loaded_at,Resultado,Resultado_Cumplido,Confianza,Marcador,Estado_Partido,Fuente_Web,Actualizado_Web_UTC,Estrategia,Prioridad
SC Bastia vs Stade Lavallois,2025-11-25 14:00:00,Ligue 2,Doble Chance,X2,1.67,pinnacle,4,0.8799,0.04,1.56,3.83,1.63,pinnacle:1.67; betsson:1.63; marathonbet:1.62; codere_it:1.6,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,67.13,,,,,,
SC Bastia vs Stade Lavallois,2025-11-25 14:00:00,Ligue 2,Doble Chance,1X,1.3,pinnacle,4,0.8799,0.04,2.02,3.83,1.26,pinnacle:1.3; marathonbet:1.26; betsson:1.25; codere_it:1.23,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,36.57,,,,,,
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Doble Chance,X2,1.52,pinnacle,4,0.7824,0.04,1.72,3.4,1.48,pinnacle:1.52; codere_it:1.48; betsson:1.47; marathonbet:1.45,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,64.27,,,,,,
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Doble Chance,1X,1.51,pinnacle,4,0.7824,0.0375,1.76,3.4,1.4725,pinnacle:1.51; codere_it:1.48; marathonbet:1.46; betsson:1.44,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,35.04,,,,,,
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,2.06,pinnacle,3,0.782,0.0467,1.69,2.89,2.0133,pinnacle:2.06; codere_it:2.0; betsson:1.98,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,52.5,,,,,,
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Goles (Over/Under),Under 2.5,2.06,pinnacle,3,0.782,0.0467,1.69,2.89,2.0133,pinnacle:2.06; codere_it:2.0; betsson:1.98,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,52.5,,,,,,
Hull City vs Ipswich Town,2025-11-25 14:45:00,Championship,Goles (Over/Under),Over 2.5,1.84,pinnacle,3,0.782,0.0367,1.46,2.89,1.8033,pinnacle:1.84; codere_it:1.79; betsson:1.78,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,67.23,,,,,,
Motherwell vs Hibernian,2025-11-25 14:45:00,Premiership,Goles (Over/Under),Over 2.5,1.84,pinnacle,3,0.782,0.0367,1.46,2.89,1.8033,pinnacle:1.84; codere_it:1.79; betsson:1.78,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,67.23,,,,,,
Middlesbrough vs Coventry City,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.7097,0.0333,1.79,3.1,1.8967,pinnacle:1.93; codere_it:1.91; betsson:1.85,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,49.53,,,,,,
Middlesbrough vs Coventry City,2025-11-25 14:45:00,Championship,Goles (Over/Under),Over 2.5,1.95,pinnacle,3,0.7097,0.0467,1.93,3.1,1.9033,pinnacle:1.95; betsson:1.9; codere_it:1.86,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,62.92,,,,,,
Norwich City vs Oxford United,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,2.03,pinnacle,3,0.6689,0.0367,1.66,3.02,1.9933,pinnacle:2.03; codere_it:2.0; betsson:1.95,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,48.91,,,,,,
Norwich City vs Oxford United,2025-11-25 14:45:00,Championship,Goles (Over/Under),Over 2.5,1.86,pinnacle,3,0.6689,0.0367,1.57,3.02,1.8233,pinnacle:1.86; betsson:1.82; codere_it:1.79,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,63.06,,,,,,
Stoke City vs Charlton Athletic,2025-11-25 14:45:00,Championship,Goles (Over/Under),Under 2.5,1.84,pinnacle,3,0.654,0.03,1.63,2.89,1.81,pinnacle:1.84; betsson:1.82; codere_it:1.77,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Fallido,,48.88,,,,,,
Stoke City vs Charlton Athletic,2025-11-25 14:45:00,Championship,Goles (Over/Under),Over 2.5,2.06,pinnacle,3,0.654,0.04,1.62,2.89,2.02,pinnacle:2.06; codere_it:2.02; betsson:1.98,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,62.71,,,,,,
Atletico Mineiro vs Flamengo,2025-11-25 19:30:00,Brasileirão,Doble Chance,X2,1.25,pinnacle,4,0.6501,0.0225,1.45,3.83,1.2275,pinnacle:1.25; codere_it:1.24; betsson:1.21; marathonbet:1.21,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,60.72,,,,,,
Atletico Mineiro vs Flamengo,2025-11-25 19:30:00,Brasileirão,Doble Chance,1X,1.86,pinnacle,4,0.6501,0.0475,1.63,3.83,1.8125,pinnacle:1.86; codere_it:1.81; marathonbet:1.8; betsson:1.78,analisis_mercados_20251125_065555.csv,2025-12-15T20:48:10,Acertado,,30.86,,,,,,
