top_n,Mejor_Casa,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,betrivers,24,8,0.3333333333333333,-5.890000000000001,-0.2454166666666667,2.2566666666666664,0.00014129342161282787,7.3325,16
8,onexbet,7,1,0.14285714285714285,-4.84,-0.6914285714285714,2.245714285714286,9.831701721438064e-05,6.874285714285714,6
8,nordicbet,3,0,0.0,-3.0,-1.0,2.1566666666666667,0.00012197981515281778,6.946666666666666,3
8,unibet_eu,21,8,0.38095238095238093,-2.3999999999999995,-0.11428571428571425,2.3138095238095238,0.0001513142091080743,7.532857142857143,13
8,lowvig,1,0,0.0,-1.0,-1.0,2.03,7.525511196657678e-05,6.4,1
8,unibet_nl,1,0,0.0,-1.0,-1.0,2.07,0.0002,8.55,1
8,pinnacle,4,2,0.5,-0.020000000000000018,-0.0050000000000000044,1.99,8.55298588073395e-05,3.9675,2
8,coolbet,2,1,0.5,0.029999999999999805,0.014999999999999902,2.09,9.974131853290626e-05,5.71,1
8,betonlineag,2,1,0.5,0.04999999999999982,0.02499999999999991,2.03,0.00011136396744174406,7.074999999999999,1
8,matchbook,13,6,0.46153846153846156,0.3799999999999999,0.029230769230769223,2.233846153846154,0.00016422175046173167,5.555384615384615,7
8,unibet_se,1,1,1.0,1.2000000000000002,1.2000000000000002,2.2,0.000103,6.8,0
8,betsson,1,1,1.0,1.2999999999999998,1.2999999999999998,2.3,0.000113223167285,6.77,0
8,unibet,32,15,0.46875,1.6000000000000005,0.05000000000000002,3.12375,0.0016118076784361892,7.704193548387098,17
8,tipico_de,4,3,0.75,2.55,0.6375,2.2375,0.000314372061393675,6.035,1
8,williamhill,4,3,0.75,3.4200000000000004,0.8550000000000001,2.43,9.300814345801247e-05,7.4350000000000005,1
9,betrivers,28,9,0.32142857142857145,-7.83,-0.27964285714285714,2.240357142857143,0.00013357179716958756,7.289642857142858,19
9,onexbet,8,1,0.125,-5.84,-0.73,2.23,9.951545456169555e-05,6.67875,7
9,nordicbet,3,0,0.0,-3.0,-1.0,2.1566666666666667,0.00012197981515281778,6.946666666666666,3
9,lowvig,1,0,0.0,-1.0,-1.0,2.03,7.525511196657678e-05,6.4,1
9,unibet_nl,1,0,0.0,-1.0,-1.0,2.07,0.0002,8.55,1
9,betonlineag,2,1,0.5,0.04999999999999982,0.02499999999999991,2.03,0.00011136396744174406,7.074999999999999,1
9,matchbook,15,7,0.4666666666666667,0.34999999999999987,0.023333333333333324,2.220666666666667,0.00015540368281779742,5.61,8
9,unibet,33,15,0.45454545454545453,0.6000000000000005,0.0181818181818182,3.091818181818182,0.0015650441785795852,7.68625,18
9,unibet_eu,23,10,0.43478260869565216,0.7500000000000004,0.03260869565217393,2.336521739130435,0.00014560043815394953,7.5456521739130435,13
9,pinnacle,5,3,0.6,0.95,0.19,1.986,8.970187256009159e-05,4.438000000000001,2
9,coolbet,3,2,0.6666666666666666,1.0599999999999996,0.3533333333333332,2.07,8.508794199496194e-05,5.833333333333333,1
9,unibet_se,1,1,1.0,1.2000000000000002,1.2000000000000002,2.2,0.000103,6.8,0
9,tipico_de,5,3,0.6,1.5499999999999998,0.30999999999999994,2.25,0.00027049764911494,6.024,2
9,williamhill,5,3,0.6,2.4200000000000004,0.4840000000000001,2.484,9.440953685900996e-05,7.244,2
9,betsson,2,2,1.0,2.5,1.25,2.25,9.302233195468982e-05,6.414999999999999,0
