strategy,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,over_share,top_n
top_1,15,6,9,0.4,-1.6200000000000006,-0.10800000000000004,3.9599999999999995,0.0033589247080915725,0.6,1
top_2,30,13,17,0.43333333333333335,-1.02,-0.034,3.1303333333333336,0.0017801329111462065,0.6,2
top_3,45,19,26,0.4222222222222222,-2.8200000000000007,-0.06266666666666668,2.8480000000000008,0.0012392805413981682,0.6444444444444445,3
top_4,60,25,35,0.4166666666666667,-4.66,-0.07766666666666668,2.704,0.000963247547670086,0.6333333333333333,4
top_5,75,31,44,0.41333333333333333,-6.32,-0.08426666666666667,2.6149333333333336,0.0007953863616973943,0.6133333333333333,5
top_6,90,38,52,0.4222222222222222,-5.520000000000001,-0.06133333333333335,2.551888888888889,0.0006809285384164691,0.6333333333333333,6
top_7,105,44,61,0.41904761904761906,-6.070000000000001,-0.05780952380952382,2.511619047619048,0.0005981286378528197,0.6190476190476191,7
top_8,120,50,70,0.4166666666666667,-7.62,-0.0635,2.478416666666667,0.0005351738053977841,0.6,8
top_9,135,57,78,0.4222222222222222,-7.240000000000001,-0.05362962962962964,2.450296296296296,0.00048550913662999347,0.5851851851851851,9
top_10,150,59,91,0.3933333333333333,-17.79,-0.1186,2.439533333333333,0.0004452588460794303,0.6133333333333333,10
top_11,165,64,101,0.3878787878787879,-21.450000000000003,-0.13,2.4150303030303033,0.00041201229821213973,0.6060606060606061,11
top_12,180,70,110,0.3888888888888889,-23.09,-0.12827777777777777,2.3975555555555554,0.0003840299576026044,0.6,12
top_13,195,74,121,0.37948717948717947,-29.520000000000003,-0.1513846153846154,2.386307692307692,0.0003601015049805864,0.6051282051282051,13
top_14,210,79,131,0.3761904761904762,-33.790000000000006,-0.16090476190476194,2.3743809523809527,0.00033931436299936777,0.5952380952380952,14
top_15,225,83,142,0.3688888888888889,-39.78999999999999,-0.17684444444444442,2.362,0.0003211417727186068,0.6088888888888889,15
top_16,240,92,148,0.38333333333333336,-33.26,-0.13858333333333334,2.3581250000000002,0.00030505562102069547,0.6083333333333333,16
top_17,255,101,154,0.396078431372549,-27.73,-0.10874509803921568,2.3520392156862746,0.00029077555544248986,0.6078431372549019,17
top_18,270,106,164,0.3925925925925926,-32.22,-0.11933333333333333,2.3423333333333334,0.00027792279863370756,0.6074074074074074,18
top_19,285,108,177,0.37894736842105264,-42.83,-0.15028070175438596,2.3372631578947365,0.0002663420457001297,0.6105263157894737,19
top_20,300,114,186,0.38,-44.76,-0.1492,2.333266666666667,0.00025584640030598585,0.6033333333333334,20
top_21,315,120,195,0.38095238095238093,-46.45,-0.14746031746031746,2.326698412698413,0.0002462726231290598,0.6,21
top_22,330,130,200,0.3939393939393939,-39.07,-0.1183939393939394,2.3226666666666667,0.00023745308100209296,0.6060606060606061,22
top_23,345,135,210,0.391304347826087,-43.17,-0.1251304347826087,2.317304347826087,0.00022935791487712403,0.6057971014492753,23
top_24,360,143,217,0.3972222222222222,-41.36000000000001,-0.1148888888888889,2.309972222222222,0.00022184288961202555,0.6055555555555555,24
top_25,375,148,227,0.39466666666666667,-45.02,-0.12005333333333335,2.3085333333333335,0.00021486646951710897,0.6133333333333333,25
top_26,390,156,234,0.4,-42.09,-0.10792307692307693,2.303923076923077,0.00020836031054939866,0.6076923076923076,26
top_27,405,163,242,0.4024691358024691,-41.19,-0.1017037037037037,2.30120987654321,0.00020230183635528846,0.6123456790123457,27
top_28,420,169,251,0.4023809523809524,-42.519999999999996,-0.10123809523809522,2.2984047619047616,0.00019663151508087192,0.6047619047619047,28
top_29,435,176,259,0.4045977011494253,-41.379999999999995,-0.09512643678160919,2.2976551724137932,0.00019127813625434035,0.6091954022988506,29
top_30,450,181,269,0.4022222222222222,-45.449999999999996,-0.10099999999999999,2.295222222222222,0.00018625329263217508,0.6066666666666667,30
top_31,465,188,277,0.4043010752688172,-44.75,-0.09623655913978495,2.29294623655914,0.00018147708004534813,0.6086021505376344,31
top_32,480,193,287,0.40208333333333335,-49.12,-0.10233333333333333,2.288729166666667,0.00017696790936609524,0.6104166666666667,32
top_33,495,197,298,0.397979797979798,-55.13999999999999,-0.11139393939393938,2.2869494949494955,0.0001726992080177648,0.6121212121212121,33
top_34,509,205,304,0.4027504911591356,-51.72,-0.10161100196463654,2.2845579567779963,0.0001689631948983283,0.6110019646365422,34
top_35,523,213,310,0.4072657743785851,-48.85000000000001,-0.0934034416826004,2.2800191204588907,0.00016538802053314426,0.6042065009560229,35
top_36,537,220,317,0.409683426443203,-48.19999999999999,-0.0897579143389199,2.2776908752327745,0.00016197966010802575,0.6089385474860335,36
top_37,551,230,321,0.41742286751361163,-40.72,-0.07390199637023594,2.274464609800363,0.00015871776638719967,0.6098003629764065,37
top_38,564,234,330,0.4148936170212766,-44.480000000000004,-0.07886524822695036,2.2743794326241136,0.0001558668913933987,0.6081560283687943,38
top_39,576,236,340,0.4097222222222222,-52.129999999999995,-0.09050347222222221,2.2718402777777778,0.00015338795221652853,0.6128472222222222,39
top_40,588,238,350,0.40476190476190477,-60.03,-0.10209183673469388,2.2697959183673473,0.0001509887127390451,0.6105442176870748,40
top_41,600,242,358,0.4033333333333333,-63.76,-0.10626666666666666,2.2662,0.0001486712650097967,0.61,41
top_42,612,246,366,0.4019607843137255,-66.15,-0.10808823529411765,2.26609477124183,0.00014642729395531332,0.6127450980392157,42
top_43,624,251,373,0.40224358974358976,-67.13,-0.1075801282051282,2.2638782051282047,0.00014425409479455672,0.6041666666666666,43
top_44,636,256,380,0.4025157232704403,-68.08999999999999,-0.10705974842767293,2.262311320754717,0.00014215569498995435,0.6053459119496856,44
top_45,648,263,385,0.4058641975308642,-65.76,-0.10148148148148149,2.258796296296296,0.00014010866184176803,0.6033950617283951,45
top_46,660,269,391,0.4075757575757576,-65.19000000000001,-0.09877272727272729,2.2566969696969696,0.00013812195503136622,0.603030303030303,46
top_47,672,271,401,0.40327380952380953,-72.93,-0.10852678571428573,2.2548809523809523,0.0001361959929624708,0.6011904761904762,47
top_48,684,278,406,0.4064327485380117,-70.62,-0.10324561403508772,2.2509502923976608,0.00013432573776322342,0.6023391812865497,48
top_49,696,281,415,0.40373563218390807,-76.34,-0.10968390804597701,2.24926724137931,0.00013250920525394129,0.6020114942528736,49
top_50,708,287,421,0.4053672316384181,-74.50999999999999,-0.10524011299435027,2.248771186440678,0.0001307398428167805,0.596045197740113,50
top_51,720,290,430,0.4027777777777778,-80.07,-0.11120833333333333,2.247666666666667,0.00012901731843425847,0.5958333333333333,51
top_52,732,292,440,0.3989071038251366,-88.04,-0.12027322404371586,2.2460655737704918,0.00012733771052875483,0.5969945355191257,52
top_53,744,300,444,0.4032258064516129,-81.85,-0.11001344086021504,2.246532258064516,0.00012570286128000196,0.5981182795698925,53
top_54,756,307,449,0.4060846560846561,-78.44999999999999,-0.10376984126984125,2.244695767195767,0.0001241107103903661,0.5952380952380952,54
top_55,768,311,457,0.4049479166666667,-82.0,-0.10677083333333333,2.2442447916666666,0.00012256151454984214,0.59765625,55
top_56,780,319,461,0.40897435897435896,-76.94,-0.09864102564102564,2.2439615384615386,0.00012105082813796821,0.5961538461538461,56
top_57,792,323,469,0.4078282828282828,-80.19,-0.10124999999999999,2.2438383838383835,0.000119580130783434,0.5972222222222222,57
top_58,804,330,474,0.41044776119402987,-77.13,-0.09593283582089551,2.242462686567164,0.00011814688627977581,0.5945273631840796,58
top_59,816,336,480,0.4117647058823529,-74.72,-0.09156862745098039,2.2427696078431376,0.00011674970653234945,0.5955882352941176,59
top_60,828,341,487,0.41183574879227053,-75.14999999999999,-0.09076086956521738,2.2424637681159423,0.00011538546200901794,0.5942028985507246,60
top_61,840,349,491,0.4154761904761905,-69.68,-0.08295238095238096,2.2421190476190476,0.00011405446188212475,0.5928571428571429,61
top_62,851,357,494,0.4195064629847238,-62.69,-0.0736662749706228,2.241692126909518,0.00011288203616761614,0.5922444183313749,62
top_63,862,363,499,0.4211136890951276,-59.699999999999996,-0.06925754060324825,2.2419721577726217,0.00011173500603341792,0.5928074245939675,63
top_64,873,368,505,0.4215349369988545,-59.95,-0.06867124856815579,2.241626575028637,0.00011061457298839639,0.5933562428407789,64
top_65,884,374,510,0.4230769230769231,-57.89999999999999,-0.06549773755656108,2.240927601809955,0.00010951766075102089,0.5916289592760181,65
top_66,895,377,518,0.4212290502793296,-62.260000000000005,-0.06956424581005587,2.240256983240223,0.00010844035943037859,0.5888268156424581,66
top_67,906,384,522,0.423841059602649,-57.33999999999999,-0.06328918322295804,2.240739514348786,0.00010738400688501122,0.5905077262693157,67
top_68,917,388,529,0.42311886586695746,-59.69,-0.06509269356597601,2.2402508178844056,0.00010634770024075315,0.5899672846237731,68
top_69,928,392,536,0.4224137931034483,-61.75,-0.06654094827586207,2.2404094827586207,0.00010533033421773593,0.5894396551724138,69
top_70,938,397,541,0.4232409381663113,-61.03999999999999,-0.06507462686567163,2.2394562899786776,0.00010444386987044223,0.5874200426439232,70
top_71,948,404,544,0.42616033755274263,-55.839999999999996,-0.058902953586497886,2.2388291139240506,0.00010357347687185333,0.5875527426160337,71
top_72,958,410,548,0.4279749478079332,-53.34999999999999,-0.055688935281837146,2.238256784968685,0.00010271701748876273,0.5866388308977035,72
top_73,968,415,553,0.4287190082644628,-52.739999999999995,-0.05448347107438016,2.237045454545455,0.00010187604998076705,0.5857438016528925,73
top_74,978,421,557,0.43047034764826175,-49.45,-0.05056237218813906,2.2364008179959103,0.00010105002566499194,0.5858895705521472,74
top_75,988,428,560,0.4331983805668016,-43.980000000000004,-0.044514170040485836,2.2360526315789477,0.00010023591568520281,0.5870445344129555,75
top_76,998,431,567,0.4318637274549098,-47.75999999999999,-0.047855711422845684,2.2345490981963927,9.94344781822461e-05,0.5871743486973948,76
top_77,1008,436,572,0.43253968253968256,-46.629999999999995,-0.04625992063492063,2.2337698412698406,9.864648464187931e-05,0.5863095238095238,77
top_78,1018,441,577,0.43320235756385067,-45.55,-0.04474459724950884,2.2333300589390963,9.787120741343458e-05,0.587426326129666,78
top_79,1028,448,580,0.4357976653696498,-39.58,-0.03850194552529183,2.2333852140077823,9.710693407713487e-05,0.5875486381322957,79
top_80,1038,452,586,0.43545279383429675,-40.98,-0.03947976878612716,2.232630057803468,9.635436822259214e-05,0.5847784200385356,80
