top_n,Liga,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,Super League Switzerland,6,1,0.16666666666666666,-3.57,-0.595,2.2133333333333334,0.00013665287000552175,7.041666666666667,5
8,MLS,5,1,0.2,-2.6,-0.52,2.226,0.00011742350723477925,5.746,4
8,J1 League,2,0,0.0,-2.0,-1.0,2.3899999999999997,0.0001264854065395,6.165,2
8,K League 1,2,0,0.0,-2.0,-1.0,2.3499999999999996,0.0001761240764016,7.51,2
8,Ligue 1,2,0,0.0,-2.0,-1.0,2.1100000000000003,0.00034490070101765,3.76,2
8,Liga MX,6,2,0.3333333333333333,-1.9000000000000004,-0.3166666666666667,2.1533333333333333,0.00015423983792378334,7.603333333333334,4
8,Eredivisie,4,1,0.25,-1.7999999999999998,-0.44999999999999996,8.6125,0.0118750584795319,5.47,3
8,La Liga 2,6,2,0.3333333333333333,-1.2999999999999998,-0.21666666666666665,2.393333333333333,0.00011140480640952861,7.31,4
8,Serie B,10,4,0.4,-1.08,-0.10800000000000001,2.241,0.00014780667739641733,8.372,6
8,Primera División Chile,3,1,0.3333333333333333,-1.02,-0.34,2.12,0.00015002965179120002,7.476666666666667,2
8,La Liga,1,0,0.0,-1.0,-1.0,2.26,7.428953053771972e-05,4.85,1
8,Pro League,1,0,0.0,-1.0,-1.0,2.25,0.0001079371434218,6.56,1
8,Scottish Premiership,1,0,0.0,-1.0,-1.0,2.2,0.0001865715858668,6.06,1
8,Serie A,1,0,0.0,-1.0,-1.0,2.3,0.0004181775590927,1.62,1
8,Superliga Denmark,1,0,0.0,-1.0,-1.0,2.29,0.000110880187144,7.36,1
8,Premiership,5,2,0.4,-0.9700000000000002,-0.19400000000000003,2.064,9.408700482834513e-05,6.452,3
8,Süper Lig,3,1,0.3333333333333333,-0.8999999999999999,-0.3,2.16,0.0001118385593819817,7.566666666666666,2
