top_n,Mercado,odds_bin,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,Over 2.5,"[0.0, 2.0)",5,2,0.4,-1.04,-0.20800000000000002,1.9780000000000002,0.00014893031595546248,7.0680000000000005,3
8,Over 2.5,"[2.0, 2.2)",21,10,0.47619047619047616,-0.17999999999999972,-0.008571428571428558,2.0885714285714285,0.00012967742148803282,6.706190476190477,11
8,Over 2.5,"[2.2, 2.4)",22,11,0.5,3.07,0.13954545454545453,2.2754545454545454,0.00015939644665499087,7.265454545454546,11
8,Over 2.5,"[2.4, 2.6)",9,3,0.3333333333333333,-1.52,-0.1688888888888889,2.4855555555555555,0.000132384687719029,7.195555555555556,6
8,Over 2.5,"[2.6, 10.0)",13,5,0.38461538461538464,0.6700000000000004,0.05153846153846157,2.7346153846153842,0.0001395800050969939,7.486923076923077,8
8,Over 2.5,,2,0,0.0,-2.0,-1.0,15.0,0.023645995184013648,4.26,2
8,Under 2.5,"[0.0, 2.0)",1,1,1.0,0.98,0.98,1.98,7.131163869036823e-05,6.06,0
8,Under 2.5,"[2.0, 2.2)",23,10,0.43478260869565216,-2.18,-0.09478260869565218,2.1034782608695655,0.00013810342346374046,6.987272727272727,13
8,Under 2.5,"[2.2, 2.4)",18,5,0.2777777777777778,-6.68,-0.3711111111111111,2.2655555555555558,0.00014736900197696116,7.200555555555557,13
8,Under 2.5,"[2.4, 2.6)",6,3,0.5,1.2600000000000002,0.21000000000000005,2.4233333333333333,0.00017465539209951964,7.001666666666666,3
8,Under 2.5,"[2.6, 10.0)",0,0,,0.0,,,,,0
8,Under 2.5,,0,0,,0.0,,,,,0
9,Over 2.5,"[0.0, 2.0)",7,4,0.5714285714285714,0.8999999999999999,0.12857142857142856,1.9757142857142858,0.00013971369703638748,6.854285714285715,3
9,Over 2.5,"[2.0, 2.2)",22,10,0.45454545454545453,-1.1799999999999997,-0.05363636363636362,2.0872727272727274,0.00012803699061397536,6.69,12
9,Over 2.5,"[2.2, 2.4)",25,13,0.52,4.57,0.18280000000000002,2.2763999999999998,0.00015095405191441183,7.306,12
9,Over 2.5,"[2.4, 2.6)",9,3,0.3333333333333333,-1.52,-0.1688888888888889,2.4855555555555555,0.000132384687719029,7.195555555555556,6
9,Over 2.5,"[2.6, 10.0)",14,5,0.35714285714285715,-0.3299999999999996,-0.023571428571428545,2.732142857142857,0.00013675394119456576,7.415,9
9,Over 2.5,,2,0,0.0,-2.0,-1.0,15.0,0.023645995184013648,4.26,2
9,Under 2.5,"[0.0, 2.0)",1,1,1.0,0.98,0.98,1.98,7.131163869036823e-05,6.06,0
9,Under 2.5,"[2.0, 2.2)",28,12,0.42857142857142855,-3.0900000000000003,-0.11035714285714286,2.0985714285714283,0.00012681796109824183,6.892962962962963,16
9,Under 2.5,"[2.2, 2.4)",20,5,0.25,-8.68,-0.434,2.2689999999999997,0.00014084300749717254,7.136315789473684,15
9,Under 2.5,"[2.4, 2.6)",6,3,0.5,1.2600000000000002,0.21000000000000005,2.4233333333333333,0.00017465539209951964,7.001666666666666,3
9,Under 2.5,"[2.6, 10.0)",1,1,1.0,1.85,1.85,2.85,9.005768822246153e-05,6.52,0
9,Under 2.5,,0,0,,0.0,,,,,0
