bdi_decile,bets,mean_bdi,roi,hit_rate,avg_odds
"(-0.000998, 8.2e-06]",11,5.500663548774077e-06,-0.21818181818181814,0.36363636363636365,2.286363636363636
"(8.2e-06, 1.44e-05]",10,1.2656506294637305e-05,0.142,0.5,2.21
"(1.44e-05, 2.02e-05]",10,1.70485578400824e-05,0.072,0.5,2.161
"(2.02e-05, 2.59e-05]",10,2.359667312868137e-05,0.5279999999999999,0.7,2.209
"(2.59e-05, 3.76e-05]",10,3.031782978399093e-05,-0.292,0.3,2.263
"(3.76e-05, 5.01e-05]",10,4.1367516241363086e-05,0.11500000000000002,0.5,2.207
"(5.01e-05, 7.29e-05]",10,6.167266965260018e-05,-0.18600000000000003,0.4,2.2169999999999996
"(7.29e-05, 8.49e-05]",10,7.907004645390447e-05,-0.354,0.3,2.09
"(8.49e-05, 0.000127]",10,9.684809602814051e-05,-0.095,0.4,2.218
"(0.000127, 0.00042]",11,0.00023625599043763633,0.35818181818181816,0.6363636363636364,2.212727272727273
