side_mode,weekend_mode,top_n,min_bookies_fair,weeks,bets,profit_total,roi_per_bet,hit_rate,avg_odds,avg_bdi,profitable_weeks,nonnegative_weeks
higher,sat_sun,9,0,7,43,7.129999999999999,0.16581395348837208,0.5348837209302325,2.1925581395348837,0.00011024099090266227,5,5
higher,sat_sun,8,0,7,40,6.090000000000002,0.15225000000000005,0.525,2.1985,0.00011372431353348398,5,5
higher,sat_sun,9,4,7,40,4.58,0.1145,0.525,2.1445,0.00010986437110174965,5,5
higher,sat_sun,9,6,7,40,4.58,0.1145,0.525,2.1445,0.00010986437110174965,5,5
higher,fri_sun,9,0,7,52,4.369999999999999,0.08403846153846152,0.5,2.201346153846154,9.771623469874069e-05,4,4
higher,sat_sun,9,8,7,38,4.309999999999999,0.11342105263157891,0.5263157894736842,2.130789473684211,0.00011488452166737539,4,4
higher,fri_sun,8,0,7,48,4.29,0.089375,0.5,2.209791666666667,0.00010124408694629158,4,4
higher,sat_sun,10,0,7,46,4.129999999999999,0.08978260869565215,0.5,2.190434782608696,0.00010674823698945264,5,5
higher,sat_sun,7,0,7,36,3.669999999999998,0.1019444444444444,0.5,2.209722222222222,0.00011955380161007378,4,4
higher,sat_sun,8,4,7,37,3.539999999999999,0.09567567567567566,0.5135135135135135,2.1470270270270273,0.00011359958855661803,5,5
higher,sat_sun,8,6,7,37,3.539999999999999,0.09567567567567566,0.5135135135135135,2.1470270270270273,0.00011359958855661803,5,5
higher,fri_sun,10,0,7,55,3.379999999999999,0.061454545454545435,0.4909090909090909,2.1965454545454546,9.549541731144524e-05,4,4
higher,sat_sun,6,4,7,31,3.34,0.10774193548387097,0.5161290322580645,2.1503225806451614,0.00011919255183635163,6,6
higher,sat_sun,6,6,7,31,3.34,0.10774193548387097,0.5161290322580645,2.1503225806451614,0.00011919255183635163,6,6
higher,sat_sun,6,0,7,32,3.329999999999999,0.10406249999999997,0.5,2.20625,0.0001254480177610253,5,5
higher,sat_sun,8,8,7,35,3.2699999999999996,0.09342857142857142,0.5142857142857142,2.132285714285714,0.00011926347873957557,4,4
higher,sat_sun,6,8,7,29,3.0700000000000003,0.10586206896551725,0.5172413793103449,2.132758620689655,0.00012641400297300616,5,5
higher,sat_sun,5,0,7,28,2.7999999999999994,0.09999999999999998,0.5,2.2103571428571427,0.00012999390392671897,4,4
