side_mode,weekend_mode,top_n,min_bookies_fair,weeks,bets,profit_total,roi_per_bet,hit_rate,avg_odds,avg_bdi,profitable_weeks,nonnegative_weeks
higher,sat_sun,8,0,7,40,6.090000000000002,0.15225000000000005,0.525,2.1985,0.00011372431353348398,5,5
higher,fri_sun,8,0,7,48,4.29,0.089375,0.5,2.209791666666667,0.00010124408694629158,4,4
higher,sat_sun,7,0,7,36,3.669999999999998,0.1019444444444444,0.5,2.209722222222222,0.00011955380161007378,4,4
higher,sat_sun,8,4,7,37,3.539999999999999,0.09567567567567566,0.5135135135135135,2.1470270270270273,0.00011359958855661803,5,5
higher,sat_sun,8,6,7,37,3.539999999999999,0.09567567567567566,0.5135135135135135,2.1470270270270273,0.00011359958855661803,5,5
higher,sat_sun,8,8,7,35,3.2699999999999996,0.09342857142857142,0.5142857142857142,2.132285714285714,0.00011926347873957557,4,4
higher,sat_sun,7,4,7,34,2.34,0.0688235294117647,0.5,2.1550000000000002,0.000116787530080112,4,4
higher,sat_sun,7,6,7,34,2.34,0.0688235294117647,0.5,2.1550000000000002,0.000116787530080112,4,4
higher,sat_sun,7,8,7,32,2.0699999999999994,0.06468749999999998,0.5,2.1393750000000002,0.0001231816563129402,3,3
higher,fri_sun,7,0,7,44,1.87,0.0425,0.4772727272727273,2.2200000000000006,0.00010487910204648393,3,3
higher,fri_sun,8,8,7,43,1.4699999999999998,0.034186046511627904,0.4883720930232558,2.1518604651162794,0.00010431763148806828,3,3
higher,fri_sun,8,4,7,46,0.7399999999999998,0.016086956521739127,0.4782608695652174,2.1650000000000005,9.830693440507614e-05,3,3
higher,fri_sun,8,6,7,46,0.7399999999999998,0.016086956521739127,0.4782608695652174,2.1650000000000005,9.830693440507614e-05,3,3
higher,fri_sun,7,8,7,40,0.2699999999999996,0.0067499999999999895,0.475,2.1590000000000003,0.00010633123500289693,2,2
higher,fri_sun,7,4,7,43,-0.4600000000000004,-0.01069767441860466,0.46511627906976744,2.172558139534884,9.976070299447542e-05,2,2
higher,fri_sun,7,6,7,43,-0.4600000000000004,-0.01069767441860466,0.46511627906976744,2.172558139534884,9.976070299447542e-05,2,2
