strategy,bets,profit_total,roi,hit_rate,avg_odds,weekend_share
Combo match-BDI top8 -> Under 2.5 + margen<=3.89,7,2.4299999999999997,0.3471428571428571,0.7142857142857143,1.887142857142857,1.0
Combo match-BDI top8 -> Under 2.5 + margen<=3.89 + pinnacle,7,2.4299999999999997,0.3471428571428571,0.7142857142857143,1.887142857142857,1.0
Combo match-BDI top9 -> Under 2.5 + margen<=3.89,7,2.4299999999999997,0.3471428571428571,0.7142857142857143,1.887142857142857,1.0
Combo match-BDI top9 -> Under 2.5 + margen<=3.89 + pinnacle,7,2.4299999999999997,0.3471428571428571,0.7142857142857143,1.887142857142857,1.0
Under 2.5 + margen<=3.89 + pinnacle,108,10.160000000000002,0.09407407407407409,0.5648148148148148,1.9398148148148149,0.8425925925925926
Under 2.5 + margen<=3.89,190,13.91,0.07321052631578948,0.5526315789473685,1.9552105263157893,0.7421052631578947
Under 3.5,373,20.84,0.05587131367292225,0.6353887399463807,1.6962734584450403,0.8793565683646113
Portafolio top8 BDI + Under 3.5 + Under 2.5 + margen<=3.89,683,27.13,0.03972181551976574,0.5739385065885798,1.9057247437774527,0.862371888726208
Portafolio top9 BDI + Under 3.5 + Under 2.5 + margen<=3.89,698,27.509999999999998,0.03941260744985673,0.5716332378223495,1.9125931232091686,0.8653295128939829
Portafolio top8 BDI + Under 3.5,493,13.219999999999997,0.02681541582150101,0.5821501014198783,1.8866531440162275,0.9087221095334685
Portafolio top9 BDI + Under 3.5,508,13.599999999999998,0.026771653543307083,0.5787401574803149,1.8966535433070866,0.9114173228346457
Portafolio top9 BDI + Under 2.5 + margen<=3.89,325,6.669999999999999,0.02052307692307692,0.49846153846153846,2.160861538461538,0.8492307692307692
Portafolio top8 BDI + Under 2.5 + margen<=3.89,310,6.289999999999999,0.02029032258064516,0.5,2.157741935483871,0.8419354838709677
BDI weekend top9 cuota mayor,135,-7.240000000000001,-0.05362962962962964,0.4222222222222222,2.450296296296296,1.0
BDI weekend top8 cuota mayor,120,-7.62,-0.0635,0.4166666666666667,2.478416666666667,1.0
Combo match-BDI top9 -> Under 3.5,2,-0.29000000000000004,-0.14500000000000002,0.5,1.595,1.0
Combo match-BDI top8 -> Under 3.5,1,-1.0,-1.0,0.0,1.48,1.0
