source_git_path,export_name,rows,usable_result_rows,result_columns,source_group
analisis_mercados_20251226_191537_con_resultados.csv,analisis_mercados_20251226_191537_con_resultados.csv,238,238,"Resultado, Resultado_Segunda, Marcador",analisis_mercados
bdi_top_by_match_with_rendimiento.csv,bdi_top_by_match_with_rendimiento.csv,44,44,"Resultado, Marcador",bdi_top
filtro2_resultados_con_marcador_real.csv,filtro2_resultados_con_marcador_real.csv,80,80,"Resultado, Marcador",filtro2
filtro2_resultados_con_marcador_real_con_BDI.csv,filtro2_resultados_con_marcador_real_con_BDI.csv,80,80,"Resultado, Marcador",filtro2
historical_con_resultados/backup/historical_20250103_con_resultados.csv,historical_con_resultados__backup__historical_20250103_con_resultados.csv,326,326,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250110_con_resultados.csv,historical_con_resultados__backup__historical_20250110_con_resultados.csv,402,402,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250117_con_resultados.csv,historical_con_resultados__backup__historical_20250117_con_resultados.csv,650,650,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250124_con_resultados.csv,historical_con_resultados__backup__historical_20250124_con_resultados.csv,706,706,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250131_con_resultados.csv,historical_con_resultados__backup__historical_20250131_con_resultados.csv,710,710,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250207_con_resultados.csv,historical_con_resultados__backup__historical_20250207_con_resultados.csv,668,668,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250214_con_resultados.csv,historical_con_resultados__backup__historical_20250214_con_resultados.csv,858,858,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250221_con_resultados.csv,historical_con_resultados__backup__historical_20250221_con_resultados.csv,908,908,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250228_con_resultados.csv,historical_con_resultados__backup__historical_20250228_con_resultados.csv,856,856,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250307_con_resultados.csv,historical_con_resultados__backup__historical_20250307_con_resultados.csv,866,866,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250314_con_resultados.csv,historical_con_resultados__backup__historical_20250314_con_resultados.csv,906,906,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250321_con_resultados.csv,historical_con_resultados__backup__historical_20250321_con_resultados.csv,158,158,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup/historical_20250328_con_resultados.csv,historical_con_resultados__backup__historical_20250328_con_resultados.csv,902,902,"Acerto, Score, Total_Goles",historical_backup
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250103_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250103_con_resultados.csv,326,326,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250110_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250110_con_resultados.csv,402,402,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250117_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250117_con_resultados.csv,650,650,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250124_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250124_con_resultados.csv,706,706,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250131_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250131_con_resultados.csv,710,710,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250207_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250207_con_resultados.csv,668,668,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250214_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250214_con_resultados.csv,858,858,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250221_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250221_con_resultados.csv,908,908,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250228_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250228_con_resultados.csv,856,856,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250307_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250307_con_resultados.csv,866,866,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250314_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250314_con_resultados.csv,906,906,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/backup_reconstruccion_20260107_204251/historical_20250328_con_resultados.csv,historical_con_resultados__backup_reconstruccion_20260107_204251__historical_20250328_con_resultados.csv,902,902,"Acerto, Score, Total_Goles",historical_backup_reconstruido
historical_con_resultados/historical_20250103_con_resultados.csv,historical_con_resultados__historical_20250103_con_resultados.csv,248,248,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250110_con_resultados.csv,historical_con_resultados__historical_20250110_con_resultados.csv,314,314,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250117_con_resultados.csv,historical_con_resultados__historical_20250117_con_resultados.csv,504,504,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250124_con_resultados.csv,historical_con_resultados__historical_20250124_con_resultados.csv,534,534,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250131_con_resultados.csv,historical_con_resultados__historical_20250131_con_resultados.csv,538,538,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250207_con_resultados.csv,historical_con_resultados__historical_20250207_con_resultados.csv,492,492,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250214_con_resultados.csv,historical_con_resultados__historical_20250214_con_resultados.csv,654,654,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250221_con_resultados.csv,historical_con_resultados__historical_20250221_con_resultados.csv,694,694,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250228_con_resultados.csv,historical_con_resultados__historical_20250228_con_resultados.csv,652,652,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250307_con_resultados.csv,historical_con_resultados__historical_20250307_con_resultados.csv,658,658,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250314_con_resultados.csv,historical_con_resultados__historical_20250314_con_resultados.csv,682,682,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250321_con_resultados.csv,historical_con_resultados__historical_20250321_con_resultados.csv,140,140,"Acerto, Score, Total_Goles",historical_principal
historical_con_resultados/historical_20250328_con_resultados.csv,historical_con_resultados__historical_20250328_con_resultados.csv,722,722,"Acerto, Score, Total_Goles",historical_principal
data/historico_completo.csv,data__historico_completo.csv,1756,1756,"Resultado, Marcador, Goles_Local, Goles_Visitante",historico_maestro
resultados_definitivos/historical_20250103_con_resultados.csv,resultados_definitivos__historical_20250103_con_resultados.csv,244,244,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250110_con_resultados.csv,resultados_definitivos__historical_20250110_con_resultados.csv,308,308,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250117_con_resultados.csv,resultados_definitivos__historical_20250117_con_resultados.csv,492,492,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250124_con_resultados.csv,resultados_definitivos__historical_20250124_con_resultados.csv,524,524,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250131_con_resultados.csv,resultados_definitivos__historical_20250131_con_resultados.csv,528,528,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250207_con_resultados.csv,resultados_definitivos__historical_20250207_con_resultados.csv,488,488,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250214_con_resultados.csv,resultados_definitivos__historical_20250214_con_resultados.csv,648,648,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250221_con_resultados.csv,resultados_definitivos__historical_20250221_con_resultados.csv,688,688,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250228_con_resultados.csv,resultados_definitivos__historical_20250228_con_resultados.csv,644,644,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250307_con_resultados.csv,resultados_definitivos__historical_20250307_con_resultados.csv,646,646,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250314_con_resultados.csv,resultados_definitivos__historical_20250314_con_resultados.csv,670,670,"Acerto, Score, Total_Goles",resultados_definitivos
resultados_definitivos/historical_20250328_con_resultados.csv,resultados_definitivos__historical_20250328_con_resultados.csv,716,716,"Acerto, Score, Total_Goles",resultados_definitivos
REVISAR-analisis_mercados_20251220_214421_con_BDI_fair_con_resultados.csv,REVISAR-analisis_mercados_20251220_214421_con_BDI_fair_con_resultados.csv,174,174,"Resultado, Marcador",revision_manual
