top_n,week_id,bets,hits,hit_rate,profit_total,roi,avg_odds
8,2025-W01,1,1.0,1.0,1.25,1.25,2.25
8,2025-W02,4,0.0,0.0,-4.0,-1.0,2.2925
8,2025-W03,1,1.0,1.0,1.3599999999999999,1.3599999999999999,2.36
8,2025-W04,1,1.0,1.0,1.2000000000000002,1.2000000000000002,2.2
8,2025-W05,2,1.0,0.5,0.20000000000000018,0.10000000000000009,2.2
8,2025-W06,1,1.0,1.0,1.3199999999999998,1.3199999999999998,2.32
8,2025-W07,1,0.0,0.0,-1.0,-1.0,2.2
8,2025-W09,5,4.0,0.8,4.13,0.826,2.266
8,2025-W10,2,0.0,0.0,-2.0,-1.0,2.33
8,2025-W11,1,0.0,0.0,-1.0,-1.0,2.3
8,2025-W13,1,0.0,0.0,-1.0,-1.0,2.26
8,2025-W51,2,2.0,1.0,2.61,1.305,2.3049999999999997
9,2025-W01,1,1.0,1.0,1.25,1.25,2.25
9,2025-W02,4,0.0,0.0,-4.0,-1.0,2.2925
9,2025-W03,1,1.0,1.0,1.3599999999999999,1.3599999999999999,2.36
9,2025-W04,2,2.0,1.0,2.5,1.25,2.25
9,2025-W05,2,1.0,0.5,0.20000000000000018,0.10000000000000009,2.2
9,2025-W06,2,1.0,0.5,0.31999999999999984,0.15999999999999992,2.335
9,2025-W07,1,0.0,0.0,-1.0,-1.0,2.2
9,2025-W09,5,4.0,0.8,4.13,0.826,2.266
9,2025-W10,2,0.0,0.0,-2.0,-1.0,2.33
9,2025-W11,1,0.0,0.0,-1.0,-1.0,2.3
9,2025-W13,2,1.0,0.5,0.20000000000000018,0.10000000000000009,2.23
9,2025-W51,2,2.0,1.0,2.61,1.305,2.3049999999999997
