rule,n,hit_rate,roi,hit_lift,roi_lift
diferencia_cuota_promedio >= 0.0416 AND Liga == Serie A,36,0.6388888888888888,0.3353972222222222,0.09121162727519694,0.40323805351806574
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND Mercado == Over 2.5,36,0.6388888888888888,0.2636111111111111,0.09121162727519694,0.33145194240695464
volatilidad_pct >= 1.8700 AND Mejor_Casa == betsson AND source_group == historico_maestro,62,0.532258064516129,0.23241935483870974,-0.015419197097562898,0.3002601861345533
volatilidad_pct >= 1.8700 AND confianza_calibrada <= 51.1500 AND Mejor_Casa == betsson,51,0.49019607843137253,0.23137254901960783,-0.05748118318231937,0.29921338031545136
volatilidad_pct >= 1.8700 AND p_win_calibrada <= 0.5115 AND Mejor_Casa == betsson,51,0.49019607843137253,0.23137254901960783,-0.05748118318231937,0.29921338031545136
mejor_cuota >= 2.0200 AND edge_pct >= 2.3121 AND Mejor_Casa == betsson,32,0.4375,0.22625,-0.1101772616136919,0.29409083129584357
volatilidad_pct >= 1.8700 AND edge_pct >= 2.3121 AND Mejor_Casa == betsson,33,0.45454545454545453,0.21303030303030307,-0.09313180706823737,0.28087113432614663
diferencia_cuota_promedio >= 0.0416 AND confianza_calibrada <= 51.1500 AND Mejor_Casa == betsson,49,0.46938775510204084,0.20897959183673473,-0.07828950651165106,0.27682042313257826
diferencia_cuota_promedio >= 0.0416 AND p_win_calibrada <= 0.5115 AND Mejor_Casa == betsson,49,0.46938775510204084,0.20897959183673473,-0.07828950651165106,0.27682042313257826
diferencia_cuota_promedio >= 0.0416 AND Mejor_Casa == betsson AND source_group == historico_maestro,49,0.46938775510204084,0.20897959183673473,-0.07828950651165106,0.27682042313257826
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND Mejor_Casa == betsson,50,0.58,0.20440000000000003,0.03232273838630806,0.27224083129584353
diferencia_cuota_promedio >= 0.0416 AND edge_pct >= 2.3121 AND Mejor_Casa == betsson,34,0.4411764705882353,0.20411764705882354,-0.10650079102545662,0.2719584783546671
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND Mejor_Casa == betsson,33,0.5454545454545454,0.19727272727272727,-0.0022227161591464872,0.2651135585685708
margen_casa_pct >= 6.0800 AND Mercado == Under 3.5,34,0.7058823529411765,0.19147058823529411,0.15820509132748461,0.2593114195311377
margen_casa_pct >= 6.0800 AND market_family == totals AND Mercado == Under 3.5,34,0.7058823529411765,0.19147058823529411,0.15820509132748461,0.2593114195311377
margen_casa_pct >= 6.0800 AND Mercado == Under 3.5 AND Tipo_Mercado == Goles (Over/Under),34,0.7058823529411765,0.19147058823529411,0.15820509132748461,0.2593114195311377
edge_pct >= 2.3121 AND Mejor_Casa == betsson,36,0.4444444444444444,0.1844444444444445,-0.10323281716924748,0.25228527574028803
volatilidad_pct >= 1.8700 AND margen_casa_pct >= 6.0800 AND num_casas <= 2.0000,30,0.5666666666666667,0.18133333333333335,0.01898940505297475,0.24917416462917688
mejor_cuota <= 1.5100 AND volatilidad_pct >= 1.8700 AND Mercado == 1X,32,0.875,0.17070625,0.3273227383863081,0.23854708129584354
volatilidad_pct >= 1.8700 AND market_family == totals AND Mejor_Casa == betsson,55,0.5636363636363636,0.1690909090909091,0.0159591020226717,0.23693174038675263
volatilidad_pct >= 1.8700 AND Tipo_Mercado == Goles (Over/Under) AND Mejor_Casa == betsson,55,0.5636363636363636,0.1690909090909091,0.0159591020226717,0.23693174038675263
score_final <= 0.1069 AND num_casas >= 4.0000 AND source_group == revision_manual,37,0.6216216216216216,0.1627027027027027,0.0739443600079297,0.23054353399854624
score_final <= 0.1069 AND Mercado == Under 3.5,36,0.6944444444444444,0.16083333333333336,0.14676718283075252,0.2286741646291769
score_final <= 0.1069 AND market_family == totals AND Mercado == Under 3.5,36,0.6944444444444444,0.16083333333333336,0.14676718283075252,0.2286741646291769
score_final <= 0.1069 AND Mercado == Under 3.5 AND Tipo_Mercado == Goles (Over/Under),36,0.6944444444444444,0.16083333333333336,0.14676718283075252,0.2286741646291769
edge_pct >= 2.3121 AND Liga == Super League AND Mejor_Casa == pinnacle,32,0.59375,0.159375,0.0460727383863081,0.22721583129584352
mejor_cuota <= 1.5100 AND volatilidad_pct <= 0.7800 AND margen_casa_pct <= 3.5600,40,0.9,0.15899999999999997,0.3523227383863081,0.2268408312958435
score_final <= 0.1069 AND margen_casa_pct >= 6.0800 AND source_group == revision_manual,40,0.625,0.15875000000000003,0.0773227383863081,0.22659083129584356
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND source_group == historico_maestro,84,0.5833333333333334,0.15559523809523815,0.03565607171964147,0.22343606939108168
Mercado == Under 3.5,66,0.6666666666666666,0.15166666666666667,0.11898940505297473,0.2195074979625102
market_family == totals AND Mercado == Under 3.5,66,0.6666666666666666,0.15166666666666667,0.11898940505297473,0.2195074979625102
Mercado == Under 3.5 AND Tipo_Mercado == Goles (Over/Under),66,0.6666666666666666,0.15166666666666667,0.11898940505297473,0.2195074979625102
