Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto
Nashville SC vs New England Revolution,2025-02-22 20:30:00,Over 2.5,1.7,1.6278,0.0002131485741982,9.0,0.0203569506005463,0.0185245891318727,0.0002418229658329,9.0,0.0213852415176479,0.0195042863509343,nordicbet,9.0,0.0722,0.0565,6.44,MLS,Goles (Over/Under),2025-02-21,nordicbet:1.7000; betsson:1.7000; playup:1.6800; onexbet:1.6600; mybookieag:1.6300; williamhill:1.6000; betrivers:1.5600; unibet:1.5600; unibet_eu:1.5600,0-0,0.0,No
Nashville SC vs New England Revolution,2025-02-22 20:30:00,Under 2.5,2.4,2.2489,0.0002131485741982,9.0,0.0203569506005463,0.0185245891318727,0.0002485943962638,9.0,0.0221396658422106,0.0197070555936908,betrivers,9.0,0.1511,0.1136,5.77,MLS,Goles (Over/Under),2025-02-21,betrivers:2.4000; unibet:2.4000; unibet_eu:2.4000; williamhill:2.2500; onexbet:2.2000; mybookieag:2.1900; nordicbet:2.1500; betsson:2.1500; playup:2.1000,0-0,0.0,Sí
Guadalajara vs Pachuca,2025-02-22 20:05:00,Over 2.5,1.91,1.8492,0.0001605934683586,12.0,0.0179050199927056,0.0151400763125277,0.0002734502969639,12.0,0.0232387557942685,0.0198288601822472,williamhill,12.0,0.0608,0.0759,7.0,Liga MX,Goles (Over/Under),2025-02-21,williamhill:1.9100; betsson:1.9000; nordicbet:1.9000; pinnacle:1.9000; betus:1.9000; bovada:1.8900; lowvig:1.8900; betonlineag:1.8900; coolbet:1.8500; unibet_eu:1.7200; betrivers:1.7200; unibet:1.7200,2-1,3.0,Sí
Guadalajara vs Pachuca,2025-02-22 20:05:00,Under 2.5,2.02,1.9317,0.0001605934683586,12.0,0.0179050199927057,0.0151400763125277,0.0001374441422804,12.0,0.0165639557473901,0.0129756037782356,unibet_eu,12.0,0.0883,0.0619,7.64,Liga MX,Goles (Over/Under),2025-02-21,unibet_eu:2.0200; betrivers:2.0200; unibet:2.0200; coolbet:1.9600; bovada:1.9300; pinnacle:1.9300; lowvig:1.9300; betonlineag:1.9300; betsson:1.8700; nordicbet:1.8700; betus:1.8700; williamhill:1.8300,2-1,3.0,No
FC Zurich vs Yverdon Sport FC,2025-02-22 12:00:00,Over 2.5,1.78,1.6975,0.0001444139690785,8.0,0.0168823175413958,0.016141253634241,0.0001953153318904,8.0,0.0194234159447356,0.017819277358828,coolbet,8.0,0.0825,0.0556,6.18,Super League Switzerland,Goles (Over/Under),2025-02-21,coolbet:1.7800; tipico_de:1.7500; nordicbet:1.7200; betsson:1.7200; playup:1.7200; betrivers:1.6300; unibet_eu:1.6300; unibet:1.6300,2-1,3.0,Sí
FC Zurich vs Yverdon Sport FC,2025-02-22 12:00:00,Under 2.5,2.2,2.1,0.0001444139690785,8.0,0.0168823175413958,0.016141253634241,0.0001572856247806,8.0,0.0177074764075541,0.0167336474501108,betrivers,8.0,0.1,0.0791,6.8,Super League Switzerland,Goles (Over/Under),2025-02-21,betrivers:2.2000; unibet_eu:2.2000; unibet:2.2000; nordicbet:2.0500; betsson:2.0500; coolbet:2.0500; tipico_de:2.0500; playup:2.0000,2-1,3.0,No
Racing de Ferrol vs Córdoba,2025-02-22 08:00:00,Over 2.25,2.1,1.9983,0.0001395462546182,6.0,0.0166845516583129,0.014463193587706,0.0002075294557245,6.0,0.020362953773913,0.0167002828067254,betonlineag,6.0,0.1017,0.0809,4.12,La Liga 2,Goles (Over/Under),2025-02-21,betonlineag:2.1000; lowvig:2.1000; bovada:1.9800; betanysports:1.9800; pinnacle:1.9600; betus:1.8700,0-1,1.0,No
Racing de Ferrol vs Córdoba,2025-02-22 08:00:00,Under 2.25,1.89,1.8367,0.0001395462546182,6.0,0.0166845516583129,0.014463193587706,0.0001129969055556,6.0,0.0149610699133304,0.0134005407075086,pinnacle,6.0,0.0533,0.0499,6.39,La Liga 2,Goles (Over/Under),2025-02-21,pinnacle:1.8900; betus:1.8900; bovada:1.8500; betanysports:1.8500; betonlineag:1.7700; lowvig:1.7700,0-1,1.0,Sí
Club Brugge vs Standard Liege,2025-02-23 07:30:00,Over 3.0,1.93,1.8814,0.0001297187906224,7.0,0.0160974507230482,0.014428234644911,0.0001258302827976,7.0,0.0158168908435795,0.0142723913242483,bovada,7.0,0.0486,0.0549,5.29,Pro League,Goles (Over/Under),2025-02-21,bovada:1.9300; betanysports:1.9300; pinnacle:1.9200; coolbet:1.9200; betus:1.8700; lowvig:1.8000; betonlineag:1.8000,1-2,3.0,No
Club Brugge vs Standard Liege,2025-02-23 07:30:00,Under 3.0,2.05,1.9371,0.0001297187906224,7.0,0.0160974507230481,0.0144282346449109,0.000176868292256,7.0,0.0187998207291024,0.0166424398922276,lowvig,7.0,0.1129,0.0726,4.34,Pro League,Goles (Over/Under),2025-02-21,lowvig:2.0500; betonlineag:2.0500; pinnacle:1.9200; coolbet:1.8900; bovada:1.8900; betanysports:1.8900; betus:1.8700,1-2,3.0,No
