Liga,n,hit_rate,roi
Europa League,72,0.5972222222222222,0.08888888888888888
Belgium First Div,78,0.6025641025641025,0.05379615384615384
Bundesliga,65,0.5846153846153846,0.010923076923076902
Eredivisie,93,0.5698924731182796,0.009247311827956987
League 2,57,0.5614035087719298,-0.02105263157894735
Premiership,92,0.5543478260869565,-0.02555652173913043
A-League,38,0.5526315789473685,-0.043528947368421056
La Liga 2,92,0.5434782608695652,-0.048260869565217385
Serie A,129,0.5271317829457365,-0.04879069767441861
Austrian Bundesliga,46,0.5652173913043478,-0.05086956521739132
Swiss Superleague,62,0.5645161290322581,-0.05548387096774193
Ekstraklasa,44,0.5681818181818182,-0.0675
Bundesliga 2,64,0.546875,-0.06858125
Championship,31,0.5483870967741935,-0.06903225806451613
La Liga,98,0.5306122448979592,-0.06979591836734694
Champions League,46,0.5217391304347826,-0.07021739130434783
Super League,156,0.532051282051282,-0.08551282051282053
League 1,59,0.5423728813559322,-0.0911864406779661
Primeira Liga,56,0.5535714285714286,-0.10014821428571428
Ligue 1,80,0.5375,-0.1005
Primera División,37,0.5135135135135135,-0.10864864864864864
EPL,126,0.5238095238095238,-0.11661746031746033
Serie B,98,0.5408163265306123,-0.12591326530612246
Superliga,26,0.5769230769230769,-0.13038461538461538
Brasileirão,85,0.5176470588235295,-0.13064941176470588
Conference League,54,0.5555555555555556,-0.1437037037037037
3. Liga,70,0.5142857142857142,-0.17357142857142854
