# Partidos no encontrados - 2026-01-06 23:39
# Total: 64

Wigan Athletic vs Birmingham City | League One
Doncaster Rovers vs Port Vale | League Two
Athens Kallithea FC vs PAS Lamia 1964 | Super League Greece
Lyon vs Montpellier | Ligue 1
Grenoble vs SC Bastia | Ligue 2
AC Ajaccio vs Annecy FC | Ligue 2
Amiens vs Troyes | Ligue 2
Newcastle Jets FC vs Sydney FC | A-League
Alanyaspor vs Torku Konyaspor | Süper Lig
Aston Villa vs Leicester City | Premier League
Adana Demirspor vs Basaksehir | Süper Lig
Guingamp vs USL Dunkerque | Ligue 2
Brighton and Hove Albion vs Arsenal | Premier League
Preston North End vs Oxford United | Championship
Stade Lavallois vs Lorient | Ligue 2
Nacional vs FC Porto | Liga Portugal
Valencia vs Real Madrid | La Liga
Lecce vs Genoa | Serie A
Exeter City vs Bolton Wanderers | League One
Burton Albion vs Northampton Town | League One
Hibernian vs Rangers | Scottish Premiership
Boavista Porto vs Arouca | Liga Portugal
Charlton Athletic vs Reading | League One
Galatasaray vs Goztepe | Süper Lig
Rodez AF vs Red Star | Ligue 2
Colchester United vs Accrington Stanley | League Two
Vitória SC vs Sporting Lisbon | Liga Portugal
Paris FC vs FC Martigues | Ligue 2
Stoke City vs Plymouth Argyle | Championship
Moreirense FC vs AVS Futebol SAD | Liga Portugal
Samsunspor vs Trabzonspor | Süper Lig
Blackburn Rovers vs Burnley | Championship
Middlesbrough vs Cardiff City | Championship
Bristol City vs Derby County | Championship
Antalyaspor vs Eyüpspor | Süper Lig
Lincoln City vs Stevenage | League One
Barrow vs Harrogate Town | League Two
Çaykur Rizespor vs Besiktas JK | Süper Lig
Barnsley vs Crawley Town | League One
Tottenham Hotspur vs Newcastle United | Premier League
Caen vs Clermont | Ligue 2
Strasbourg vs Auxerre | Ligue 1
Bodrum FK vs Kayserispor | Süper Lig
Saint Etienne vs Stade de Reims | Ligue 1
Kasimpasa SK vs Gazişehir Gaziantep | Süper Lig
Cheltenham Town vs Walsall | League Two
Sheffield Wednesday vs Millwall | Championship
RC Lens vs Toulouse | Ligue 1
Milton Keynes Dons vs Salford City | League Two
Angers vs Brest | Ligue 1
Hellas Verona vs Udinese | Serie A
Metz vs Pau FC | Ligue 2
Fiorentina vs Napoli | Serie A
Watford vs Sheffield United | Championship
Cambridge United vs Bristol Rovers | League One
Nice vs Rennes | Ligue 1
Levadiakos vs Panserraikos FC | Super League Greece
Southampton vs Brentford | Premier League
Monza vs Cagliari | Serie A
Crystal Palace vs Chelsea | Premier League
Bournemouth vs Everton | Premier League
Wycombe Wanderers vs Blackpool | League One
Fulham vs Ipswich Town | Premier League
Venezia vs Empoli | Serie A
