# Partidos no encontrados - 2026-01-06 23:39
# Total: 90

Besiktas JK vs Bodrum FK | Süper Lig
SC Bastia vs AC Ajaccio | Ligue 2
Sydney FC vs Central Coast Mariners | A-League
PSV Eindhoven vs AZ Alkmaar | Eredivisie
Tijuana vs Toluca | Liga MX
Reggiana vs Bari | Serie B
Málaga vs Deportivo La Coruña | La Liga 2
Melbourne City vs Brisbane Roar | A-League
Port Vale vs Barrow | League Two
Südtirol vs US Catanzaro 1929 | Serie B
Cosenza vs Mantova | Serie B
Tenerife vs CD Castellón | La Liga 2
Hibernian vs Motherwell | Scottish Premiership
Oviedo vs Sporting Gijón | La Liga 2
Udinese vs Atalanta BC | Serie A
FC Twente Enschede vs Willem II | Eredivisie
Wimbledon vs Cheltenham Town | League Two
Westerlo vs Sint Truiden | Pro League
Newcastle Jets FC vs Macarthur FC | A-League
Walsall vs Tranmere Rovers | League Two
Caen vs Grenoble | Ligue 2
FC Martigues vs Clermont | Ligue 2
Córdoba vs Almería | La Liga 2
Paris FC vs Amiens | Ligue 2
Granada CF vs Burgos CF | La Liga 2
Frosinone vs Cremonese | Serie B
Sevilla vs Valencia | La Liga
AC Milan vs Cagliari | Serie A
Groningen vs Almere City | Eredivisie
Rennes vs Marseille | Ligue 1
Palermo vs Modena | Serie B
Olympiakos Piraeus vs Aris Thessaloniki | Super League Greece
Sivasspor vs Alanyaspor | Süper Lig
Swindon Town vs Crewe Alexandra | League Two
Stevenage vs Burton Albion | League One
Blackpool vs Cambridge United | League One
Venezia vs Inter Milan | Serie A
Salernitana vs Sassuolo | Serie B
Ajax vs RKC Waalwijk | Eredivisie
FC Zwolle vs NEC Nijmegen | Eredivisie
Las Palmas vs Getafe | La Liga
Annecy FC vs Guingamp | Ligue 2
Gillingham vs Fleetwood Town | League Two
Hatayspor vs Çaykur Rizespor | Süper Lig
Querétaro vs América | Liga MX
Ross County vs Celtic | Scottish Premiership
Brest vs Lyon | Ligue 1
Perth Glory vs Auckland FC | A-League
Albacete vs Real Racing Club de Santander | La Liga 2
Standard Liege vs KV Kortrijk | Pro League
FC St. Pauli vs Eintracht Frankfurt | Bundesliga
Espanyol vs Leganés | La Liga
Auxerre vs Lille | Ligue 1
1. FC Heidenheim vs Union Berlin | Bundesliga
Stade Lavallois vs Red Star | Ligue 2
Nantes vs AS Monaco | Ligue 1
Trabzonspor vs Antalyaspor | Süper Lig
Pau FC vs USL Dunkerque | Ligue 2
Le Havre vs RC Lens | Ligue 1
St Mirren vs Dundee United | Scottish Premiership
Valladolid vs Real Betis | La Liga
Carlisle United vs Milton Keynes Dons | League Two
Lorient vs Metz | Ligue 2
TSG Hoffenheim vs VfL Wolfsburg | Bundesliga
Heracles Almelo vs Sparta Rotterdam | Eredivisie
Mazatlán FC vs FC Juárez | Liga MX
Stade de Reims vs Nice | Ligue 1
Atlético San Luis vs Tigres | Liga MX
Wellington Phoenix FC vs Adelaide United | A-League
Genoa vs Parma | Serie A
FSV Mainz 05 vs VfL Bochum | Bundesliga
Genk vs Leuven | Pro League
Feyenoord vs FC Utrecht | Eredivisie
Rodez AF vs Troyes | Ligue 2
Borussia Monchengladbach vs Bayern Munich | Bundesliga
SD Huesca vs CD Mirandés | La Liga 2
Beerschot Wilrijk vs Royal Antwerp | Pro League
Torino vs Juventus | Serie A
Spezia vs Juve Stabia | Serie B
Guadalajara vs Santos Laguna | Liga MX
Kayserispor vs Samsunspor | Süper Lig
Lazio vs Como | Serie A
Cruz Azul vs Atlas | Liga MX
Fortuna Sittard vs Go Ahead Eagles | Eredivisie
Racing de Ferrol vs FC Cartagena | La Liga 2
Empoli vs Lecce | Serie A
Alavés vs Girona | La Liga
Borussia Dortmund vs Bayer Leverkusen | Bundesliga
Rayo Vallecano vs Celta Vigo | La Liga
Charleroi vs Union Saint-Gilloise | Pro League
