# Partidos no encontrados - 2026-01-06 23:39
# Total: 130

Benfica vs Famalicão | Liga Portugal
Metz vs Paris FC | Ligue 2
Sporting Gijón vs Elche | La Liga 2
Grimsby Town vs Chesterfield FC | League Two
Bromley FC vs Colchester United | League Two
Auckland FC vs Melbourne City | A-League
KV Mechelen vs Genk | Pro League
Red Star vs Pau FC | Ligue 2
NAC Breda vs FC Twente Enschede | Eredivisie
Stevenage vs Wigan Athletic | League One
Puebla vs Atlético San Luis | Liga MX
Derby County vs Watford | Championship
Club Brugge vs Beerschot Wilrijk | Pro League
Bayer Leverkusen vs Borussia Monchengladbach | Bundesliga
FC Juárez vs Cruz Azul | Liga MX
Wimbledon vs Tranmere Rovers | League Two
USL Dunkerque vs Lorient | Ligue 2
CD Eldense vs Cádiz CF | La Liga 2
Eintracht Braunschweig vs FC Schalke 04 | Bundesliga 2
Walsall vs Milton Keynes Dons | League Two
SD Eibar vs Albacete | La Liga 2
Sassuolo vs Südtirol | Serie B
FC Cartagena vs Oviedo | La Liga 2
Dender vs Cercle Brugge KSV | Pro League
Palermo vs Juve Stabia | Serie B
Hatayspor vs Galatasaray | Süper Lig
Rennes vs Brest | Ligue 1
VfB Stuttgart vs SC Freiburg | Bundesliga
Cremonese vs Cosenza | Serie B
Burgos CF vs Deportivo La Coruña | La Liga 2
Rio Ave FC vs Sporting Lisbon | Liga Portugal
BSC Young Boys vs FC Winterthur | Super League Switzerland
Leeds United vs Sheffield Wednesday | Championship
Sydney FC vs Brisbane Roar | A-League
Santa Clara vs Estoril | Liga Portugal
Swindon Town vs Barrow | League Two
Gent vs Charleroi | Pro League
AC Ajaccio vs Caen | Ligue 2
Goztepe vs Antalyaspor | Süper Lig
Morecambe vs Crewe Alexandra | League Two
Bayern Munich vs VfL Wolfsburg | Bundesliga
Luton vs Preston North End | Championship
Clermont vs Stade Lavallois | Ligue 2
Grenoble vs FC Martigues | Ligue 2
US Catanzaro 1929 vs Pisa | Serie B
Arsenal vs Aston Villa | Premier League
Bologna vs Monza | Serie A
FC Zwolle vs PSV Eindhoven | Eredivisie
1. FC Nürnberg vs Karlsruher SC | Bundesliga 2
Holstein Kiel vs TSG Hoffenheim | Bundesliga
FC Zurich vs Yverdon Sport FC | Super League Switzerland
Girona vs Sevilla | La Liga
Gillingham vs Doncaster Rovers | League Two
Montpellier vs AS Monaco | Ligue 1
Elversberg vs 1. FC Magdeburg | Bundesliga 2
Sampdoria vs Cesena FC | Serie B
Amiens vs SC Bastia | Ligue 2
RC Lens vs Paris Saint Germain | Ligue 1
Leicester City vs Fulham | Premier League
Leganés vs Atlético Madrid | La Liga
