# Partidos no encontrados - 2026-01-06 23:40
# Total: 146

Sunderland vs Plymouth Argyle | Championship
Western Sydney Wanderers vs Auckland FC | A-League
Famalicão vs CF Estrela | Liga Portugal
Tijuana vs Querétaro | Liga MX
SSV Ulm 1846 vs Jahn Regensburg | Bundesliga 2
Cesena FC vs Bari | Serie B
Casa Pia vs Benfica | Liga Portugal
Westerlo vs Genk | Pro League
Sporting Lisbon vs Nacional | Liga Portugal
SD Huesca vs FC Cartagena | La Liga 2
Yverdon Sport FC vs Servette | Super League Switzerland
SC Bastia vs Pau FC | Ligue 2
Estudiantes vs Union Santa Fe | Liga Profesional
FC Energie Cottbus vs Dynamo Dresden | 3. Liga
1. FC Magdeburg vs Eintracht Braunschweig | Bundesliga 2
Borussia Dortmund vs Werder Bremen | Bundesliga
Reggiana vs Palermo | Serie B
Caen vs Guingamp | Ligue 2
Huddersfield Town vs Bolton Wanderers | League One
Luton vs Millwall | Championship
1. FC Köln vs Elversberg | Bundesliga 2
Leyton Orient vs Reading | League One
Arouca vs Moreirense FC | Liga Portugal
Wellington Phoenix FC vs Central Coast Mariners | A-League
Santos Laguna vs América | Liga MX
Antalyaspor vs Besiktas JK | Süper Lig
Celtic vs Dundee FC | Scottish Premiership
AEK Athens vs Panetolikos Agrinio | Super League Greece
RB Leipzig vs Bayer Leverkusen | Bundesliga
Independiente vs Sarmiento de Junin | Liga Profesional
Crewe Alexandra vs Accrington Stanley | League Two
Paris Saint Germain vs Stade de Reims | Ligue 1
Liverpool vs Ipswich Town | Premier League
SV Darmstadt 98 vs SC Paderborn | Bundesliga 2
León vs FC Juárez | Liga MX
Borussia Monchengladbach vs VfL Bochum | Bundesliga
Stade Lavallois vs Troyes | Ligue 2
Galatasaray vs Torku Konyaspor | Süper Lig
Lorient vs Clermont | Ligue 2
VfL Wolfsburg vs Holstein Kiel | Bundesliga
SC Farense vs Rio Ave FC | Liga Portugal
Groningen vs Heerenveen | Eredivisie
Las Palmas vs CA Osasuna | La Liga
Rayo Vallecano vs Girona | La Liga
Manchester City vs Chelsea | Premier League
PSV Eindhoven vs NAC Breda | Eredivisie
FC Martigues vs Amiens | Ligue 2
Queens Park Rangers vs Sheffield Wednesday | Championship
Çaykur Rizespor vs Adana Demirspor | Süper Lig
Monterrey vs Pachuca | Liga MX
Platense vs River Plate | Liga Profesional
Milton Keynes Dons vs Wimbledon | League Two
Sevilla vs Espanyol | La Liga
San Martin de San Juan vs Atlético Tucuman | Liga Profesional
Cruz Azul vs Puebla | Liga MX
Volos FC vs Atromitos Athens | Super League Greece
Bradford City vs Walsall | League Two
Preston North End vs Middlesbrough | Championship
Aberdeen vs St Mirren | Scottish Premiership
SC Freiburg vs Bayern Munich | Bundesliga
Southampton vs Newcastle United | Premier League
Mazatlán FC vs Toluca | Liga MX
Club Brugge vs KV Kortrijk | Pro League
Exeter City vs Blackpool | League One
Heracles Almelo vs FC Utrecht | Eredivisie
Notts County vs Bromley FC | League Two
Standard Liege vs Dender | Pro League
Metz vs Grenoble | Ligue 2
Tottenham Hotspur vs Leicester City | Premier League
Guadalajara vs Tigres | Liga MX
Wigan Athletic vs Bristol Rovers | League One
Empoli vs Bologna | Serie A
Tenerife vs CD Eldense | La Liga 2
Barrow vs Grimsby Town | League Two
Granada CF vs Sporting Gijón | La Liga 2
Crystal Palace vs Brentford | Premier League
Valladolid vs Real Madrid | La Liga
Tranmere Rovers vs Gillingham | League Two
OFI Crete vs Panserraikos FC | Super League Greece
Fortuna Sittard vs FC Zwolle | Eredivisie
Deportivo La Coruña vs Levante | La Liga 2
Hannover 96 vs SC Preußen Münster | Bundesliga 2
Spezia vs Sassuolo | Serie B
Torino vs Cagliari | Serie A
Newcastle Jets FC vs Perth Glory | A-League
West Bromwich Albion vs Portsmouth | Championship
Hertha Berlin vs Hamburger SV | Bundesliga 2
Barnsley vs Stevenage | League One
Paris FC vs Red Star | Ligue 2
Burton Albion vs Rotherham United | League One
FC Schalke 04 vs 1. FC Nürnberg | Bundesliga 2
Cosenza vs Cittadella | Serie B
Frosinone vs Südtirol | Serie B
Bournemouth vs Nottingham Forest | Premier League
Colchester United vs Morecambe | League Two
Udinese vs AS Roma | Serie A
FC Winterthur vs FC Lugano | Super League Switzerland
Hearts vs Kilmarnock | Scottish Premiership
Coventry City vs Watford | Championship
Bodrum FK vs Eyüpspor | Süper Lig
Augsburg vs 1. FC Heidenheim | Bundesliga
Sivasspor vs Kayserispor | Süper Lig
Samsunspor vs Gazişehir Gaziantep | Süper Lig
AC Milan vs Parma | Serie A
Napoli vs Juventus | Serie A
FSV Mainz 05 vs VfB Stuttgart | Bundesliga
Pisa vs Salernitana | Serie B
Barracas Central vs Racing Club | Liga Profesional
Le Havre vs Brest | Ligue 1
Como vs Atalanta BC | Serie A
Wycombe Wanderers vs Northampton Town | League One
Ross County vs Hibernian | Scottish Premiership
Sint Truiden vs Royal Antwerp | Pro League
Elche vs SD Eibar | La Liga 2
RKC Waalwijk vs Willem II | Eredivisie
Hansa Rostock vs Wehen Wiesbaden | 3. Liga
Atlético San Luis vs Necaxa | Liga MX
Cardiff City vs Derby County | Championship
Rodez AF vs AC Ajaccio | Ligue 2
Macarthur FC vs Melbourne City | A-League
Mantova vs Sampdoria | Serie B
Mallorca vs Real Betis | La Liga
St Johnstone vs Motherwell | Scottish Premiership
Belgrano de Cordoba vs Atlético Huracán | Liga Profesional
Brighton and Hove Albion vs Everton | Premier League
Karlsruher SC vs Fortuna Düsseldorf | Bundesliga 2
AS Monaco vs Rennes | Ligue 1
Brescia vs US Catanzaro 1929 | Serie B
Grasshopper Zürich vs BSC Young Boys | Super League Switzerland
Wolverhampton Wanderers vs Arsenal | Premier League
Córdoba vs Real Racing Club de Santander | La Liga 2
San Lorenzo vs Talleres | Liga Profesional
Juve Stabia vs Carrarese | Serie B
Strasbourg vs Lille | Ligue 1
Alanyaspor vs Basaksehir | Süper Lig
Asteras Tripolis vs Athens Kallithea FC | Super League Greece
Greuther Fürth vs 1. FC Kaiserslautern | Bundesliga 2
FC Viktoria Köln 1904 vs Waldhof Mannheim | 3. Liga
Atlético Madrid vs Villarreal | La Liga
Auxerre vs Saint Etienne | Ligue 1
SC Verl vs Alemannia Aachen | 3. Liga
Rot-Weiss Essen vs Hannover 96 | 3. Liga
SV Sandhausen vs 1. FC Saarbrücken | 3. Liga
Charleroi vs Cercle Brugge KSV | Pro League
TSV 1860 München vs VfB Stuttgart II | 3. Liga
Erzgebirge Aue vs VfL Osnabrück | 3. Liga
