# Partidos no encontrados - 2026-01-06 23:40
# Total: 150

Gillingham vs Notts County | League Two
Südtirol vs Reggiana | Serie B
St Mirren vs St Johnstone | Scottish Premiership
América vs FC Juárez | Liga MX
Ajax vs Feyenoord | Eredivisie
Elversberg vs Karlsruher SC | Bundesliga 2
Górnik Zabrze vs Puszcza Niepołomice | Ekstraklasa
Reading vs Bolton Wanderers | League One
Mazatlán FC vs León | Liga MX
Wehen Wiesbaden vs VfB Stuttgart II | 3. Liga
Walsall vs Salford City | League Two
Servette vs Grasshopper Zürich | Super League Switzerland
FC Lugano vs FC Sion | Super League Switzerland
FC Viktoria Köln 1904 vs TSV 1860 München | 3. Liga
Borussia Dortmund II vs Hansa Rostock | 3. Liga
Sporting Gijón vs Burgos CF | La Liga 2
Wigan Athletic vs Lincoln City | League One
Cheltenham Town vs Chesterfield FC | League Two
Barcelona vs Alavés | La Liga
Troyes vs Caen | Ligue 2
Modena vs Mantova | Serie B
NAC Breda vs Heracles Almelo | Eredivisie
Nacional vs Arouca | Liga Portugal
CD Mirandés vs Elche | La Liga 2
US Catanzaro 1929 vs Cesena FC | Serie B
Montpellier vs RC Lens | Ligue 1
Blackburn Rovers vs Preston North End | Championship
Auckland FC vs Macarthur FC | A-League
Pau FC vs Stade Lavallois | Ligue 2
Genk vs Beerschot Wilrijk | Pro League
Charleroi vs Dender | Pro League
Sampdoria vs Cosenza | Serie B
CD Eldense vs Granada CF | La Liga 2
Tijuana vs Cruz Azul | Liga MX
AS Monaco vs Auxerre | Ligue 1
Millwall vs Queens Park Rangers | Championship
FC Zwolle vs FC Utrecht | Eredivisie
Kayserispor vs Trabzonspor | Süper Lig
Lech Poznań vs Widzew Łódź | Ekstraklasa
Go Ahead Eagles vs FC Twente Enschede | Eredivisie
SC Bastia vs Metz | Ligue 2
Guingamp vs Paris FC | Ligue 2
Leyton Orient vs Stockport County FC | League One
Pachuca vs Atlas | Liga MX
1. FC Kaiserslautern vs SC Preußen Münster | Bundesliga 2
USL Dunkerque vs FC Martigues | Ligue 2
Brest vs Paris Saint Germain | Ligue 1
Hibernian vs Aberdeen | Scottish Premiership
San Martin de San Juan vs Rosario Central | Liga Profesional
Fiorentina vs Genoa | Serie A
Bournemouth vs Liverpool | Premier League
Basaksehir vs Samsunspor | Süper Lig
Palermo vs Pisa | Serie B
Bayern Munich vs Holstein Kiel | Bundesliga
CD Castellón vs SD Huesca | La Liga 2
Monterrey vs Necaxa | Liga MX
Watford vs Norwich City | Championship
Newport County vs Barrow | League Two
VfB Stuttgart vs Borussia Monchengladbach | Bundesliga
Salernitana vs Cremonese | Serie B
Perth Glory vs Melbourne Victory | A-League
Almería vs Oviedo | La Liga 2
Barnsley vs Burton Albion | League One
Eyüpspor vs Sivasspor | Süper Lig
Ipswich Town vs Southampton | Premier League
Leuven vs KV Mechelen | Pro League
Grenoble vs Rodez AF | Ligue 2
Waldhof Mannheim vs SC Verl | 3. Liga
1. FC Nürnberg vs SV Darmstadt 98 | Bundesliga 2
Motor Lublin vs Lechia Gdańsk | Ekstraklasa
Carrarese vs Brescia | Serie B
Red Star vs Lorient | Ligue 2
Almere City vs RKC Waalwijk | Eredivisie
Clermont vs AC Ajaccio | Ligue 2
Panserraikos FC vs Volos FC | Super League Greece
Central Coast Mariners vs Newcastle Jets FC | A-League
Torku Konyaspor vs Bodrum FK | Süper Lig
Wimbledon vs Bradford City | League Two
Sheffield Wednesday vs Luton | Championship
FC Ingolstadt 04 vs 1. FC Saarbrücken | 3. Liga
Juventus vs Empoli | Serie A
Dundee FC vs Hearts | Scottish Premiership
Real Racing Club de Santander vs Málaga | La Liga 2
Union Berlin vs RB Leipzig | Bundesliga
Hatayspor vs Antalyaspor | Süper Lig
Sydney FC vs Adelaide United | A-League
Port Vale vs Accrington Stanley | League Two
Portsmouth vs Burnley | Championship
Plymouth Argyle vs West Bromwich Albion | Championship
Lanus vs Sarmiento de Junin | Liga Profesional
Wolverhampton Wanderers vs Aston Villa | Premier League
