Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Bookmaker
FC Anyang vs Jeonbuk Hyundai Motors,2025-03-30 02:30:00,Over 2.25,1.83,1.805,4.622171678028209e-07,2.0,0.0009602100027631,0.0009602100027631,2.9802878836591605e-05,2.0,0.0076748326886474,0.0076748326886474,pinnacle,2.0,0.025,0.025,5.15,K League 1,Goles (Over/Under),2025-03-28,pinnacle:1.8300; bovada:1.7800,
FC Anyang vs Jeonbuk Hyundai Motors,2025-03-30 02:30:00,Under 2.25,2.02,2.0,4.622171678028209e-07,2.0,0.0009602100027632,0.0009602100027632,1.2502865245537068e-05,2.0,0.005000500050005,0.005000500050005,pinnacle,2.0,0.02,0.02,5.68,K League 1,Goles (Over/Under),2025-03-28,pinnacle:2.0200; bovada:1.9800,
FC Anyang vs Jeonbuk Hyundai Motors,2025-03-30 02:30:00,Over 2.5,2.1,2.0033,3.77333840053569e-05,12.0,0.0086711752006897,0.0071262348957203,0.000128280804746,12.0,0.0160126294184174,0.0121022558022584,betonlineag,12.0,0.0967,0.0638,6.44,K League 1,Goles (Over/Under),2025-03-28,betonlineag:2.1000; lowvig:2.1000; onexbet:2.0600; coolbet:2.0300; betsson:2.0100; nordicbet:2.0100; tipico_de:2.0000; williamhill:2.0000; playup:2.0000; betrivers:1.9100; unibet:1.9100; unibet_eu:1.9100,
FC Anyang vs Jeonbuk Hyundai Motors,2025-03-30 02:30:00,Under 2.5,1.77,1.7525,3.77333840053569e-05,12.0,0.0086711752006897,0.0071262348957203,2.4333448638405576e-05,12.0,0.0068966412943676,0.0056077066354908,betrivers,12.0,0.0175,0.0209,8.85,K League 1,Goles (Over/Under),2025-03-28,betrivers:1.7700; unibet:1.7700; unibet_eu:1.7700; betonlineag:1.7700; lowvig:1.7700; onexbet:1.7600; coolbet:1.7600; playup:1.7500; betsson:1.7400; nordicbet:1.7400; williamhill:1.7300; tipico_de:1.7000,
Grenoble vs Lorient,2025-03-29 08:00:00,Over 2.5,1.98,1.9407,2.0230509965864734e-05,15.0,0.0063584852292595,0.0051192428488698,2.788179117319952e-05,15.0,0.0074611630824179,0.0051651077996751,bovada,15.0,0.0393,0.0277,6.68,Ligue 2,Goles (Over/Under),2025-03-28,bovada:1.9800; coolbet:1.9800; pinnacle:1.9600; onexbet:1.9500; williamhill:1.9500; unibet:1.9500; betonlineag:1.9500; lowvig:1.9500; betsson:1.9400; nordicbet:1.9400; betrivers:1.9400; unibet_eu:1.9400; playup:1.9100; tipico_de:1.9000; betus:1.8700,
Grenoble vs Lorient,2025-03-29 08:00:00,Under 2.5,1.88,1.8227,2.0230509965864734e-05,15.0,0.0063584852292595,0.0051192428488698,6.328076268442538e-05,15.0,0.0111996756462534,0.0105110514358029,pinnacle,15.0,0.0573,0.0375,6.67,Ligue 2,Goles (Over/Under),2025-03-28,pinnacle:1.8800; betus:1.8800; betonlineag:1.8700; lowvig:1.8700; onexbet:1.8500; bovada:1.8500; betsson:1.8000; nordicbet:1.8000; tipico_de:1.8000; williamhill:1.8000; playup:1.8000; coolbet:1.8000; betrivers:1.7800; unibet:1.7800; unibet_eu:1.7800,
Watford vs Plymouth Argyle,2025-03-29 07:30:00,Over 2.5,2.06,1.968,2.6690972803502016e-05,15.0,0.0073019459294013,0.0060230890585552,8.532809489769825e-05,15.0,0.0130587970172504,0.0110347641692438,matchbook,15.0,0.092,0.0505,4.1,Championship,Goles (Over/Under),2025-03-28,matchbook:2.0600; lowvig:2.0300; betonlineag:2.0300; pinnacle:2.0000; bovada:2.0000; nordicbet:1.9800; betsson:1.9800; coolbet:1.9800; onexbet:1.9700; williamhill:1.9500; playup:1.9300; unibet:1.9100; betrivers:1.9100; unibet_eu:1.9100; betus:1.8800,
Watford vs Plymouth Argyle,2025-03-29 07:30:00,Under 2.5,1.9,1.834,2.6690972803502016e-05,15.0,0.0073019459294012,0.0060230890585552,2.7194242002842608e-05,15.0,0.0073473344093655,0.005749261211438,matchbook,15.0,0.066,0.025,5.82,Championship,Goles (Over/Under),2025-03-28,matchbook:1.9000; unibet:1.8500; betrivers:1.8500; unibet_eu:1.8500; pinnacle:1.8500; betus:1.8500; onexbet:1.8300; bovada:1.8300; nordicbet:1.8300; betsson:1.8300; playup:1.8200; lowvig:1.8100; betonlineag:1.8100; williamhill:1.8000; coolbet:1.8000,
SSV Ulm 1846 vs SV Darmstadt 98,2025-03-28 12:30:00,Over 2.5,1.98,1.936,1.2787919861011083e-05,15.0,0.0050554901698248,0.0037261905603597,2.6856424657470492e-05,15.0,0.0073257987726619,0.0063338544722619,pinnacle,15.0,0.044,0.0278,6.06,Bundesliga 2,Goles (Over/Under),2025-03-28,pinnacle:1.9800; bovada:1.9800; coolbet:1.9800; matchbook:1.9800; onexbet:1.9400; tipico_de:1.9300; playup:1.9300; nordicbet:1.9200; betsson:1.9200; betonlineag:1.9200; lowvig:1.9200; williamhill:1.9100; unibet:1.9100; unibet_eu:1.9100; betrivers:1.9100,
SSV Ulm 1846 vs SV Darmstadt 98,2025-03-28 12:30:00,Under 2.5,1.91,1.8467,1.2787919861011083e-05,15.0,0.0050554901698247,0.0037261905603597,5.919013735049619e-05,15.0,0.0108459059923814,0.0094568463090198,matchbook,15.0,0.0633,0.0374,4.71,Bundesliga 2,Goles (Over/Under),2025-03-28,matchbook:1.9100; pinnacle:1.9000; betonlineag:1.9000; lowvig:1.9000; onexbet:1.8600; bovada:1.8500; williamhill:1.8500; tipico_de:1.8300; playup:1.8300; nordicbet:1.8200; betsson:1.8200; unibet:1.8100; unibet_eu:1.8100; betrivers:1.8100; coolbet:1.8000,
Holstein Kiel vs Werder Bremen,2025-03-29 09:30:00,Over 2.5,1.67,1.605,1.1034374836583631e-05,8.0,0.0046174100857464,0.0039533289473815,5.309147466316427e-05,8.0,0.010022110614569,0.0061039346466303,onexbet,8.0,0.065,0.0265,4.32,Bundesliga,Goles (Over/Under),2025-03-28,onexbet:1.6700; nordicbet:1.6000; betsson:1.6000; betrivers:1.6000; unibet_eu:1.6000; williamhill:1.6000; playup:1.6000; tipico_de:1.5700,
