Combinacion,N,Profit,ROI,WinRate
Over 1.75 | Cuota 1.6-1.9,5,2.4299999999999997,48.599999999999994,80.0
Under 3.5 | Cuota <1.6,14,6.55,46.785714285714285,100.0
Under 2.5 | Cuota 2.1-2.5,46,17.409999999999997,37.84782608695651,60.869565217391305
Over 1.5 | Cuota <1.6,5,1.2700000000000002,25.400000000000006,80.0
Under 3.0 | Cuota 1.6-1.9,12,2.81,23.416666666666668,66.66666666666667
Under 2.5 | Cuota <1.6,19,3.97,20.894736842105264,78.94736842105263
Over 1.5 | Cuota 1.6-1.9,7,1.2999999999999998,18.571428571428566,71.42857142857143
Under 2.25 | Cuota 1.6-1.9,24,3.49,14.541666666666666,62.5
Under 2.5 | Cuota 1.9-2.1,40,5.77,14.425,57.5
Under 2.75 | Cuota 1.6-1.9,13,1.85,14.23076923076923,61.53846153846154
Under 2.25 | Cuota 1.9-2.1,27,3.0500000000000007,11.296296296296298,55.55555555555556
Under 2.75 | Cuota 1.9-2.1,30,3.329999999999999,11.099999999999998,56.666666666666664
Under 2.5 | Cuota 1.6-1.9,67,4.729999999999999,7.059701492537312,61.19402985074627
Over 3.5 | Cuota 1.6-1.9,5,0.29000000000000004,5.800000000000001,60.0
Under 3.5 | Cuota 1.6-1.9,10,0.2699999999999996,2.6999999999999957,60.0
Over 2.75 | Cuota 1.9-2.1,28,-2.510000000000001,-8.964285714285719,46.42857142857143
Over 2.5 | Cuota 2.1-2.5,49,-5.52,-11.26530612244898,38.775510204081634
Under 3.0 | Cuota 1.9-2.1,9,-1.0800000000000005,-12.000000000000007,44.44444444444444
Over 2.25 | Cuota 1.6-1.9,22,-3.4699999999999998,-15.772727272727273,45.45454545454545
Under 2.0 | Cuota 1.9-2.1,17,-2.73,-16.058823529411764,41.1764705882353
Over 2.25 | Cuota 1.9-2.1,27,-4.790000000000001,-17.740740740740744,40.74074074074074
Over 2.0 | Cuota 1.9-2.1,8,-2.06,-25.75,37.5
Over 2.5 | Cuota 1.6-1.9,58,-16.339999999999996,-28.17241379310344,41.37931034482759
Over 2.5 | Cuota 1.9-2.1,48,-13.829999999999998,-28.812499999999996,35.416666666666664
Over 3.0 | Cuota 1.6-1.9,8,-2.4699999999999998,-30.874999999999996,37.5
Over 3.5 | Cuota 2.1-2.5,14,-4.65,-33.214285714285715,28.571428571428573
Over 2.75 | Cuota 1.6-1.9,15,-5.7299999999999995,-38.2,33.333333333333336
Under 2.0 | Cuota 1.6-1.9,6,-2.42,-40.333333333333336,33.333333333333336
Over 2.5 | Cuota >2.5,14,-6.139999999999999,-43.85714285714285,21.428571428571427
Over 2.0 | Cuota 1.6-1.9,17,-7.98,-46.94117647058823,29.41176470588235
Over 3.0 | Cuota 1.9-2.1,12,-7.91,-65.91666666666667,16.666666666666668
Under 1.5 | Cuota 2.1-2.5,9,-6.55,-72.77777777777777,11.11111111111111
Over 3.5 | Cuota >2.5,9,-9.0,-100.0,0.0
