Liga,N,Profit,ROI,WinRate
Liga MX,22,0.6699999999999997,3.045454545454544,50.0
Ligue 1,18,0.4099999999999997,2.2777777777777763,50.0
Championship,42,0.1100000000000001,0.26190476190476214,50.0
La Liga 2,26,-0.20999999999999996,-0.8076923076923076,50.0
Pro League,18,-0.32999999999999985,-1.8333333333333326,50.0
Bundesliga,26,-0.48999999999999955,-1.884615384615383,50.0
Superliga Denmark,14,-0.43000000000000016,-3.0714285714285725,50.0
La Liga,20,-0.6199999999999994,-3.099999999999997,50.0
3. Liga,24,-0.8000000000000003,-3.3333333333333344,50.0
Ekstraklasa,28,-1.0100000000000002,-3.607142857142858,50.0
Ligue 2,26,-1.2199999999999995,-4.692307692307691,50.0
Süper Lig,22,-1.0799999999999998,-4.909090909090908,50.0
Eredivisie,16,-0.8600000000000005,-5.3750000000000036,50.0
K League 1,16,-1.0,-6.25,50.0
MLS,66,-4.510000000000001,-6.833333333333334,48.484848484848484
Primera División Chile,12,-0.8700000000000001,-7.250000000000001,50.0
Serie A,28,-2.1599999999999997,-7.7142857142857135,46.42857142857143
Liga Profesional,30,-3.0199999999999996,-10.066666666666665,50.0
League One,44,-4.48,-10.181818181818183,47.72727272727273
Premier League,36,-4.040000000000001,-11.222222222222225,47.22222222222222
Bundesliga 2,42,-5.64,-13.428571428571429,47.61904761904762
A-League,18,-2.54,-14.11111111111111,44.44444444444444
Serie B,34,-4.97,-14.617647058823529,44.11764705882353
League Two,48,-7.100000000000001,-14.79166666666667,47.916666666666664
J1 League,36,-5.629999999999999,-15.638888888888886,44.44444444444444
Super League Switzerland,16,-2.83,-17.6875,43.75
Liga Portugal,22,-5.17,-23.5,40.90909090909091
