Mercado,N,Profit,ROI,WinRate,Cuota_Media
Over 1.75,7,2.4399999999999995,34.85714285714285,71.42857142857143,1.905714285714286
Under 3.5,30,6.789999999999999,22.63333333333333,76.66666666666667,1.6743333333333335
Over 1.5,12,2.5700000000000003,21.416666666666668,75.0,1.6325
Under 2.5,173,30.88,17.84971098265896,61.84971098265896,1.9360115606936417
Under 2.25,52,7.6899999999999995,14.788461538461538,59.61538461538461,1.931923076923077
Under 3.25,5,0.7300000000000002,14.600000000000003,60.0,1.902
Under 2.75,43,5.18,12.046511627906977,58.13953488372093,1.9302325581395352
Under 3.0,23,1.8400000000000003,8.000000000000002,56.52173913043478,1.9282608695652173
Over 3.25,5,-0.94,-18.8,40.0,1.9899999999999998
Over 2.75,43,-8.24,-19.162790697674417,41.86046511627907,1.9290697674418604
Over 2.25,52,-11.260000000000002,-21.653846153846157,40.38461538461539,1.942307692307692
Under 2.0,26,-6.04,-23.23076923076923,38.46153846153846,1.9930769230769232
Over 2.5,173,-41.510000000000005,-23.994219653179197,38.15028901734104,2.044335260115607
Under 1.5,12,-4.709999999999999,-39.24999999999999,25.0,2.415
Over 2.0,26,-11.04,-42.46153846153846,30.76923076923077,1.9007692307692308
Under 1.75,7,-3.1799999999999997,-45.42857142857143,28.571428571428573,1.9714285714285715
Over 3.5,30,-15.36,-51.2,23.333333333333332,2.367
Over 3.0,23,-13.38,-58.17391304347826,21.73913043478261,1.9656521739130435
