Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto
AEK Athens vs Athens Kallithea FC,2025-01-12 13:33:00,Under 1.5,1.19,1.156,0.0001920890205410597,5.0,0.012831507610445622,0.011728116109828667,0.0008767181047761483,5.0,0.023557827501462004,0.021732831063459822,unibet,5.0,0.034,0.0314,,Super League Greece,Goles (Over/Under),2025-01-12,unibet:1.1900; unibet_eu:1.1900; coolbet:1.1600; betsson:1.1200; nordicbet:1.1200,2-0,2.0,No
Napoli vs Hellas Verona,2025-01-12 14:45:00,Under 2.5,1.9,1.716,0.00041817755909270246,5.0,0.02398738270856313,0.019141900472270247,0.0007046948075879887,5.0,0.03093893512461349,0.02450937326299296,pinnacle,5.0,0.184,0.0967,,Serie A,Goles (Over/Under),2025-01-12,pinnacle:1.9000; matchbook:1.7200; coolbet:1.6800; unibet:1.6400; unibet_eu:1.6400,2-0,2.0,Sí
Napoli vs Hellas Verona,2025-01-12 14:45:00,Over 2.5,2.3,2.168,0.00041817755909270246,5.0,0.023987382708563147,0.019141900472270247,0.0003869228157860791,5.0,0.02311113234111234,0.017075421144029036,matchbook,5.0,0.132,0.104,1.62,Serie A,Goles (Over/Under),2025-01-12,matchbook:2.3000; coolbet:2.2000; unibet:2.1800; unibet_eu:2.1800; pinnacle:1.9800,2-0,2.0,No
Paris Saint Germain vs Saint Etienne,2025-01-12 14:45:00,Under 4.0,2.08,1.932,0.00013088609208811242,5.0,0.013460110867598874,0.01084213784842324,0.0003197735895950425,5.0,0.021041497599912987,0.0173511057990031,pinnacle,5.0,0.148,0.0813,,Ligue 1,Goles (Over/Under),2025-01-12,pinnacle:2.0800; bovada:1.9500; coolbet:1.9100; betsson:1.8600; nordicbet:1.8600,6-1,7.0,No
AEK Athens vs Athens Kallithea FC,2025-01-12 13:33:00,Over 1.5,5.21,4.894,0.0001920890205410597,5.0,0.012831507610445632,0.011728116109828657,0.00015020282498786778,5.0,0.011657249098937292,0.010442581181039612,betsson,5.0,0.316,0.2773,8.48,Super League Greece,Goles (Over/Under),2025-01-12,betsson:5.2100; nordicbet:5.2100; coolbet:4.8000; unibet_eu:4.7500; unibet:4.5000,2-0,2.0,Sí
Paris Saint Germain vs Saint Etienne,2025-01-12 14:45:00,Over 4.0,1.91,1.862,0.00013088609208811242,5.0,0.013460110867598896,0.010842137848423273,6.18449075344262e-05,5.0,0.00923086634295211,0.006444104556851893,coolbet,5.0,0.048,0.0319,4.71,Ligue 1,Goles (Over/Under),2025-01-12,coolbet:1.9100; bovada:1.8700; betsson:1.8600; nordicbet:1.8600; pinnacle:1.8100,6-1,7.0,Sí
Besiktas JK vs Bodrum FK,2025-01-11 11:00:00,Over 2.5,1.81,1.75,0.0001381475974395,8.0,0.0165877867635389,0.0159831393495753,0.0002171111529923,8.0,0.020562172993057,0.018120646301772,betrivers,8.0,0.06,0.0614,7.6,Süper Lig,Goles (Over/Under),2025-01-10,betrivers:1.8100; unibet:1.8100; unibet_eu:1.8100; onexbet:1.7900; nordicbet:1.7200; betsson:1.7200; coolbet:1.7100; matchbook:1.6300,2-1,3.0,Sí
Besiktas JK vs Bodrum FK,2025-01-11 11:00:00,Under 2.5,2.15,2.0125,0.0001381475974395,8.0,0.0165877867635388,0.0159831393495753,0.0002509021244508,8.0,0.0223917138928963,0.0210301003979107,onexbet,8.0,0.1375,0.0907,7.86,Süper Lig,Goles (Over/Under),2025-01-10,onexbet:2.1500; coolbet:2.1000; nordicbet:2.0700; betsson:2.0700; matchbook:1.9800; betrivers:1.9100; unibet:1.9100; unibet_eu:1.9100,2-1,3.0,No
SC Bastia vs AC Ajaccio,2025-01-10 14:00:00,Over 1.5,1.6,1.56,0.000127151874406,6.0,0.0156116550999725,0.0146468788982975,0.0001899381918132,6.0,0.0186354311351628,0.0167378917378917,betsson,6.0,0.04,0.0447,7.75,Ligue 2,Goles (Over/Under),2025-01-10,betsson:1.6000; nordicbet:1.6000; playup:1.6000; onexbet:1.5600; tipico_de:1.5000; betrivers:1.5000,4-0,4.0,Sí
SC Bastia vs AC Ajaccio,2025-01-10 14:00:00,Under 1.5,2.45,2.3017,0.000127151874406,6.0,0.0156116550999725,0.0146468788982974,0.0001386233181468,6.0,0.0164807837223943,0.0151291285745067,betrivers,6.0,0.1483,0.0895,7.48,Ligue 2,Goles (Over/Under),2025-01-10,betrivers:2.4500; tipico_de:2.4000; betsson:2.2500; nordicbet:2.2500; playup:2.2500; onexbet:2.2100,4-0,4.0,No
