Partido,Fecha_Hora_Colombia,Estado,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Boca Juniors vs Talleres,2025-11-23 18:00:00,🔴 EN VIVO,Goles (Over/Under),Over 1.75,1.91,pinnacle,1,1.2788,0.0,,3.12,1.91,pinnacle:1.91
Boca Juniors vs Talleres,2025-11-23 18:00:00,🔴 EN VIVO,Goles (Over/Under),Under 1.75,1.97,pinnacle,1,1.2788,0.0,,3.12,1.97,pinnacle:1.97
FC Juárez vs Pachuca,2025-11-23 20:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.91,pinnacle,1,1.0629,0.0,,2.86,1.91,pinnacle:1.91
FC Juárez vs Pachuca,2025-11-23 20:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.98,pinnacle,1,1.0629,0.0,,2.86,1.98,pinnacle:1.98
Philadelphia Union vs New York City FC,2025-11-23 19:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.07,pinnacle,3,0.9831,0.0667,3.11,2.95,2.0033,pinnacle:2.07; betsson:2.02; codere_it:1.92
Philadelphia Union vs New York City FC,2025-11-23 19:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.83,pinnacle,3,0.9831,0.04,1.82,2.95,1.79,pinnacle:1.83; codere_it:1.79; betsson:1.75
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.05,pinnacle,1,0.9293,0.0,,2.83,2.05,pinnacle:2.05
San Diego FC vs Minnesota United FC,2025-11-24 22:00:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.85,pinnacle,1,0.9293,0.0,,2.83,1.85,pinnacle:1.85
TSG Hoffenheim vs Augsburg,2025-11-29 09:30:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.02,pinnacle,1,0.8889,0.0,,2.7,2.02,pinnacle:2.02
TSG Hoffenheim vs Augsburg,2025-11-29 09:30:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.88,pinnacle,1,0.8889,0.0,,2.7,1.88,pinnacle:1.88
Bayer Leverkusen vs Borussia Dortmund,2025-11-29 12:30:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.9,pinnacle,1,0.8507,0.0,,2.88,1.9,pinnacle:1.9
Bayer Leverkusen vs Borussia Dortmund,2025-11-29 12:30:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.99,pinnacle,1,0.8507,0.0,,2.88,1.99,pinnacle:1.99
Levante vs Athletic Bilbao,2025-11-29 12:30:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.87,pinnacle,1,0.8321,0.0,,2.74,1.87,pinnacle:1.87
Levante vs Athletic Bilbao,2025-11-29 12:30:00,⏰ Próximo,Goles (Over/Under),Under 2.25,2.03,pinnacle,1,0.8321,0.0,,2.74,2.03,pinnacle:2.03
AC Milan vs Lazio,2025-11-29 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.99,pinnacle,3,0.816,0.0567,2.08,2.88,1.9333,pinnacle:1.99; codere_it:1.91; betsson:1.9
AC Milan vs Lazio,2025-11-29 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.9,pinnacle,3,0.816,0.03,1.16,2.88,1.87,pinnacle:1.9; codere_it:1.86; betsson:1.85
Marseille vs Toulouse,2025-11-29 15:05:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.9,pinnacle,3,0.816,0.0267,1.1,2.88,1.8733,pinnacle:1.9; codere_it:1.87; betsson:1.85
Marseille vs Toulouse,2025-11-29 15:05:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.816,0.06,2.2,2.88,1.93,pinnacle:1.99; betsson:1.9; codere_it:1.9
