Partido,Fecha_Hora_Colombia,Estado,Score_Final,Diferencia_Cuota_Promedio,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,0.0,0.0,Yes,1.74,pinnacle,1,,3.77,1.74,pinnacle:1.74
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,0.0,0.0,No,2.16,pinnacle,1,,3.77,2.16,pinnacle:2.16
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,Yes,1.74,pinnacle,1,,3.77,1.74,pinnacle:1.74
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,No,2.16,pinnacle,1,,3.77,2.16,pinnacle:2.16
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,Yes,1.97,pinnacle,1,,3.95,1.97,pinnacle:1.97
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,No,1.88,pinnacle,1,,3.95,1.88,pinnacle:1.88
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,Yes,2.06,pinnacle,1,,4.41,2.06,pinnacle:2.06
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,0.0,0.0,No,1.79,pinnacle,1,,4.41,1.79,pinnacle:1.79
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,0.0,0.0,Yes,1.71,pinnacle,1,,3.93,1.71,pinnacle:1.71
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,0.0,0.0,No,2.2,pinnacle,1,,3.93,2.2,pinnacle:2.2
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,0.0,0.0,Yes,1.61,pinnacle,1,,4.48,1.61,pinnacle:1.61
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,0.0,0.0,No,2.36,pinnacle,1,,4.48,2.36,pinnacle:2.36
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,Yes,1.96,pinnacle,1,,4.21,1.96,pinnacle:1.96
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,No,1.88,pinnacle,1,,4.21,1.88,pinnacle:1.88
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,Yes,1.68,pinnacle,1,,4.57,1.68,pinnacle:1.68
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,No,2.22,pinnacle,1,,4.57,2.22,pinnacle:2.22
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,Yes,1.6,pinnacle,1,,4.34,1.6,pinnacle:1.6
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,0.0,0.0,No,2.39,pinnacle,1,,4.34,2.39,pinnacle:2.39
