Partido,Estado,Score_Final,Diferencia_Cuota_Promedio,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Boca Juniors vs Talleres,🔴 EN VIVO,1.4629,0.125,Over 2.0,2.05,pinnacle,2,6.49,2.83,1.925,pinnacle:2.05; betsson:1.8
Boca Juniors vs Talleres,🔴 EN VIVO,1.4629,0.025,Under 2.0,1.85,pinnacle,2,1.37,2.83,1.825,pinnacle:1.85; betsson:1.8
Sport Recife vs Vitoria,🔴 EN VIVO,1.2539,0.0,Over 5.0,2.06,pinnacle,1,,3.19,2.06,pinnacle:2.06
Sport Recife vs Vitoria,🔴 EN VIVO,1.2539,0.0,Under 5.0,1.83,pinnacle,1,,3.19,1.83,pinnacle:1.83
FC Cincinnati vs Inter Miami CF,🔴 EN VIVO,0.956,0.13,Under 3.0,1.91,pinnacle,2,7.3,3.64,1.78,pinnacle:1.91; betsson:1.65
Cruzeiro vs Corinthians,⏰ Próximo,0.7729,0.06,Over 2.5,2.07,pinnacle,3,2.11,2.95,2.01,pinnacle:2.07; betsson:1.98; codere_it:1.98
Cruzeiro vs Corinthians,⏰ Próximo,0.7729,0.0267,Under 2.5,1.83,pinnacle,3,1.14,2.95,1.8033,pinnacle:1.83; codere_it:1.8; betsson:1.78
FC Cincinnati vs Inter Miami CF,🔴 EN VIVO,-0.3289,0.025,Over 3.0,2.0,betsson,2,1.27,10.61,1.975,betsson:2.0; pinnacle:1.95
Sport Recife vs Vitoria,🔴 EN VIVO,-0.358,0.0,Over 4.5,1.85,betsson,1,,11.2,1.85,betsson:1.85
Sport Recife vs Vitoria,🔴 EN VIVO,-0.358,0.0,Under 4.5,1.75,betsson,1,,11.2,1.75,betsson:1.75
