Partido,Fecha_Hora_Colombia,Estado,Score_Final,Diferencia_Cuota_Promedio,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Everton vs Newcastle United,2025-11-29 12:30:00,⏰ Próximo,0.6508,0.0533,Over 2.5,2.07,pinnacle,3,2.23,2.95,2.0167,pinnacle:2.07; betsson:2.02; codere_it:1.96
Everton vs Newcastle United,2025-11-29 12:30:00,⏰ Próximo,0.6508,0.02,Under 2.5,1.83,pinnacle,3,1.19,2.95,1.81,pinnacle:1.83; codere_it:1.82; betsson:1.78
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,0.6107,0.0333,Over 2.5,1.87,pinnacle,3,1.28,2.98,1.8367,pinnacle:1.87; betsson:1.82; codere_it:1.82
Brentford vs Burnley,2025-11-29 10:00:00,⏰ Próximo,0.6107,0.0333,Under 2.5,2.02,pinnacle,3,1.26,2.98,1.9867,pinnacle:2.02; betsson:1.98; codere_it:1.96
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,0.604,0.0267,Over 2.5,1.87,pinnacle,3,1.35,2.98,1.8433,pinnacle:1.87; betsson:1.85; codere_it:1.81
Tottenham Hotspur vs Fulham,2025-11-29 15:00:00,⏰ Próximo,0.604,0.04,Under 2.5,2.02,pinnacle,3,1.49,2.98,1.98,pinnacle:2.02; codere_it:1.97; betsson:1.95
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,0.5478,0.0333,Over 2.5,1.98,pinnacle,3,1.47,3.14,1.9467,pinnacle:1.98; betsson:1.95; codere_it:1.91
Sunderland vs Bournemouth,2025-11-29 10:00:00,⏰ Próximo,0.5478,0.03,Under 2.5,1.9,pinnacle,3,1.16,3.14,1.87,pinnacle:1.9; codere_it:1.86; betsson:1.85
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,0.4777,0.0,Over 3.0,1.84,pinnacle,1,,3.37,1.84,pinnacle:1.84
West Ham United vs Liverpool,2025-11-30 09:05:00,⏰ Próximo,0.4777,0.0,Under 3.0,2.04,pinnacle,1,,3.37,2.04,pinnacle:2.04
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,0.449,0.0267,Over 2.5,1.83,pinnacle,3,1.14,3.43,1.8033,pinnacle:1.83; codere_it:1.8; betsson:1.78
Aston Villa vs Wolverhampton Wanderers,2025-11-30 09:05:00,⏰ Próximo,0.449,0.03,Under 2.5,2.05,pinnacle,3,1.21,3.43,2.02,pinnacle:2.05; betsson:2.02; codere_it:1.99
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,0.4474,0.0,Over 2.75,1.98,pinnacle,1,,3.42,1.98,pinnacle:1.98
Crystal Palace vs Manchester United,2025-11-30 07:00:00,⏰ Próximo,0.4474,0.0,Under 2.75,1.89,pinnacle,1,,3.42,1.89,pinnacle:1.89
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,0.3597,0.03,Over 2.5,1.89,pinnacle,3,1.91,3.67,1.86,pinnacle:1.89; betsson:1.88; codere_it:1.81
Nottingham Forest vs Brighton and Hove Albion,2025-11-30 09:05:00,⏰ Próximo,0.3597,0.0167,Under 2.5,1.97,pinnacle,3,1.21,3.67,1.9533,pinnacle:1.97; codere_it:1.97; betsson:1.92
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,0.358,0.0,Over 3.0,1.91,pinnacle,1,,3.38,1.91,pinnacle:1.91
Manchester City vs Leeds United,2025-11-29 10:00:00,⏰ Próximo,0.358,0.0,Under 3.0,1.96,pinnacle,1,,3.38,1.96,pinnacle:1.96
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,0.3226,0.0,Over 2.75,1.96,pinnacle,1,,3.1,1.96,pinnacle:1.96
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,0.3226,0.0,Under 2.75,1.92,pinnacle,1,,3.1,1.92,pinnacle:1.92
Manchester United vs Everton,2025-11-24 15:00:00,⏰ Próximo,0.0276,0.005,Over 2.5,1.76,codere_it,2,0.28,3.99,1.755,codere_it:1.76; betsson:1.75
