Partido,Fecha_Hora_Colombia,Liga,Mercado,Tipo_Mercado,Archivo_Origen,Verified_Score,Source
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
1. FC Saarbrücken vs TSV 1860 München,2025-01-18 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Arminia Bielefeld vs FC Energie Cottbus,2025-01-18 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
Wehen Wiesbaden vs SC Verl,2025-01-18 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250117_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250124_con_resultados.csv,,
TSV 1860 München vs VfB Stuttgart II,2025-01-25 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250124_con_resultados.csv,,
Waldhof Mannheim vs SC Verl,2025-02-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
Waldhof Mannheim vs SC Verl,2025-02-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
FC Viktoria Köln 1904 vs TSV 1860 München,2025-02-01 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250131_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
TSV 1860 München vs FC Ingolstadt 04,2025-02-08 10:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250207_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Over 2.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
FC Viktoria Köln 1904 vs Alemannia Aachen,2025-02-14 13:00:00,3. Liga,Under 2.25,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Hannover 96 vs VfL Osnabrück,2025-02-15 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
Wehen Wiesbaden vs Rot-Weiss Essen,2025-02-15 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
SpVgg Unterhaching vs 1. FC Saarbrücken,2025-02-16 07:30:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250214_con_resultados.csv,,
TSV 1860 München vs Arminia Bielefeld,2025-02-21 13:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
TSV 1860 München vs Arminia Bielefeld,2025-02-21 13:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Alemannia Aachen vs Borussia Dortmund II,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Alemannia Aachen vs Borussia Dortmund II,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Erzgebirge Aue vs SpVgg Unterhaching,2025-02-22 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Over 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Rot-Weiss Essen vs FC Ingolstadt 04,2025-02-22 08:00:00,3. Liga,Under 2.75,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Over 3.0,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Under 3.0,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
1. FC Saarbrücken vs Hannover 96,2025-02-22 10:30:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250221_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Over 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
Borussia Dortmund II vs Rot-Weiss Essen,2025-03-01 08:00:00,3. Liga,Under 2.5,Goles (Over/Under),historical_20250228_con_resultados.csv,,
