Rank,Partido,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Premium,Value_Score_Pct,Inverso_Margen_Casa,Score_Final,Fecha_Hora_COT,Liga
1,"Vancouver Whitecaps FC vs Los Angeles FC","X2",1.74,"pinnacle",3.36,7.46,4.1,0.44,54.96,1.64,2.327,"2025-11-22 21:30","MLS"
2,"Ajax vs Excelsior","X2",3.52,"pinnacle",3.57,6.35,2.78,2.22,43.78,1.43,2.314,"2025-11-22 12:45","Eredivisie"
3,"Vancouver Whitecaps FC vs Los Angeles FC","1X",1.38,"pinnacle",3.36,7.46,4.1,0.08,54.96,1.64,2.201,"2025-11-22 21:30","MLS"
4,"Paris Saint Germain vs Le Havre","X2",5.18,"pinnacle",3.32,4.41,1.09,3.88,24.72,1.68,2.1845,"2025-11-22 15:05","Ligue 1"
5,"Palmeiras vs Fluminense","X2",2.41,"pinnacle",3.67,6.52,2.85,1.11,43.71,1.33,1.937,"2025-11-22 19:30","Brasileirão"
6,"Heracles Almelo vs Go Ahead Eagles","X2",1.55,"pinnacle",3.37,6.61,3.24,0.25,49.02,1.63,1.8715,"2025-11-22 15:00","Eredivisie"
7,"Botafogo vs Grêmio","X2",2.15,"pinnacle",3.7,6.62,2.92,0.85,44.11,1.3,1.8715,"2025-11-22 17:30","Brasileirão"
8,"Heracles Almelo vs Go Ahead Eagles","1X",1.49,"pinnacle",3.37,6.61,3.24,0.19,49.02,1.63,1.8505,"2025-11-22 15:00","Eredivisie"
9,"Villarreal vs Mallorca","X2",3.1,"marathonbet",3.22,4.92,1.7,1.8,34.55,1.78,1.751,"2025-11-22 15:00","La Liga"
10,"Fiorentina vs Juventus","1X",1.8,"marathonbet",2.8,5.21,2.41,0.5,46.26,2.2,1.6995,"2025-11-22 12:00","Serie A"
11,"CA Osasuna vs Real Sociedad","1X",1.46,"pinnacle",2.7,5.26,2.56,0.16,48.67,2.3,1.668,"2025-11-22 12:30","La Liga"
12,"Sparta Rotterdam vs Fortuna Sittard","X2",1.93,"pinnacle",3.69,6.27,2.58,0.63,41.15,1.31,1.6435,"2025-11-22 15:00","Eredivisie"
13,"Rennes vs AS Monaco","X2",1.58,"pinnacle",2.7,5.1,2.4,0.28,47.06,2.3,1.638,"2025-11-22 13:00","Ligue 1"
14,"Flamengo vs Bragantino-SP","1X",1.07,"pinnacle",3.41,6.48,3.07,-0.23,47.38,1.59,1.619,"2025-11-22 19:30","Brasileirão"
15,"1. FC Köln vs Eintracht Frankfurt","1X",1.59,"pinnacle",2.78,5.14,2.36,0.29,45.91,2.22,1.6075,"2025-11-22 12:30","Bundesliga"
16,"Napoli vs Atalanta BC","X2",1.63,"marathonbet",2.88,5.17,2.29,0.33,44.29,2.12,1.57,"2025-11-22 14:45","Serie A"
17,"Botafogo vs Grêmio","1X",1.19,"pinnacle",3.7,6.62,2.92,-0.11,44.11,1.3,1.5355,"2025-11-22 17:30","Brasileirão"
18,"Fiorentina vs Juventus","X2",1.3,"marathonbet",2.8,5.21,2.41,0.0,46.26,2.2,1.5245,"2025-11-22 12:00","Serie A"
19,"Palmeiras vs Fluminense","1X",1.14,"pinnacle",3.67,6.52,2.85,-0.16,43.71,1.33,1.4925,"2025-11-22 19:30","Brasileirão"
20,"Napoli vs Atalanta BC","1X",1.37,"marathonbet",2.88,5.17,2.29,0.07,44.29,2.12,1.479,"2025-11-22 14:45","Serie A"
21,"Ajax vs Excelsior","1X",1.09,"pinnacle",3.57,6.35,2.78,-0.21,43.78,1.43,1.4635,"2025-11-22 12:45","Eredivisie"
22,"Sparta Rotterdam vs Fortuna Sittard","1X",1.25,"pinnacle",3.69,6.27,2.58,-0.05,41.15,1.31,1.4055,"2025-11-22 15:00","Eredivisie"
23,"Central Córdoba vs San Lorenzo","X2",1.46,"pinnacle",3.28,5.48,2.2,0.16,40.15,1.72,1.39,"2025-11-22 20:00","Primera División"
24,"Velez Sarsfield BA vs Argentinos Juniors","1X",1.46,"pinnacle",3.22,5.39,2.17,0.16,40.26,1.78,1.3885,"2025-11-22 18:00","Primera División"
25,"Velez Sarsfield BA vs Argentinos Juniors","X2",1.44,"pinnacle",3.22,5.39,2.17,0.14,40.26,1.78,1.3815,"2025-11-22 18:00","Primera División"
26,"Central Córdoba vs San Lorenzo","1X",1.38,"pinnacle",3.28,5.48,2.2,0.08,40.15,1.72,1.362,"2025-11-22 20:00","Primera División"
27,"CA Osasuna vs Real Sociedad","X2",1.5,"marathonbet",3.21,5.26,2.05,0.2,38.97,1.79,1.3505,"2025-11-22 12:30","La Liga"
28,"1. FC Köln vs Eintracht Frankfurt","X2",1.49,"marathonbet",3.16,5.14,1.98,0.19,38.52,1.84,1.3255,"2025-11-22 12:30","Bundesliga"
29,"Newcastle United vs Manchester City","X2",1.33,"pinnacle",2.77,4.6,1.83,0.03,39.78,2.23,1.28,"2025-11-22 12:30","Premier League"
30,"Rennes vs AS Monaco","1X",1.52,"marathonbet",3.23,5.1,1.87,0.22,36.67,1.77,1.2725,"2025-11-22 13:00","Ligue 1"
31,"Paris Saint Germain vs Le Havre","1X",1.04,"marathonbet",2.82,4.41,1.59,-0.26,36.05,2.18,1.0605,"2025-11-22 15:05","Ligue 1"
32,"Flamengo vs Bragantino-SP","X2",3.5,"unibet",6.09,6.48,0.39,2.2,6.02,-1.09,0.7275,"2025-11-22 19:30","Brasileirão"
33,"FC Volendam vs FC Twente Enschede","X2",1.21,"betsson",4.93,6.01,1.08,-0.09,17.97,0.07,0.4685,"2025-11-22 12:45","Eredivisie"
34,"FC Volendam vs FC Twente Enschede","1X",2.18,"coral",5.71,6.01,0.3,0.88,4.99,-0.71,0.301,"2025-11-22 12:45","Eredivisie"
35,"Newcastle United vs Manchester City","1X",1.87,"betsson",4.62,4.6,-0.02,0.57,-0.43,0.38,0.2665,"2025-11-22 12:30","Premier League"
36,"Villarreal vs Mallorca","1X",1.11,"coral",4.56,4.92,0.36,-0.19,7.32,0.44,0.1835,"2025-11-22 15:00","La Liga"
